player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,瑠璃乃,さやか,慈,缀理,吟子,梢,小铃,花帆,姬芽
0USG3I0AK,39,283214334559651,ピーちゃん,VW65MCVF8,擦擦者達,12,10,10,10,10,10,10,10,10,10
MEGKKH1W5,40,282269258237167,75,EYN9H9N16,蓮好好俱樂部,13,10,10,10,10,10,10,10,10,10
X0N1L475X,41,282189943138330,牡丹饼,J7N4W6Y1K,こずミックラブ♡,4,10,10,10,10,10,10,10,10,10
G25EXFDYH,42,282165706594000,雷先生打,25PMPEMG7,星見製作,2,10,10,10,10,10,10,10,10,10
GVNJDLBW8,43,280388323616394,バニラ,11XTEEEJT,リンクラ料理部,11,10,10,10,10,10,10,10,10,10
TKLRD66RN,44,280057926114205,頭ハッピー至上主,BKLW6CR5L,混合三文魚天空!,8,10,10,10,10,10,10,10,10,10
TUHKRV0IW,45,279606062071026,ポン,EYN9H9N16,蓮好好俱樂部,10,10,10,10,10,10,10,10,10,10
EQOU1ZZS7,46,278722371288330,擦擦者達 煽井,VW65MCVF8,擦擦者達,12,10,10,10,10,10,10,10,10,10
KXMPLAX04,47,278493956889774,ろーぱす,BKLW6CR5L,混合三文魚天空!,3,10,10,10,10,10,10,10,10,10
RVY1A8DYV,48,277273983110611,寒梢,MAJT0THVB,归于虚幻后援会,7,10,10,10,10,10,10,10,10,10
5K59F4UVE,49,277062657767841,ガチャ至上主義,MAJT0THVB,归于虚幻后援会,2,10,10,10,10,10,10,10,10,10
PG3THEV4C,50,276980082801688,あお,EYN9H9N16,蓮好好俱樂部,1,10,10,10,10,10,10,10,10,10
L8VJOGDKM,51,276651375759166,立派な常識人,VW65MCVF8,擦擦者達,11,10,10,10,10,10,10,10,10,10
24M5TJDPS,52,275949293860850,鳴瀬しろは,FVJFA973A,新蓮天愛好者協會,10,10,10,10,10,10,10,10,10,10
FSJBKEC6U,53,274774856080692,ゼクロムレシラム,YE7CX8RNP,能京カバディ部,7,10,10,10,10,10,10,10,10,10
DRSNNTTME,54,272664149447410,もや,YE7CX8RNP,能京カバディ部,2,10,10,10,10,10,10,10,10,10
CO2UVBYHH,55,272438398136806,ｼﾏｴﾅｶﾞ,VW65MCVF8,擦擦者達,1,10,10,10,10,10,10,10,10,10
SDS1BUPY2,56,272324643281850,にる,11XTEEEJT,リンクラ料理部,5,10,10,10,10,10,10,10,10,10
W6KGEJ697,57,271725942520829,まだまだお,BKLW6CR5L,混合三文魚天空!,3,10,10,10,10,10,10,10,10,10
KMUYDNERU,58,270568873830556,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,13,10,10,10,10,10,10,10,10,10
BGZ7SP3WX,59,270356732540816,Arcane,VW65MCVF8,擦擦者達,5,10,10,10,10,10,10,10,10,10
HVA8EZJWM,60,270024490892339,鍋,BKLW6CR5L,混合三文魚天空!,11,10,10,10,10,10,10,10,10,10
J9C1NN8VB,61,269882473485291,擦擦者達 阿毘,VW65MCVF8,擦擦者達,10,10,10,10,10,10,10,10,10,10
NOB5KDBV6,62,269659885410842,しる220,0UT59MJ8U,かほすこ同好会,4,10,10,10,10,10,10,10,10,10
7VE9T0CUP,63,266624926089443,村・フン民,PBRDPWEY1,무라무라회,4,10,10,10,10,10,10,10,10,10
HY934N56T,64,266349380315513,インフィニット,BKLW6CR5L,混合三文魚天空!,4,10,10,10,10,10,10,10,10,10
B6XUHLVUZ,65,266051874586000,ればにら,RFYKY8DCD,LA.LA.LA,11,10,10,10,10,10,10,10,10,10
VGWT7LCX7,66,265642533132522,ZUC,BKLW6CR5L,混合三文魚天空!,7,10,10,10,10,10,10,10,10,10
