player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,瑠璃乃,吟子,花帆,缀理,さやか,梢,小铃,姬芽,慈
4W6BIX284,129,442099356273227,リリィ♡,FK5MUK0ET,くる♡すきクラブ,13,10,10,10,10,10,10,10,10,10
QKGZEPZSH,130,441245203256013,蒼藍凜冽酒瓶,MAJT0THVB,眩耀夜行,10,10,10,10,10,10,10,10,10,10
TW9L2LKS7,131,440999457672941,日本エア時計学会,YE7CX8RNP,能京カバディ部,11,10,10,10,10,10,10,10,10,10
TRLEB6AD0,132,440887352910582,ねんねこ,FC8NBAJBT,ラー麺二郎金沢店,5,10,10,10,10,10,10,10,10,10
JFND2KZVS,133,440004019706038,ルビジウム,FVJFA973A,蓮ノ空愛好会,10,10,10,10,10,10,10,10,10,10
8OJ4K93MD,134,439011291813997,コロ,HBUK6F7CC,乙宗梢なりきり部,9,10,10,10,10,10,10,10,10,10
7YZUF27YY,135,438785157320370,ユウキ,11FB0EDDT,スクステ同好会,3,10,10,10,10,10,10,10,10,10
EEODMO0PN,136,438282110099217,kazami,VW65MCVF8,擦擦者達,6,10,10,10,10,10,10,10,10,10
22F9H0NK0,137,437545334207282,かじみん,JTX1G19BP,さやかほ癒し会,10,10,10,10,10,10,10,10,10,10
BJI9H7CC6,138,436971249260088,エイジ,KW0RM1LEP,はすっこくらぶ,6,10,10,10,10,10,10,10,10,10
9L52YPRA1,139,434997259729239,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10
M8KSSVGQS,140,434325370885815,始まりは鮭の空,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10
76L1SWWX0,141,434307240155096,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,8,10,10,10,10,10,10,10,10,10
QH44G80K9,142,431871548972572,ぱとんく,11XTEEEJT,リンクラ料理部,7,10,10,10,10,10,10,10,10,10
4L6ELEBZY,143,431522841677861,私を叶える物語,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
RFP277XPM,144,431227212146762,スガ,11FB0EDDT,スクステ同好会,4,10,10,10,10,10,10,10,10,10
HU55NKXPK,145,431032837669525,極光雷神具,EYN9H9N16,蓮星学園,5,10,10,10,10,10,10,10,10,10
V3J51SJ8F,146,429367316034652,ゆっきー,1BME38BCD,さすさやクラブ,5,10,10,10,10,10,10,10,10,10
W51RD80OU,147,428603790280940,赤飯のごま塩,49AMYCXCD,ルドベキア,7,10,10,10,10,10,10,10,10,10
C9325WMEN,148,428584552526573,パラソーシャル,PBRDPWEY1,村村会,0,10,10,10,10,10,10,10,10,10
4YTEQDE04,149,428095901053991,とまかの！！,EYN9H9N16,蓮星学園,6,10,10,10,10,10,10,10,10,10
JC33CNHML,150,427331581974438,Drks,PBRDPWEY1,村村会,3,10,10,10,10,10,10,10,10,10
KWSACZISO,151,426689758011534,すずき,CTW8DKV5P,まったり,15,10,10,10,10,10,10,10,10,10
8W61A02JJ,152,426639704953444,ごんべん京,W3YKKRWHG,ルリと愉快な一家,2,10,10,10,10,10,10,10,10,10
ZAHTN08A4,153,426066718838719,まいにち,WTJV514G9,蓮ノ空のお弁当屋,5,10,10,10,10,10,10,10,10,10
DT57UE7NP,154,425832866808351,たま,3BE2RELRC,見晴台,3,10,10,10,10,10,10,10,10,10
P73RHEK4C,155,425254316178651,ゆあちゃ,KW0RM1LEP,はすっこくらぶ,6,10,10,10,10,10,10,10,10,10
KWNXKNY6X,156,425175793862985,ぷいにゅー,49AMYCXCD,ルドベキア,14,10,10,10,10,10,10,10,10,10
1Y0XFNNDJ,157,424593633483613,かなたなか,EYN9H9N16,蓮星学園,9,10,10,10,10,10,10,10,10,10
P4LVRKG9L,158,424305591798266,月見海月,RFYKY8DCD,LA.LA.LA,8,10,10,10,10,10,10,10,10,10
67GP30NUW,159,424247921228676,yuba,11FB0EDDT,スクステ同好会,3,10,10,10,10,10,10,10,10,10
DPQ6HPBXJ,160,424225153567269,黒い秋,49AMYCXCD,ルドベキア,3,10,10,10,10,10,10,10,10,10
838S79KWG,161,424091300229400,紅蓮の破壊神,BKLW6CR5L,Mix鮭の空!!,5,10,10,10,10,10,10,10,10,10
ED3WCG3KU,162,424088997842651,空門蒼,FVJFA973A,蓮ノ空愛好会,0,10,10,10,10,10,10,10,10,10
K9XRZKF6W,163,423257602736560,天使天才天王寺,MAJT0THVB,眩耀夜行,8,10,10,10,10,10,10,10,10,10
74NVPKIGI,164,423002936761023,"なめろうoNM,",73CBYJYB0,"oNM,",7,10,10,10,10,10,10,10,10,10
R3YC2XYYZ,165,422320954917833,秋,GPKTRBCTT,騎空団蓮ノ空支部,2,10,10,10,10,10,10,10,10,10
T0AGDWEPM,166,422031872191072,姫芽党の長ゆゆ,M5LHG6R4T,乙宗動物園,4,10,10,10,10,10,10,10,10,10
9RV301LEB,167,421475735540397,いもむし,GXR6C85BT,花帆ちゃん親衛隊,7,10,10,10,10,10,10,10,10,10
MHUB8095B,168,420956732044997,どらろー,25PMPEMG7,星見製作,10,10,10,10,10,10,10,10,10,10
WPLF5HB13,169,420082025363910,ふっと,11XTEEEJT,リンクラ料理部,4,10,10,10,10,10,10,10,10,10
70NE2637U,170,419930188312180,りふいっと,BKLW6CR5L,Mix鮭の空!!,2,10,10,10,10,10,10,10,10,10
W0WYHMBR4,171,419610186411030,リョータ,3BDTCERX6,打ち返した流れ星,3,10,10,10,10,10,10,10,10,10
CZKJL4VOV,172,419472498391347,親戚プランタン,FVJFA973A,蓮ノ空愛好会,12,10,10,10,10,10,10,10,10,10
