player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,缀理,さやか,小铃,慈,瑠璃乃,梢,花帆,吟子
1AZ5EJR7Z,215,308076802782995,Inahime,X7C21B7H7,泥,4,10,10,10,10,10,10,10,10,10
X8CGHMUJO,216,307744431725342,さか,RFYKY8DCD,LA.LA.LA,13,10,10,10,10,10,10,10,10,10
U8OROTM2Y,217,307349167343165,なってしまった！,YCTM6RYDP,金沢おでん同好会,9,10,10,10,10,10,10,10,10,10
H4CWPEX7A,218,307262819874785,カイ,GXR6C85BT,花帆ちゃん親衛隊,6,10,10,10,10,10,10,10,10,10
GUAB3EU9H,219,306786591772745,くろこぶ,946GHDWF2,まったりハスら～,2,10,10,9,10,10,10,10,10,10
X0GQORFOT,220,306610193694849,灼熱カバディ完結,YE7CX8RNP,能京カバディ部,10,10,10,10,10,10,10,10,10,10
ZHVYQOXPW,221,306352946905242,擦擦者達　高楊,VW65MCVF8,擦擦者達,14,10,10,10,10,10,10,10,10,10
IMAK5NFHF,222,305721099822535,よもぎ,YE7CX8RNP,能京カバディ部,11,10,10,10,10,10,10,10,10,10
INAGE6AD9,223,305461265498178,halxiel,X34LWGL6R,サークル2,4,10,10,10,10,10,10,10,10,10
8HYVGQUX7,224,305096138289507,まさき,CXG25026E,泥のみんなS,12,10,10,10,10,10,10,10,10,10
ONG0YLGRM,225,304986486861144,でぇーき@めぐ党,11FB0EDDT,スクステ同好会,7,10,10,10,10,10,10,10,10,10
MF5AJYWR7,226,304836072290876,朝風,25PMPEMG7,星見製作,2,10,10,10,10,10,10,10,10,10
01F0ML4X6,227,304375091731070,TM,PPAHU1TNY,蓮ノ空のんびり部,3,10,10,10,10,10,10,10,10,10
FN9BYATDE,228,304332857743527,EVO,11FB0EDDT,スクステ同好会,2,10,10,10,10,10,10,10,10,10
D0RVYCT5J,229,303912625236220,MONO,49AMYCXCD,ルドベキア,0,10,10,10,10,10,10,10,10,10
ZNS2C16VP,230,303796105678675,トニー,WX1DYC9Y1,ラナンキュラス,9,10,10,10,10,10,10,10,10,10
NFXWH51T4,231,303025191322669,そら,KT4C59NXG,めぐ島,1,10,10,10,10,10,10,10,10,10
8XP3JM3HY,232,302731382609883,リンモリ,YE7CX8RNP,能京カバディ部,2,10,10,10,10,10,10,10,10,10
8DV5XX99R,233,302480523075703,惡゛,25PMPEMG7,星見製作,4,10,10,10,10,10,10,10,10,10
8ZJCO1B8D,234,302473611954434,부산에서 폭발,VW65MCVF8,擦擦者達,6,10,10,10,10,10,10,10,10,10
4FGPNYMSS,235,301801502595258,擦擦者達 天吉,VW65MCVF8,擦擦者達,8,10,10,10,10,10,10,10,10,10
K8XN5UVA3,236,301535761839486,ツインドアノブ,W26TRPM1R,めぐ党藤島派,2,10,10,10,10,10,10,10,10,10
6W15T8F42,237,300971492321598,しう,PBRDPWEY1,村村会,12,10,10,10,10,10,10,10,10,10
TQX0EQZK8,238,300848719564069,そらた,W26TRPM1R,めぐ党藤島派,10,10,10,10,10,10,10,10,10,10
4L1WIM8NX,239,300848008617026,素敵さん,73CBYJYB0,"oNM,",9,10,10,10,10,10,10,10,10,10
L2DNOMKBV,240,300394329761601,レーン,0TKFF5EG3,サークル名募集中,5,10,10,10,10,10,10,10,10,10
MMQ9SKZMR,241,300122774453543,"赤福oNM,",73CBYJYB0,"oNM,",2,10,10,10,10,10,10,10,10,10
Y2LLTQ4MF,242,299268015105784,Lautrum,M5LHG6R4T,乙宗動物園,14,10,10,10,10,10,10,10,10,10
1FO8RWDNB,243,299220814298346,色違いスターミー,YE7CX8RNP,能京カバディ部,9,10,10,10,10,10,10,10,10,10
ROKS5RRX4,244,299196127218770,れんこん,BKLW6CR5L,混合三文魚天空!,11,10,10,10,10,10,10,10,10,10
ME5HX7LK3,245,299142380633934,归于虚幻,MAJT0THVB,银河战舰,0,10,10,10,10,10,10,10,10,10
ZWGHFBK3S,246,299075449221365,DSsuzu,YCTM6RYDP,金沢おでん同好会,10,10,10,10,10,10,10,10,10,10
318D0NMN0,247,298927414158689,たまちゃん,4XRHRYDW4,無言でエンジョイ,0,10,10,10,10,10,10,10,10,10
3U8FCLD8W,248,298154944909208,すけ,HBM31HMUY,YUKIZURI,7,10,10,10,10,10,10,10,10,10
U8MEXM43B,249,298035210345922,千歳,M5LHG6R4T,乙宗動物園,4,10,10,10,10,10,10,10,10,10
LD542Q15X,250,297880521974099,よぜ,YDYH4VRRP,レンクウ,6,10,10,10,10,10,10,10,10,10
EMJGXK3AN,251,297455827891705,あき,73N4AB3LR,かほ子のイオン,4,10,10,10,10,10,10,10,10,10
6PNANEUV0,252,296091948437575,なの,WN5B7VKPU,きんぴられんこん,9,10,10,10,10,10,10,10,10,10
J9E2BXTUR,253,295648665073895,そーや,YE7CX8RNP,能京カバディ部,1,10,10,10,10,10,10,10,10,10
BRJ0XWX77,254,295509806036980,しいのき,EYN9H9N16,蓮好好俱樂部,11,10,10,10,10,10,10,10,10,10
DZD7E4Z46,255,295365159653623,チャックん,J8HXTJ8TB,流し素麺同好会,6,10,10,10,10,10,10,10,10,10
4F1HIHA3J,256,294937380233532,きびだんごうどん,11FB0EDDT,スクステ同好会,7,10,10,10,10,10,10,10,10,10
L6A36K16J,257,294755825131482,なりりきっず,FVJFA973A,新蓮天愛好者協會,5,10,10,10,10,10,10,10,10,10
TSIWHEG61,258,293942402785830,らぁら,11FB0EDDT,スクステ同好会,7,10,10,10,10,10,10,10,10,10
T95Y9M2F4,259,293879570288999,始まりは君の空,EYN9H9N16,蓮好好俱樂部,10,10,10,10,10,10,10,10,10,10
R2YH223CW,260,293849406032244,馬狼照英最高漢,FVJFA973A,新蓮天愛好者協會,1,10,10,10,10,10,10,10,10,10
KYXUCDX5P,261,293506472910720,米豆梨（みどり）,9YM3DBTB7,泥民館,2,10,10,10,10,10,10,10,10,10
TXTPD6OZ9,262,293200773158664,stella,BKLW6CR5L,混合三文魚天空!,7,10,10,10,10,10,10,10,10,10
K8XEDFZF2,263,293032669886317,だいこんばたけ,8R49BTWW6,蓮女お嬢様クラブ,8,10,10,10,10,10,10,10,10,10
64M70NFSR,264,292964850251634,擦擦者達 因幡,VW65MCVF8,擦擦者達,10,10,10,10,10,10,10,10,10,10
BFERXX3NE,265,292918257367121,SE,YFADYJVW4,FPS好きクラブ,4,10,10,10,10,10,10,10,10,10
CL0CDYUYY,266,292531165774481,鹿南丸,PBRDPWEY1,村村会,3,10,10,10,10,10,10,10,10,10
