player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,梢,姬芽,慈,瑠璃乃,吟子,小铃,さやか,花帆,缀理,数量
8KGF3M6WJ,135,241167431735646,ことりの,EYN9H9N16,蓮好好俱樂部,10,10,10,10,10,10,10,10,10,10,1
JFND2KZVS,136,241074987257475,ルビジウム,FVJFA973A,新蓮天愛好者協會,10,10,10,10,10,10,10,10,10,10,1
TW9L2LKS7,137,240603216734980,日本エア時計学会,YE7CX8RNP,能京カバディ部,11,10,10,10,10,10,10,10,10,10,1
W51RD80OU,138,240532872737522,赤飯のごま塩,49AMYCXCD,ルドベキア,7,10,10,10,10,10,10,10,10,10,1
22F9H0NK0,139,240115644513329,かじみん,JTX1G19BP,さやかほ癒し会,10,10,10,10,10,10,10,10,10,10,1
W0WYHMBR4,140,239995297682993,リョータ,3BDTCERX6,打ち返した流れ星,3,10,10,10,10,10,10,10,10,10,1
8W61A02JJ,141,239933862110910,ごんべん京,W3YKKRWHG,ルリと愉快な一家,2,10,10,10,10,10,10,10,10,10,1
IEBYCC1D7,142,239281331571483,わらび餅,RFYKY8DCD,LA.LA.LA,6,10,10,10,10,10,10,10,10,10,1
EEODMO0PN,143,239199500119524,暖水獺,VW65MCVF8,擦擦者達,6,10,10,10,10,10,10,10,10,10,1
XREWTWWBK,144,238967818659695,六眼的少子,11XTEEEJT,リンクラ料理部,10,10,10,10,10,10,10,10,10,10,1
BJI9H7CC6,145,238317237876850,エイジ,KW0RM1LEP,はすっこくらぶ,6,10,10,10,10,10,10,10,10,10,1
74NVPKIGI,146,237880168843794,"なめろうoNM,",73CBYJYB0,"oNM,",7,10,10,10,10,10,10,10,10,10,1
152BPF239,147,237580640790381,たると,YE7CX8RNP,能京カバディ部,3,10,10,10,10,10,10,10,10,10,1
DT57UE7NP,148,237242730488032,たま,3BE2RELRC,見晴台,3,10,10,10,10,10,10,10,10,10,1
9L52YPRA1,149,236922925059169,ハミングバード,FVJFA973A,新蓮天愛好者協會,3,10,10,10,10,10,10,10,10,10,1
4L6ELEBZY,150,236246873092375,私を叶える物語,BKLW6CR5L,混合三文魚天空!,14,10,10,10,10,10,10,10,10,10,1
QH44G80K9,151,235923704879439,ぱとんく,11XTEEEJT,リンクラ料理部,7,10,10,10,10,10,10,10,10,10,1
7YZUF27YY,152,235411182786643,ユウキ,11FB0EDDT,スクステ同好会,3,10,10,10,10,10,10,10,10,10,1
KWSACZISO,153,234868191045215,すずき,CTW8DKV5P,まったり,15,10,10,10,10,10,10,10,10,10,1
4YTEQDE04,154,234498700094761,まんまる,EYN9H9N16,蓮好好俱樂部,6,10,10,10,10,10,10,10,10,10,1
70NE2637U,155,234079926389238,りふいっと,BKLW6CR5L,混合三文魚天空!,2,10,10,10,10,10,10,10,10,10,1
K9XRZKF6W,156,233662052452958,凰沐,MAJT0THVB,归于虚幻后援会,8,10,10,10,10,10,10,10,10,10,1
TRLEB6AD0,157,233467768875020,ねんねこ,FC8NBAJBT,ラー麺二郎金沢店,5,10,10,10,10,10,10,10,10,10,1
2KPFCFVJ0,158,233295045122113,リセット,MAJT0THVB,归于虚幻后援会,0,10,10,10,10,10,10,10,10,10,1
838S79KWG,159,233207628360398,紅蓮の破壊神,BKLW6CR5L,混合三文魚天空!,5,10,10,10,10,10,10,10,10,10,1
ZAHTN08A4,160,233176930055226,まいにち,WTJV514G9,蓮ノ空のお弁当屋,5,10,10,10,10,10,10,10,10,10,1
ME00V6X4B,161,232704765289325,オラトニス,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10,1
RV0TDDA7D,162,231771598879638,閃耀百變怪,BKLW6CR5L,混合三文魚天空!,5,10,10,10,10,10,10,10,10,10,1
P4LVRKG9L,163,231341360449913,月見海月,RFYKY8DCD,LA.LA.LA,8,10,10,10,10,10,10,10,10,10,1
5GUR9X53N,164,231149406918086,すてぽ,2B97MH4YA,同じ話し何回も…,3,10,10,10,10,10,10,10,10,10,1
RKVK0YI1L,165,231148749359567,完凸おぢ,1BME38BCD,さすさやクラブ,13,10,10,10,10,10,10,10,10,10,1
JC33CNHML,166,230546208386780,可斯可斯,PBRDPWEY1,村村会,3,10,10,10,10,10,10,10,10,10,1
9RV301LEB,167,230426030699924,いもむし,GXR6C85BT,花帆ちゃん親衛隊,7,10,10,10,10,10,10,10,10,10,1
BJ2YEFM93,168,230139089686884,テンババア,EYN9H9N16,蓮好好俱樂部,3,10,10,10,10,10,10,10,10,10,1
NJ5M5IZWU,169,230077405538573,まき,R1RM3X0WV,後方腕組みオタク,3,10,10,10,10,10,10,10,10,10,1
JAG81QH05,170,229717360926203,たらみ,GXR6C85BT,花帆ちゃん親衛隊,3,10,10,10,10,10,10,10,10,10,1
C9325WMEN,171,229716887304505,我是木村田守,PBRDPWEY1,村村会,0,10,10,10,10,10,10,10,10,10,1
RND3BA6Q4,172,229482219464408,あゆ,49AMYCXCD,ルドベキア,7,10,10,10,10,10,10,10,10,10,1
7XT268BWG,173,229213222937257,冬はこずめぐ,FVJFA973A,新蓮天愛好者協會,7,10,10,10,10,10,10,10,10,10,1
T0AGDWEPM,174,228935186364607,姫芽党の長ゆゆ,M5LHG6R4T,乙宗動物園,4,10,10,10,10,10,10,10,10,10,1
VLVZCU5K1,175,228573951652558,ひなつき,B5V2LNN43,WMW,13,10,10,10,10,10,10,10,10,10,1
DPQ6HPBXJ,176,228085636774523,黒い秋,49AMYCXCD,ルドベキア,3,10,10,10,10,10,10,10,10,10,1
8E70ID58F,177,228079086269463,あるとす,WN5B7VKPU,きんぴられんこん,7,10,10,10,10,10,10,10,10,10,1
7Q17H65NQ,178,227400899266514,mitsu,YE7CX8RNP,能京カバディ部,6,10,10,10,10,10,10,10,10,10,1
WPLF5HB13,179,227324183870521,ふっと,11XTEEEJT,リンクラ料理部,4,10,10,10,10,10,10,10,10,10,1
ED3WCG3KU,180,226398600637988,空門蒼,FVJFA973A,新蓮天愛好者協會,0,10,10,10,10,10,10,10,10,10,1
12Y4UB4XJ,181,226322161499676,かぴたる,49AMYCXCD,ルドベキア,10,10,10,10,10,10,10,10,10,10,1
LQEN0GFVZ,182,226319558330383,ごろーざ,FVJFA973A,新蓮天愛好者協會,5,10,10,10,10,10,10,10,10,10,1
MTS3N3QJK,183,225758078002405,rifotaku,D5A2EEG7F,わたくしは大丈部,11,10,10,10,10,10,10,10,10,10,1
0GWYFP0AP,184,225449861328008,あお2,11FB0EDDT,スクステ同好会,2,10,10,10,10,10,10,10,10,10,1
76L1SWWX0,185,225318415246337,花帆親衛隊巨花帆,GXR6C85BT,花帆ちゃん親衛隊,8,10,10,10,10,10,10,10,10,10,1
DLSZMF1HF,186,225224736863815,小牧,11XTEEEJT,リンクラ料理部,9,10,10,10,10,10,10,10,10,10,1
MHUB8095B,187,225203227564443,哆啦洛,25PMPEMG7,星見製作,10,10,10,10,10,10,10,10,10,10,1
VDNBJFHAE,188,224890635265970,稲妻葵,FVJFA973A,新蓮天愛好者協會,8,10,10,10,10,10,10,10,10,10,1
VVRBWNSVQ,189,224516615204692,かんべえ,WN5B7VKPU,きんぴられんこん,8,10,10,10,10,10,10,10,10,10,1
45NY6HUBX,190,224497852694435,蚕,25PMPEMG7,星見製作,2,10,10,10,10,10,10,10,10,10,1
FYK24K9Y1,191,224182030329243,卓球,HBUK6F7CC,乙宗梢なりきり部,5,10,10,10,10,10,10,10,10,10,1
KY1DYH45V,192,224013646170001,ate_san,B5V2LNN43,WMW,7,10,10,10,10,10,10,10,10,10,1
KWNXKNY6X,193,224011755246024,ぷいにゅー,49AMYCXCD,ルドベキア,14,10,10,10,10,10,10,10,10,10,1
X8CGHMUJO,194,223972514669271,さか,RFYKY8DCD,LA.LA.LA,13,10,10,10,10,10,10,10,10,10,1
TF3P7YXVG,195,222836610669610,擦擦者達　吉吉,VW65MCVF8,擦擦者達,5,10,10,10,10,10,10,10,10,10,1
1AZ5EJR7Z,196,222802648159367,Inahime,X7C21B7H7,泥,4,10,10,10,10,10,10,10,10,10,1
845LY9UX1,197,222610523523951,鈴木さつき,WN5B7VKPU,きんぴられんこん,2,10,10,10,10,10,10,10,10,10,1
CH6EH94XB,198,222511526193131,ばやしこーと,VW65MCVF8,擦擦者達,5,10,10,10,10,10,10,10,10,10,1
49TUEFEKF,199,222273629849298,もふもふまじん再,V6VCA0C4N,ドル家の『D』,12,10,10,10,10,10,10,10,10,10,1
OOC27PRN6,200,222267374783406,リリィ,DH6C5B7WF,蓮ノ空FC,1,10,10,10,10,10,10,10,10,10,1
1FO8RWDNB,201,222155479350405,色違いスターミー,YE7CX8RNP,能京カバディ部,9,10,10,10,10,10,10,10,10,10,1
CX5BX990E,202,222004299896219,フツ奴,WN5B7VKPU,きんぴられんこん,2,10,10,10,10,10,10,10,10,10,1
FN9BYATDE,203,221736636257644,EVO,11FB0EDDT,スクステ同好会,2,10,10,10,10,10,10,10,10,10,1
JNM0HFUXA,204,221703754293484,唯,MAJT0THVB,归于虚幻后援会,2,10,10,10,10,10,10,10,10,10,1
QTHXHSE6U,205,221557941593128,總想要,EYN9H9N16,蓮好好俱樂部,8,10,10,10,10,10,10,10,10,10,1
AKMY82517,206,221511978971063,擦擦者達 愛太陽,VW65MCVF8,擦擦者達,13,10,10,10,10,10,10,10,10,10,1
5W83UKK4H,207,221273165892033,望月,1BME38BCD,さすさやクラブ,13,10,10,10,10,10,10,10,10,10,1
LKY79HKFR,208,219805668797962,幸福的至上主義,FVJFA973A,新蓮天愛好者協會,5,10,10,10,10,10,10,10,10,10,1
ROKS5RRX4,209,218947496083242,れんこん,BKLW6CR5L,混合三文魚天空!,11,10,10,10,10,10,10,10,10,10,1
R3YC2XYYZ,210,218716388485160,秋,GPKTRBCTT,騎空団蓮ノ空支部,2,10,10,10,10,10,10,10,10,10,1
CZKJL4VOV,211,218575375882225,立行司式守伊之助,FVJFA973A,新蓮天愛好者協會,12,10,10,10,10,10,10,10,10,10,1
CRBY4XCB9,212,218553158089422,全許夫,VW65MCVF8,擦擦者達,7,10,10,10,10,10,10,10,10,10,1
ME5HX7LK3,213,218364776899893,归于虚幻,MAJT0THVB,归于虚幻后援会,0,10,10,10,10,10,10,10,10,10,1
