player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,さやか,小铃,花帆,慈,姬芽,吟子,瑠璃乃,缀理,梢
1Y0XFNNDJ,薄力粉ザキ,EYN9H9N16,蓮すきすきクラブ,15,89,12007592703142790,10,10,10,10,10,10,10,10,10
4YTEQDE04,まんまる,1BME38BCD,さすさやクラブ,15,90,12006223823957520,10,10,10,10,10,10,10,10,10
4W6BIX284,りり,FK5MUK0ET,くる♡すきクラブ,15,91,11991973761197440,10,10,10,10,10,10,10,10,10
NC6WJYFVX,でら,11XTEEEJT,リンクラ料理部,15,92,11968265442489320,10,10,10,10,10,10,10,10,10
9RV301LEB,いもむし,GXR6C85BT,花帆ちゃん親衛隊,15,93,11964094176545620,10,10,10,10,10,10,10,10,10
MNV5KYXG7,六天,GXR6C85BT,花帆ちゃん親衛隊,15,94,11962707794624370,10,10,10,10,10,10,10,10,10
W4E0R6NA9,iOSはづらい,BKLW6CR5L,Mix鮭の空!!,15,95,11920725376866440,10,10,10,10,10,10,10,10,10
TF3P7YXVG,ざわ,VW65MCVF8,スリスリーズ,15,96,11899937586987670,10,10,10,10,10,10,10,10,10
4387Y57EA,あなたこなた,11XTEEEJT,リンクラ料理部,12,97,11892005125714090,10,10,10,10,10,10,10,10,10
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,98,11888284168524950,10,10,10,10,10,10,10,10,10
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,99,11886055909411590,10,10,10,10,10,10,10,10,10
8XGER9Q5Y,ひろ,11XTEEEJT,リンクラ料理部,15,100,11865605262523910,10,10,10,10,10,10,10,10,10
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,15,101,11859322555276620,10,10,10,10,10,10,10,10,10
92BAX6L8R,なかさん,EYN9H9N16,蓮すきすきクラブ,12,102,11857845190975500,10,10,10,10,10,10,10,10,10
U1IQYBNI5,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,9,103,11855065622263030,10,10,10,10,10,10,10,10,10
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,14,104,11825378146040560,10,10,10,10,10,10,10,10,10
W6KGEJ697,まだまだお,BKLW6CR5L,Mix鮭の空!!,8,105,11821434728194210,10,10,10,10,10,10,10,10,10
QUQRGUWJL,にしおり,49AMYCXCD,ルドベキア,15,106,11778436452434610,10,10,10,10,10,10,10,10,10
TW9L2LKS7,ボクと契約して魔,YE7CX8RNP,蓮ノ大三十穣角,15,107,11769065402840480,10,10,10,10,10,10,10,10,10
BMM78P2WR,(・8・),M5LHG6R4T,乙宗動物園,15,108,11745682329274060,10,10,10,10,10,10,10,10,10
FZMYZZPRK,彩花,EYN9H9N16,蓮すきすきクラブ,11,109,11742495811319120,10,10,10,10,10,10,10,10,10
