player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,缀理,姬芽,梢,さやか,小铃,花帆,瑠璃乃,吟子
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,15,70,6777698676897759,10,10,10,10,10,10,10,10,10
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,乙宗動物園,10,71,6771378702355280,10,10,10,10,10,10,10,10,10
24M5TJDPS,わるつ,FVJFA973A,蓮ノ空愛好会,15,72,6762927152391293,10,10,10,10,10,10,10,10,10
CZKJL4VOV,キュゥべぇ,FVJFA973A,蓮ノ空愛好会,15,73,6762764989443471,10,10,10,10,10,10,10,10,10
U1IQYBNI5,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,9,74,6729830664003147,10,10,10,10,10,10,10,10,10
PG3THEV4C,あお,EYN9H9N16,蓮すきすきクラブ,10,75,6729360031355015,10,10,10,10,10,10,10,10,10
4W6BIX284,りり,FK5MUK0ET,くる♡すきクラブ,15,76,6719998090798366,10,10,10,10,10,10,10,10,10
CL0CDYUYY,スタースタッフ,PBRDPWEY1,村村会,14,77,6716902893354295,10,10,10,10,10,10,10,10,10
G25EXFDYH,私費で商品券,25PMPEMG7,星見プロ,7,78,6710779865884637,10,10,10,10,10,10,10,10,10
BRJ0XWX77,しいのき,EYN9H9N16,蓮すきすきクラブ,15,79,6707794147017260,10,10,10,10,10,10,10,10,10
P73RHEK4C,ゆあちゃ,EYN9H9N16,蓮すきすきクラブ,13,80,6705408299772978,10,10,10,10,10,10,10,10,10
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,81,6699105423632395,10,10,10,10,10,10,10,10,10
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,14,82,6697181822503969,10,10,10,10,10,10,10,10,10
WW0937PXY,ゆば,FG4170141,♪さやか愛好会♪,0,83,6697033672625346,10,10,8,10,9,9,10,10,10
CO2UVBYHH,社畜の墓場,VW65MCVF8,スリスリーズ,2,84,6696993585798963,10,10,10,10,10,10,10,10,10
VCYWGAUP5,ふぁる,BKLW6CR5L,Mix鮭の空!!,15,85,6689709340887253,10,10,10,10,10,10,10,10,10
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,86,6678953642035843,10,10,10,10,10,10,10,10,10
P4BD94K88,ﾛｰﾗ･ﾘﾙﾚ,11XTEEEJT,リンクラ料理部,15,87,6676022208676698,10,10,10,10,10,10,10,10,10
92BAX6L8R,なかさん,EYN9H9N16,蓮すきすきクラブ,12,88,6664063038049098,10,10,10,10,10,10,10,10,10
NOB5KDBV6,しる220,0UT59MJ8U,かほすこ同好会,15,89,6647795277808101,10,10,10,10,10,10,10,10,10
9RV301LEB,いもむし,GXR6C85BT,花帆ちゃん親衛隊,15,90,6644391604375775,10,10,10,10,10,10,10,10,10
4YTEQDE04,まんまる,1BME38BCD,さすさやクラブ,15,91,6642219145865373,10,10,10,10,10,10,10,10,10
NC6WJYFVX,でら,11XTEEEJT,リンクラ料理部,15,92,6630977192818836,10,10,10,10,10,10,10,10,10
1Y0XFNNDJ,薄力粉ザキ,EYN9H9N16,蓮すきすきクラブ,15,93,6625475954439687,10,10,10,10,10,10,10,10,10
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,12,94,6623491824241825,10,10,10,10,10,10,10,10,10
JRT9COU68,a,VW65MCVF8,スリスリーズ,15,95,6612806440149368,10,10,10,10,10,10,10,10,10
MNV5KYXG7,六天,GXR6C85BT,花帆ちゃん親衛隊,15,96,6603644505753866,10,10,10,10,10,10,10,10,10
W4E0R6NA9,iOSはづらい,BKLW6CR5L,Mix鮭の空!!,15,97,6603230309640044,10,10,10,10,10,10,10,10,10
U7NEBV4KH,こーど,BKLW6CR5L,Mix鮭の空!!,15,98,6601811311993112,10,10,10,10,10,10,10,10,10
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,99,6600326435346801,10,10,10,10,10,10,10,10,10
7VGVR7YBY,士道龍聖,FVJFA973A,蓮ノ空愛好会,15,100,6598499126451238,10,10,10,10,10,10,10,10,10
