player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,さやか,花帆,慈,小铃,吟子,瑠璃乃,梢,姬芽,缀理
CNMIWIHQT,ぺぺ,JVUNVCT8P,梢先輩のASMR,3,1901,6321666076649383,9,9,10,10,9,8,9,10,10
A41HY3Y8L,AOIAO,FVJABCVP3,瑞蓮ラボ,10,1902,6318390743241319,10,10,10,10,10,10,10,10,10
V76XKN9NV,ウォキドリ,0CEA9XFKR,蓮ノ空の泥人会,0,1903,6317511220365769,10,10,10,10,10,10,10,10,10
QFHEIH6YL,三ツ矢,2ULM366U6,毎日がエブリデイ,11,1904,6311365443350739,10,10,10,10,10,10,10,10,10
ERW5FZJ1H,藍 (あい),Y2R7E79U3,カワウソ同好会,3,1905,6299435829992068,10,10,10,10,10,10,10,10,10
9MJEPAHBM,たけ,MUXWTW1GV,蓮の空見守り隊,0,1906,6298416863537435,10,10,10,10,10,10,10,10,10
4Y7J2MK4V,moto,N7GLY2RUW,百生銀行,1,1907,6293706513968492,10,10,10,10,10,10,10,10,10
T7QKDXHHR,ズッキーニ,9FF5JBNDF,めぐすきクラブ,12,1908,6288968652962658,10,10,10,10,10,10,10,10,10
08TTH5N8W,ぷにっしゅ,17DM6L40G,なんでやろ８番,3,1909,6287185499440252,10,10,10,10,10,10,10,10,10
NFYUZ7V8Y,firehooh,EYEPHE14G,花上梢頭,8,1910,6285639430382825,9,8,9,10,10,8,9,10,10
3PDDZ2YKL,るなせいな,ATB27G5P2,おこめ茶寮,1,1911,6285269412117028,10,10,10,10,10,10,10,10,10
V7CUBTENA,カズ,2NY9H8BR9,乙宗紅茶館,1,1912,6281809751968169,10,10,10,10,10,10,10,10,10
B68B763AR,jadestar,1DU9LCND7,蓮ノ空すこやか部,3,1913,6277989115725765,8,10,10,9,10,10,9,10,10
H04C1J119,ねざーる,N8L41JAA7,無言 ノルマなし,8,1914,6275601488762818,10,10,10,10,10,10,10,10,10
MPY1ACKFX,カンパチ,GWGDMA3YC,初心者無言自由だ,12,1915,6274790608726565,10,10,10,10,10,10,10,10,10
09YLWEBA3,こな党,0MF6U6UPK,あなたなら大丈部,7,1916,6267931371866133,10,10,10,10,10,10,10,10,10
94FZ4NEER,ウィル・シキ,P8W50773L,蓮ノ空見守り隊,8,1917,6266429996486171,10,10,10,10,10,10,10,10,10
CNC37228Y,いとーみどり,V26546K3D,乙宗気合筋肉,11,1918,6265684360705408,10,10,10,10,10,10,10,10,10
NJIKFN9TC,彩丸,T2XRMGEAE,蓮根無言会,3,1919,6263499060068655,8,8,10,9,9,8,8,9,10
20GG4UL98,歩夢の黒タイツ,ABU58EVJ2,Quatuor,3,1920,6262925253184230,10,10,10,10,10,10,10,10,10
UZNL744FG,タクたく,WX1DYC9Y1,ラナンキュラス,12,1921,6261507049050280,10,10,10,10,10,10,10,10,10
NT4O2HSPX,そうさん,LYPVAETHY,金沢の泥,4,1922,6261467333926503,10,10,10,10,10,10,10,10,10
HF832A0LA,リュート,MVMP6NNXD,空き時間らくがき,8,1923,6253031520064445,10,10,10,10,10,10,10,10,10
8VGP4G7PN,えるたそ,2ULM366U6,毎日がエブリデイ,12,1924,6251763770059250,10,10,10,10,10,10,10,10,10
43YKLH543,リュウ,BT22M41DV,梢花帆吟子同好会,8,1925,6244371712355732,10,10,10,10,10,10,10,10,10
5J5KKRPKY,かなた,WHWT61ELR,【無言】ハスノソ,3,1926,6244007483548744,10,10,10,10,10,10,10,10,10
KP0XK4DX9,すっとこどすこい,V4A5MP41E,徒町チャレンジ！,3,1927,6243053982427895,10,10,10,9,10,9,9,8,10
4UYETBB6Y,まほにゃん,L15B25270,蓮女マネージャー,1,1928,6242970592188390,10,7,9,10,9,7,6,6,10
WTGR940GN,ちぇっき,X34LWGL6R,サークル2,9,1929,6239787214808337,10,10,10,10,10,10,10,10,10
YZTKEETUC,イブ,005CDHF0W,Catlike,2,1930,6234139639906688,10,10,10,10,9,9,9,9,10
ZD02D4XBT,かさ322,FH7G62PKW,月火水木金土日,10,1931,6234062388887625,9,9,10,9,9,9,9,9,10
UV5EANYV0,ペガサス,9FF5JBNDF,めぐすきクラブ,2,1932,6228457146919033,10,10,10,10,10,10,10,10,10
8W61A02JJ,ごんべん京,W3YKKRWHG,ルリと愉快な一家,12,1933,6223275693017098,10,10,10,10,10,10,10,10,10
W1XAEMK31,アヒル,DFXN9DB2H,どんぐり共和国,4,1934,6222374828160838,10,5,10,6,7,6,10,10,10
UL37THR9A,み。,FH7G62PKW,月火水木金土日,1,1935,6220409457594710,10,10,10,10,10,10,10,10,10
NUJYM1WUV,dohho,ABALH0AL3,楽園計画,15,1936,6215606687141462,10,10,10,10,10,10,10,10,10
79MB12KLX,煌神,M6JPV9MVW,フォルテシモ,6,1937,6214526429986258,10,10,10,10,10,10,10,10,10
GARL762FP,ICH,MVMP6NNXD,空き時間らくがき,5,1938,6211605362151006,7,7,10,9,10,8,6,8,10
MW8KUNW0W,ふじ,YVV9CMBLW,東京公演で沼落ち,2,1939,6210738725663225,10,10,10,10,10,10,10,10,10
373EA6PBY,yun,FC8NBAJBT,ラー麺二郎金沢店,9,1940,6209353253455340,10,10,10,10,10,10,10,10,10
ID8YOIXB9,オラL,FE282F3VH,天悶部,1,1941,6205837753035208,9,9,10,9,9,10,9,10,10
UMPUWCJ84,とろろ,L15B25270,蓮女マネージャー,12,1942,6196987001677056,10,10,10,10,10,10,10,10,10
BW5UPHFE3,zen,9VVUHVLTK,はすのひよこ,8,1943,6194442980769842,10,10,10,10,10,10,10,10,10
