player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,姬芽,慈,さやか,花帆,缀理,小铃,梢,吟子,瑠璃乃
KMUYDNERU,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,127,8979492264976153,10,10,10,10,10,10,10,10,10
AJMEJX0KG,こーか,FVJFA973A,蓮ノ空愛好会,14,128,8975999224427726,10,10,10,10,10,10,10,10,10
ED3WCG3KU,しゅ,FVJFA973A,蓮ノ空愛好会,8,129,8972303042685334,10,10,10,10,10,10,10,10,10
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,130,8970765281966205,10,10,10,10,10,10,10,10,10
ZX04ZZ2IW,きく,YCTM6RYDP,金沢おでん同好会,14,131,8962405599698248,10,10,10,10,10,10,10,10,10
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,10,132,8961634667540563,10,10,10,10,10,10,10,10,10
45NY6HUBX,かいこ,25PMPEMG7,星見プロ,12,133,8945745943613104,10,10,10,10,10,10,10,10,10
JFND2KZVS,ルビジウム,FVJFA973A,蓮ノ空愛好会,15,134,8938463394514119,10,10,10,10,10,10,10,10,10
OYHRPRDN6,トマト先生,YE7CX8RNP,蓮ノ大三十穣角,6,135,8930229000261857,10,10,10,10,10,10,10,10,10
C9325WMEN,雪崩,PBRDPWEY1,村村会,13,136,8920320309237791,10,10,10,10,10,10,10,10,10
DP15KUDDM,やゆ,49AMYCXCD,ルドベキア,9,137,8918726724371885,10,10,10,10,10,10,10,10,10
JIKYKGGNX,ぬー,HBUK6F7CC,乙宗梢なりきり部,15,138,8915682544373817,10,10,10,10,10,10,10,10,10
15LURYMC1,ベルトーニ,FVJFA973A,蓮ノ空愛好会,15,139,8900843368917908,10,10,10,10,10,10,10,10,10
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,140,8896181771577894,10,10,10,10,10,10,10,10,10
WYT65FE8G,ティーカップ,M5LHG6R4T,乙宗動物園,2,141,8888030268901960,10,10,10,10,10,10,10,10,10
NY9X4SWNC,くりマロン,BKLW6CR5L,Mix鮭の空!!,15,142,8879734875496294,10,10,10,10,10,10,10,10,10
152BPF239,たると,YE7CX8RNP,蓮ノ大三十穣角,10,143,8878501587460689,10,10,10,10,10,10,10,10,10
0Y3QCF38L,小泉くろ,M5LHG6R4T,乙宗動物園,7,144,8878047821401997,10,10,10,10,10,10,10,10,10
8JKPKHDHC,あるふぁん,EYN9H9N16,蓮すきすきクラブ,15,145,8877240467547397,10,10,10,10,10,10,10,10,10
BGZ7SP3WX,はろいと,VW65MCVF8,スリスリーズ,14,146,8866694331448331,10,10,10,10,10,10,10,10,10
7VE9T0CUP,ファイナル牙,PBRDPWEY1,村村会,14,147,8853393040240940,10,10,10,10,10,10,10,10,10
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,148,8844520958358997,10,10,10,10,10,10,10,10,10
Y2LLTQ4MF,Lautrum,M5LHG6R4T,乙宗動物園,15,149,8829695163468055,10,10,10,10,10,10,10,10,10
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,150,8829552449584171,10,10,10,10,10,10,10,10,10
ZHVYQOXPW,たかやん,VW65MCVF8,スリスリーズ,15,151,8828889385660761,10,10,10,10,10,10,10,10,10
OS5RF4SH8,ふら,GXR6C85BT,花帆ちゃん親衛隊,11,152,8824472805282937,10,10,10,10,10,10,10,10,10
KO204U2QH,黒曜石は砕けない,KND3T7056,ぽかぽかモガの村,15,153,8805717551782527,10,10,10,10,10,10,10,10,10
E60YJ59TP,ロレ,VW65MCVF8,スリスリーズ,13,154,8802379979656813,10,10,10,10,10,10,10,10,10
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,7,155,8785865649759483,10,10,10,10,10,10,10,10,10
7XT268BWG,春はこずめぐ,FVJFA973A,蓮ノ空愛好会,15,156,8785503691118715,10,10,10,10,10,10,10,10,10
EU76L0TJ7,とまき,EYN9H9N16,蓮すきすきクラブ,8,157,8783133073786352,10,10,10,10,10,10,10,10,10
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,6,158,8782790903208065,10,10,10,10,10,10,10,10,10
FDXBWBH2B,あおっち,11FB0EDDT,スクステ同好会,0,159,8782072079988642,10,10,10,10,10,10,10,10,10
8ZJCO1B8D,ナイル川飲み干す,VW65MCVF8,スリスリーズ,7,160,8780122304269142,10,10,10,10,10,10,10,10,10
T0AGDWEPM,ゆゆ,CX967RTGY,おんゆあさーくる,15,161,8774431525058383,10,10,10,10,10,10,10,10,10
70NE2637U,りふいっと,BKLW6CR5L,Mix鮭の空!!,8,162,8773144675330030,10,10,10,10,10,10,10,10,10
5LL48ARPU,シュウ,BKLW6CR5L,Mix鮭の空!!,15,163,8766195424284660,10,10,10,10,10,10,10,10,10
DLSZMF1HF,小牧,11XTEEEJT,リンクラ料理部,15,164,8762974694557388,10,10,10,10,10,10,10,10,10
EFW2PMAHB,くら,YCTM6RYDP,金沢おでん同好会,15,165,8750011085149165,10,10,10,10,10,10,10,10,10
JME01B1A1,ハクチュー黄凛,WN5B7VKPU,きんぴられんこん,7,166,8748466281703015,10,10,10,10,10,10,10,10,10
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,13,167,8741694475189308,10,10,10,10,10,10,10,10,10
LQEN0GFVZ,ごろーざ,FVJFA973A,蓮ノ空愛好会,15,168,8735932900967570,10,10,10,10,10,10,10,10,10
2288GCGEH,ふへほはひさん,EYN9H9N16,蓮すきすきクラブ,14,169,8731471828188441,10,10,10,10,10,10,10,10,10
02DY8MLAP,蓮き,YFADYJVW4,FPS好きクラブ,0,170,8727747503911606,10,10,10,10,10,10,10,10,10
G3D40UJXN,中野もにょ,FVJFA973A,蓮ノ空愛好会,3,171,8725853374061924,10,10,10,10,10,10,10,10,10
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,15,172,8722467171274103,10,10,10,10,10,10,10,10,10
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,9,173,8721057838216651,10,10,10,10,10,10,10,10,10
NT480V79A,ゆざくら,PBRDPWEY1,村村会,15,174,8719035892235841,10,10,10,10,10,10,10,10,10
72SX1Q0B7,ティーケー,YE7CX8RNP,蓮ノ大三十穣角,10,175,8715986505676661,10,10,10,10,10,10,10,10,10
DV73OQD94,ちゆ,BKLW6CR5L,Mix鮭の空!!,15,176,8711994896952866,10,10,10,10,10,10,10,10,10
5K59F4UVE,ガチャ至上主義,11FB0EDDT,スクステ同好会,15,177,8711579463652104,10,10,10,10,10,10,10,10,10
KWSACZISO,すずき,CTW8DKV5P,まったり,15,178,8705191505436064,10,10,10,10,10,10,10,10,10
