player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前A RANK,结算前A分数,结算前B RANK,结算前B分数,结算前C RANK,结算前C分数,结算前音游 RANK,结算前音游分数,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
4KGK07NDB,きみここ,5YEE75CB4,ロビーで待ってる,533,0,11959,271000,10668,4273038,10185,5995843,11256,1519672,0,0,2,2,4,5,1,3,1,1,19
BNFJL03LB,ふにゃ〜,4J35EAAHM,蓮ノ空麻雀部,936,1,11960,270950,10263,10722315,11227,1391773,10111,8051991,2199,105613019,5,4,5,5,4,10,5,4,42
FCGYJHGFN,オガヒ,6N3F238R0,イベント参加用,353,0,11961,270910,10120,15519959,11972,262517,10160,7246210,0,0,3,2,1,2,1,1,1,2,13
C37KYAN2L,LuXoN,WAT20PN3Y,こな党,522,2,11962,270770,9351,144597115,8460,289424966,8521,387540991,0,0,10,10,1,10,1,1,1,7,41
CFM13D599,ゆー,9AYD3XJ2D,ぺんぎん隊,954,2,11963,270640,10781,3503935,11025,1804220,10420,4554449,0,0,1,7,6,8,5,9,4,7,47
HJL0WBHKB,サチ,9UKKACGDU,蓮っ子CLUB,1083,6,11963,270640,11013,2225317,10556,3505383,10413,4638976,0,0,7,4,5,8,5,9,5,7,50
93YX8UDF6,izuan,KPVJD4A1H,WINS金沢,741,0,11965,270617,0,0,0,0,0,0,0,0,2,1,1,2,1,1,2,2,12
1JDY8HC96,アクアマリン,71PW1VYLL,蓮ノ空推し愛好会,1002,6,11966,270460,10732,3854909,10796,2389990,10440,4373769,0,0,5,7,6,7,5,5,4,5,44
1CP6TU9C4,ゆう,J05PKV648,Hasucord,420,0,11967,270320,12058,224063,11783,557029,11635,810447,2201,105348729,3,2,3,2,1,1,1,1,14
P5PJWLM9F,凪,V5PGMM8NA,チェスト,582,0,11968,270275,0,0,0,0,0,0,0,0,3,2,1,1,1,7,5,6,26
1FK7FTMPJ,ぽんまる,R7VEXFUBP,蓮ノ空応援クラブ,950,6,11969,270140,8852,579036388,8951,86413977,8887,140777748,0,0,6,8,7,6,9,10,8,9,63
1JF2CG37J,hitonari,DUDHFR1W3,そろそろソロ,890,2,11970,270104,0,0,0,0,0,0,0,0,6,5,5,5,5,7,6,8,47
24JM1FD1G,やま,4URND90YY,参加賞狙い,891,2,11971,269920,10555,5230834,10898,2146024,10751,2924707,0,0,6,4,4,8,4,7,5,5,43
004B95LBK,じゅじゅ,BXC1T2HY2,初心者の集い,93,0,11972,269830,10065,17500068,0,0,0,0,2746,29932213,6,7,6,4,2,4,7,6,42
SA8BYVY47,ブラン,BXGNMY466,ライグラ用,1086,7,11973,269690,8906,521835372,8710,170153165,9031,95624284,0,0,7,4,7,9,5,8,5,7,52
ME7LLT5YV,かわうそくん,FV045G54P,初星学園生徒会,721,0,11974,269650,10769,3601133,11009,1855033,10329,5328157,2742,30815318,10,9,5,8,7,9,7,10,65
J6HN5XWOK,ねぎね,Y2HV0YEF7,蓮ノ空を応援し隊,1296,9,11975,269600,8709,770250691,9956,9058948,10472,4213647,0,0,2,1,4,1,1,4,1,1,15
G7G2JPHB8,柳葉魚,26JDLMBLN,徒町は強く生きる,693,0,11976,269060,9004,419686563,8384,344690503,10603,3497824,0,0,7,7,7,7,10,10,10,10,68
KDGE05NC2,おきたき,3F0M4HXJE,蓮ノ空まったり部,459,0,11977,268970,9324,159504687,11014,1832821,8275,604506592,0,0,1,1,4,2,1,4,1,1,15
CDDJGZ27C,ムラマサ,5YAR2UWUH,エクスグラム,1168,1,11978,268930,10868,2907556,10534,3633966,10725,3018180,0,0,8,7,6,9,1,2,8,8,49
0BHUBBW7C,Miotti,DFFYFJ2B6,つづさや好き過ぎ,1135,12,11979,268610,10279,10258732,8787,137214427,8263,613677329,0,0,6,4,4,6,4,6,4,5,39
MUKFBNXT6,にょんぽこ,YD2XWWFA4,蓮好き好きクラブ,269,0,11980,268390,11196,1516082,11527,910383,11212,1618932,2644,40319836,6,5,5,6,4,2,2,1,31
WKG711TEC,ツバサ,HK0E91U71,放課後写真部,790,2,11981,268340,9035,381717463,8687,179702139,8772,197368273,0,0,5,3,7,2,1,4,1,2,25
B8VN57XWW,スピカ,4HCL7BG63,乙宗喫茶店,1052,2,11981,268340,8802,633738366,9596,18365776,8994,106518983,0,0,6,6,4,4,4,8,8,5,45
UJ5O5QPJK,T.K,NGMU0511T,無言のお茶会,983,1,11983,268300,11366,1115807,9877,10426973,10933,2277796,0,0,4,4,4,2,4,5,1,8,32
X9DBB5HUF,なるなるボーイ,F90XW14UP,のんびりプレイ,162,0,11984,268223,0,0,0,0,0,0,0,0,2,2,3,2,1,2,1,1,14
HEX96CEB1,ふみか,DF7FA982P,蓮ノ空百合部,1154,5,11985,267760,10755,3663969,10445,4187175,10825,2676514,0,0,4,6,4,7,5,8,4,10,48
70PN1Y510,うるひ,FV045G54P,初星学園生徒会,298,0,11986,267710,0,0,0,0,0,0,0,0,6,2,4,6,2,7,2,1,30
F96E2PT2G,S1,A9MA307FX,楽しいが一番,770,0,11987,267670,10930,2651546,10490,3839445,10460,4262901,0,0,4,4,1,4,4,7,7,5,36
AHBVTJC99,結愛,WCL6R1ANU,無所属の会,322,0,11988,267368,0,0,0,0,0,0,0,0,1,6,2,8,9,5,5,1,37
YMAGUGL0B,霖玖（复活）,WLBYGHXPD,大天使村野さやか,107,0,11988,267368,12057,224552,11824,499630,11738,626496,0,0,5,5,1,4,2,3,2,1,23
RHR7RP9LD,ホットケーキ児玉,XLR23XPGK,テステスト,957,4,11990,267220,10785,3486281,10677,2845987,10530,3861970,0,0,1,2,8,8,7,7,5,8,46
MXH24NMLU,あずらえる,8BAYBXUXC,スリブ大好き♪,431,0,11991,266990,8776,664445016,11343,1211723,9180,61990827,0,0,1,2,5,4,1,2,1,1,17
23PTP9P8W,すいむ,3PLMXJ3BY,RR軍,1018,2,11992,266950,10825,3183007,10595,3280708,10543,3804624,0,0,4,6,8,4,5,5,7,7,46
T06L6J7MP,ちえぽん,4FN0KWB4G,無言参加大歓迎！,347,0,11993,266900,10167,13328680,8049,710176166,11469,1099307,0,0,1,1,9,2,9,4,5,4,35
PXD7DWWMD,ゆんゆん,PR2BGEK5K,ありがとう大三角,655,0,11994,266855,0,0,0,0,0,0,0,0,5,2,5,7,4,8,5,4,40
