player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗家執事連合会,15,57,7920000," 578,122,191,090,905 ", 58 ," 484,641,829,006,621 ", 89 ," 513,578,846,959,612 ", 30 ,10,10,10,10,10,10,10,10,80
L71LEGR49,かんなぎ,49AMYCXCD,ルドベキア,15,58,7915000," 591,340,777,940,347 ", 46 ," 490,413,034,793,044 ", 79 ," 504,702,060,278,558 ", 45 ,10,10,10,10,10,10,10,10,80
8E70ID58F,あるとす,WN5B7VKPU,きんぴられんこん,15,59,7896000," 544,855,076,186,007 ", 88 ," 476,411,506,315,816 ", 112 ," 558,446,169,087,386 ", 4 ,10,10,10,10,10,10,10,10,80
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,16,60,7875000," 585,570,105,861,563 ", 51 , - , - ," 491,489,771,287,617 ", 80 ,10,10,10,10,10,10,10,10,80
1A279T9WC,ねば,49AMYCXCD,ルドベキア,15,61,7874000," 517,428,289,352,493 ", 152 ," 491,059,183,606,668 ", 76 ," 533,784,798,096,783 ", 7 ,10,10,10,10,10,10,10,10,80
FM1GCQSEE,Goona,M5LHG6R4T,乙宗家執事連合会,13,62,7853000," 593,902,754,947,557 ", 42 ," 504,033,944,641,881 ", 43 ," 461,698,821,598,038 ", 133 ,10,10,10,10,10,10,10,10,80
OWS2KA4SW,ごみょ,49AMYCXCD,ルドベキア,15,63,7842000," 528,466,398,218,382 ", 123 ," 495,892,615,366,027 ", 69 ," 517,193,366,407,863 ", 22 ,10,10,10,10,10,10,10,10,80
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,10,64,7840000," 585,210,016,721,623 ", 52 ," 489,272,678,437,020 ", 83 ," 503,198,040,901,688 ", 51 ,10,10,10,10,10,10,10,10,80
ALF76WC94,あにょつき,11FB0EDDT,スクステ同好会,15,65,7821000," 531,379,662,144,305 ", 114 ," 503,716,411,509,887 ", 45 ," 504,000,685,904,127 ", 47 ,10,10,10,10,10,10,10,10,80
Z4TLWEM1D,奇数は水アンチ,YE7CX8RNP,蓮ノ大三十角ex,12,66,7809000," 498,436,441,453,622 ", 215 ," 498,943,783,508,363 ", 61 ," 520,108,406,604,266 ", 16 ,10,10,10,10,10,10,10,10,80
