player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
09OX5HNL8,moke,HBU5TBBGA,もけさんず,761,2,13855,2640159,30332169.0,3018.0,2,2,6,5,5,6,9,10,45
2Q7J4ANS6,Shion,W189BP629,みんなのみかん畑,983,12,13856,2640072,,,4,1,6,8,8,5,8,10,50
G337KNYAP,かれん,M4YY7PV0G,ブルーロータス,1002,10,13857,2639212,,,4,6,8,8,7,6,8,9,56
68F3GTF6D,ベース,578YG6EAT,桜桃花束愛聴会,1240,1,13858,2638941,,,5,4,8,10,5,7,10,10,59
BM453W9QR,いのり,E6WR9G75P,安養寺姫芽推し会,941,4,13859,2638729,31739741.0,2985.0,10,8,8,1,5,9,5,5,51
YRU3TKL8N,Jまっくす,A56X45M2C,どんばる同盟,339,0,13860,2637450,,,1,3,3,1,2,1,1,1,13
7UFMAUYT6,ゆう*,E58EXVMJU,ボクがんばる。,1054,5,13861,2635449,,,9,7,8,7,7,7,10,10,65
WNRXC6RAU,やまびこ,XE8513HNP,喫茶カワウ空✨,321,0,13862,2635223,17224725.0,3279.0,3,2,3,1,1,2,1,2,15
MXH24NMLU,あずらえる,8BAYBXUXC,スリブ大好き♪,420,0,13863,2634423,,,3,1,2,3,1,1,1,1,13
J2G6REFRA,雨音,KFC62L0FV,ねるねる同好会,993,7,13864,2632714,,,4,4,4,7,2,9,9,7,46
PY4N1VYHB,ひな,YMKU30246,参加賞がほしい,206,0,13865,2632459,,,8,4,7,8,6,6,8,9,56
EJE3YUUXF,いのらじ,Y4G0KF6NB,無言でやる会,1027,2,13866,2631966,,,4,1,2,1,1,1,7,1,18
JWW4XBV8D,ムロ氏,MG3X118W7,大室家,901,5,13867,2630918,,,6,5,6,8,8,5,6,6,50
Y9888FG49,くうきの,ABU58EVJ2,Quatuor,645,0,13868,2630756,,,2,2,3,1,1,8,5,5,27
AP5M5DF2B,ルート,YVFP54NA2,無言OK！,984,8,13869,2629911,20970494.0,3211.0,8,5,7,9,7,6,9,10,61
Y29PVFY1N,るふい,WLBYGHXPD,大天使村野さやか,361,0,13870,2626292,,,8,7,5,1,2,2,1,1,27
0NBMJYRXG,モグ之すけ,X784G0GKM,異次元から来た,882,3,13871,2625497,,,6,4,6,2,7,5,8,7,45
0TL7LFT7E,NIEEL,UHJTHDTR4,KL,689,0,13872,2624736,,,4,5,7,1,4,1,1,7,30
T06L6J7MP,ちえぽん,4FN0KWB4G,無言参加大歓迎！,272,0,13873,2624379,,,6,8,10,4,5,6,5,5,49
D4S5VLAF4,k×k,UCF93JAPM,スワンプマン,627,2,13874,2623588,,,6,3,3,4,4,3,4,4,31
DEPUVF3F7,ショートケーキ,M7169V8ND,集,660,0,13875,2621857,8140193.0,3460.0,7,7,6,8,9,6,8,7,58
RW4DCACAH,ash,ELTW62751,安全バーは君の腕,557,1,13876,2620694,,,2,2,2,1,1,1,1,4,14
P0E3OK6KU,This,8M5MVFTRW,テキ・トゥー,925,0,13877,2620435,4917624.0,3543.0,7,6,7,7,6,6,8,8,55
RIHLF5H5P,そし,VN1LXEHLR,綴理、愛,475,0,13878,2620089,,,5,4,2,4,1,2,1,7,26
YOPC2UHAH,月影　誠,K69M1X95F,アイリス,1013,3,13879,2619809,,,8,5,7,7,6,6,8,8,55
