player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前A分数,结算前A RANK,结算前B分数,结算前B RANK,结算前C分数,结算前C RANK,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
GXRFED5LC,珈琲,1GJC67JLM,無言の泥,831,2,8148,2692560,3606495932,7073,19574698064,7048,7813533780,7111,0,0,7,7,8,7,7,4,8,6,54
YR7V5HOCE,ムァーチ,6HV2RH6TU,イベント用、無言,1065,4,8149,2692380,1566684800,7384,18707618413,7080,13145140014,6818,69098466,2731,10,8,7,6,8,8,8,7,62
F1GYU9TWY,Metal,9HBUEKVCC,偶像大師閃耀色彩,265,0,8150,2691844,0,0,0,0,0,0,0,0,6,6,7,2,2,2,2,1,28
WDF8E98AU,おちゃのみ,KANLFTMVJ,蓮ノ空中文同好會,1146,12,8151,2691120,7587516932,6787,36541042805,6553,3788633861,7511,0,0,2,1,7,7,10,7,9,9,52
13CYA2Y8X,suzuki,88DJ300PJ,めぐ党 • 永遠,965,3,8152,2690460,97420,12282,19671876,10306,344955307,8918,341464839,1949,7,6,7,6,6,7,9,10,58
E0FHMGY2V,すずつき,G8F0M2PH2,アフターウォール,1085,3,8153,2689500,167670484098,4272,127588358591,4862,250633355266,4140,0,0,8,7,3,4,4,7,9,7,49
KGP6E2YMC,梨鈴,5L9GNT78V,叶え！私達の◯◯,897,0,8153,2689500,4720092847,6966,29523283256,6731,12817427184,6837,0,0,8,5,7,5,7,6,8,8,54
7U8JXAW1J,饶舒铭,TK9E1BB1P,無言で自由,683,0,8155,2689127,1679472,9612,224057998,9515,606304819,8581,0,0,8,6,8,6,5,5,5,7,50
4GAV63AFN,そらいろ,F2M746D4B,頑張らないクラブ,1013,13,8156,2688690,7126999,8971,5632363,10866,30411952,9926,77694392,2667,8,2,10,8,1,4,5,5,43
YGFB6NPK4,開闢の予言者,G7B8E7U52,ぼっち,464,1,8157,2688150,2269694330,7264,37142474998,6535,22544889088,6447,0,0,8,6,6,6,7,5,7,4,49
YMT9EOLDG,コスモ,FC8NBAJBT,ラー麺二郎金沢店,1362,17,8158,2688000,2189964,9452,9895602,10572,71566896,9597,657961341,1610,9,9,9,7,8,9,10,9,70
1O38MGEM7,けんし,9DKR4Y2CJ,蓮ノ空老人会,979,12,8159,2687865,31177365243,6109,0,0,0,0,0,0,6,6,7,2,7,5,7,7,47
CYG3JGBRL,玉城デニオ,JY79RPB1D,リンクラゆる部,1199,12,8160,2687790,10276189125,6661,9711073195,7507,13215993527,6814,0,0,9,7,9,9,8,6,9,10,67
YKB5RTC08,眼鏡流星群,9D722M8KC,蓮ノ空同好会,1071,8,8161,2687700,1779462123,7341,24907317897,6878,11664315170,6886,60350305,2856,8,7,7,6,8,7,8,8,59
I0DUT7VFC,ジミー,VY26V3P0K,AltF4され隊,689,1,8162,2687340,484703,10613,4968733,10934,2626971,11251,80712570,2640,7,10,9,8,5,7,9,9,64
HP7BEW2LC,ジロ,JTX1G19BP,さやかほ癒し会,1297,5,8163,2687250,1878707848,7320,19309404908,7057,7879757088,7104,30042206,3763,4,5,7,3,8,7,7,8,49
05FT610WD,とーの,NK05UMLWW,かけ込み寺クラブ,797,4,8164,2686011,2178092,9456,31136550,10156,1080567,11941,0,0,7,5,7,5,5,6,5,4,44
8TUH0KMMA,中川原 菜々,FNMV166UY,蓮ノ空喫茶部,1217,3,8165,2685900,1714220864,7353,11361769668,7414,0,0,0,0,9,8,9,9,9,10,10,10,74
M1FR8LDYD,T＆M,PWK02KG0F,メメントの森公園,639,0,8166,2685180,10432876320,6655,10147308756,7474,10739927129,6933,0,0,2,9,9,1,1,1,1,9,33
30U9BR23Y,たね,3F0M4HXJE,蓮ノ空まったり部,1049,8,8167,2685000,0,0,0,0,0,0,657664112,1612,8,8,8,4,4,3,8,6,49
85C2VXG3X,チャールズ,JHTULVV5P,故に瑠璃乃推し,969,6,8168,2684050,47572896,8335,5188599927,7882,54467633614,5808,0,0,5,1,9,1,7,6,1,7,37
NGFCPGMWM,青野パスタ,K69M1X95F,アイリス,831,0,8169,2683788,83011035,8193,1183834949,8730,109805347,9423,0,0,5,6,4,5,5,6,7,5,43
ZGRU9SHA4,Masa,A73H7ENN2,エロマンガ同好会,1005,2,8170,2683560,103782314,8141,26519092309,6830,44336676697,5969,0,0,6,6,5,8,1,8,6,6,46
XA20AG99Z,せーのでのんすけ,XHJLF3R8H,ゆったりプレイ,885,3,8171,2683541,0,0,0,0,0,0,0,0,2,9,4,7,9,2,7,6,46
M5ULAVEHL,くれは,0YLUK30K6,蓮っコの集い,624,2,8172,2683380,5034108609,6937,19655501721,7044,18036384101,6615,0,0,4,5,5,1,4,4,8,7,38
UCP2B4R1K,はくべい,F31A07X4V,蓮ノ空福井分校,270,0,8173,2682370,17476269379,6420,27280853687,6807,3817320328,7507,18946980,4188,4,2,2,1,1,2,4,9,25
LVPKJCAPV,ゆきほ〜,9RYR14H9L,ソロマターリ,822,0,8174,2682249,0,0,0,0,0,0,0,0,8,6,9,5,5,7,9,9,58
TPGLDH4C3,べいそん,AE3L01V24,LOVE蓮ノ空,959,2,8175,2682130,16377250774,6451,20488073110,7015,7443133685,7143,0,0,8,6,9,5,8,6,10,8,60
ER78W6H1G,たころう,5TWR9PV56,アラフィフ,1085,1,8176,2681601,137003602,8079,3006661430,8194,40263677352,6043,0,0,3,6,9,7,7,2,5,9,48
VG7CBJNPY,きせ,WLFW6UCX5,無敵級ビリーバー,763,6,8177,2680770,7928270969,6764,17119480111,7141,3179391316,7609,0,0,3,1,6,1,5,5,1,5,27
UPHO4Z31H,ようせい,4FN0KWB4G,無言参加大歓迎！,1123,12,8178,2680180,109436443,8127,25260768580,6866,42461706546,5996,0,0,3,5,4,7,4,2,2,5,32
GBMWLW9CB,ゆず,BEMED3RY1,無言無課金ok,395,0,8179,2680110,22981735850,6272,5982859123,7797,24159335315,6409,83156469,2615,5,10,8,9,5,8,10,10,65
OLDO1U5RH,さく,07JW71HWG,良いチケで観よう,1341,7,8180,2678790,86185552,8183,33034227735,6642,17694125707,6629,0,0,9,10,9,8,8,8,9,10,71
3CBHB3C0E,みゆ,X7YM9EG8K,伝統の石川地酒,951,8,8181,2678430,0,0,0,0,0,0,76735242,2672,8,8,9,6,7,7,9,9,63
85RHV4RV8,けん,TE24TWB7H,CB金沢支部,695,2,8182,2677620,0,0,0,0,0,0,106091023,2504,5,6,10,6,7,7,1,5,47
RCAHAWB49,mk25,PHLRY3XRP,とりあえずやろう,1121,3,8183,2676720,298571771,7855,16094769720,7185,32497275446,6208,0,0,7,6,8,7,8,5,7,8,56
NF4U5CF7K,氷の翼,5WUDLMWEP,蓮ノ空は明日ノ空,725,2,8184,2676360,1432163390,7424,18575457332,7085,16333985485,6683,0,0,6,4,4,4,4,4,5,5,36
KV6IFG020,ひとで,W3UUXHMDV,水彩ブーケ,985,2,8185,2674920,11450140608,6618,13169380995,7314,5940146313,7277,0,0,6,6,7,5,5,2,7,6,44
T6K1JM7ND,かなえ,C8A9CTB34,蓮ノ空山岡家部,456,0,8186,2674750,163391824082,4307,120422926115,4976,263891432056,4069,0,0,10,6,10,7,8,7,6,6,60
UGFRABV9M,Ｙ・濱,RLCCC50JA,【驚寒の殿堂】,783,0,8187,2674740,4629176324,6972,8808877195,7565,12032470708,6869,104403433,2514,6,10,8,3,4,7,7,6,51
2VK9GD7KC,いちごえしやま,2WF4HKKRJ,迫真謡舞踊部,1011,12,8188,2674383,0,0,0,0,0,0,0,0,7,7,7,9,10,9,10,6,65
Y7T6UEX1D,ぽてち,ABU58EVJ2,Quatuor,85,0,8189,2671156,185710,11629,42375388754,6405,15310150299,6727,19713990,4167,8,6,7,4,2,7,2,1,37
46OYOT52K,カケル,G6EH0KHT7,なんもわからん,1015,3,8190,2670470,6555998593,6848,31156397231,6698,33897392965,6183,0,0,2,7,4,5,6,5,5,9,43
M2V869N1Y,よしひこ,83TGL8UMJ,しゅうまつクラブ,792,1,8191,2670420,6791080295,6834,19491606321,7051,7289953432,7158,0,0,9,8,9,5,5,7,10,10,63
YFMP0JMBE,aspas,GYG7B5R36,幼馴染同好会,792,2,8192,2670250,112805039934,4875,183987104388,4117,210144527836,4377,0,0,6,7,7,5,6,6,8,10,55
JB65GWR1D,のてびき,FL60DG573,海未×蓮妄想部,1258,4,8192,2670250,158427914444,4371,115906626666,5044,285117645111,3963,282964241,2025,10,10,10,10,10,10,10,10,80
