player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,音游分数,音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
7D94KWALU,梟雄x,YFADYJVW4,FPS好きクラブ,1149,17,2364,8132600,,,10,9,10,6,9,7,10,8,69
0JKY3BXTW,gg,R1RM3X0WV,後方腕組みオタク,1130,11,2365,8132200,,,8,6,7,7,7,6,6,6,53
DX93H1ECV,えび,BXGNMY466,ライグラ用,468,0,2366,8131610,,,10,6,10,7,4,9,2,3,51
YQLNZGDHJ,なかむ〜,RF5215M2U,スクステ同好会②,1213,10,2367,8131000,,,9,9,8,9,7,7,8,6,63
USL4MDH3Z,閣下,J8HXTJ8TB,流し素麺同好会,1515,19,2368,8130800,,,10,10,10,10,10,10,10,10,80
1FO8RWDNB,たもり,FK5MUK0ET,くる♡すきクラブ,1488,13,2369,8129800,,,9,6,8,1,6,1,1,2,34
W65OLR38R,本だし活用術,NA8FEYN0M,蓮ノ空飲酒クラブ,1340,9,2370,8128200,,,9,7,8,8,8,8,8,6,62
SEJSZ3X86,アルパカ牧場,WLLWJ8ADP,乙宗筋肉サークル,1348,9,2371,8125400,,,10,10,9,10,9,10,8,7,73
XULX036T1,敗北者,J0PT5EX42,スクスタモ部,718,1,2372,8125000,19382634697.0,987.0,10,10,10,10,10,8,10,8,76
H0L7E34YK,つしま,GPKTRBCTT,騎空団蓮ノ空支部,1273,13,2373,8123220,,,10,7,8,10,9,8,9,7,68
XI6I79HEL,サクナメモワール,8EP8BFEV7,蓮ノ空女子野球部,1182,7,2374,8120200,,,10,9,10,10,10,9,7,9,74
MO6L772HM,みみう,2ULM366U6,毎日がエブリデイ,1462,15,2374,8120200,,,10,10,10,10,10,10,10,10,80
J345LCDL6,すん,YNR28303K,りんくらぶ,1085,2,2376,8118200,,,9,7,6,9,9,7,9,5,61
YLE2KLLRU,夜貓社,BELCUYCMH,蓮hkg香港分部,1301,0,2377,8116600,,,9,9,9,9,8,7,8,4,63
GA8CN9FJ3,ジロウ,V8XX999F6,卍蓮村幼稚園卍,1095,6,2378,8115800,,,10,6,10,10,10,10,10,5,71
