player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,姬芽,花帆,慈,瑠璃乃,小铃,梢,缀理,さやか,吟子,昨天分数,是否出刀,未出刀人数
JRREWG0DT,K.12,9X07VGM42,近江町食べ歩き隊,0,4130,453254588533703,6,8,10,9,7,10,8,8,6,453254588533703,False,9
NYXB3JJC0,むにゅま,YUVK7R51W,萌え萌え倶楽部,1,4131,453108334373532,9,7,9,2,4,5,8,8,5,453108334373532,False,8
C2NMDFKG4,この瞬間を大切に,919XF8V2V,蓮之空大三腳,4,4132,452962895502407,8,8,10,10,8,10,10,9,10,452962895502407,False,18
VSW63OWX2,はろすた*,WAT20PN3Y,こな党,6,4133,451936935713098,9,7,10,9,5,6,8,7,5,451936935713098,False,17
D9IRUEYY9,若臣,GUB0YLPWA,料亭「さち処」,12,4134,451743437008124,3,5,9,10,7,7,9,8,7,451743437008124,False,10
TR34AYUGM,えふ,BTVC9G95X,FES用,6,4135,451586084654596,9,8,10,10,9,9,8,8,8,451586084654596,False,13
0G8T68TUD,ねこず,11LUT7G35,恵おし,0,4136,451375636892000,9,9,10,10,8,8,10,8,7,451375636892000,False,2
C6AX017NX,彩,R181MKNX1,みらくらは人生！,12,4137,450975232253667,6,7,9,10,6,9,10,6,5,359384243086544,True,20
FF5OWY051,たみふる,8M6UDX260,ぽけもん好き,7,4138,450613378505797,10,9,10,10,9,10,10,10,8,450613378505797,False,14
CGWOHULSZ,ばたーらーど,NN4U6NV2W,蓮ノ空好き好き〜,2,4139,450471418541655,10,10,10,10,10,10,10,10,10,324003582127006,True,2
L0XJ2V7CH,ぜろ,KHE3R0EE7,チーム本屋,2,4140,450007764461086,5,10,10,10,3,5,2,10,5,450007764461086,False,3
12VXEYT0F,しや,KBJ2P8T0Y,人見知りの集い,6,4141,449790233920321,10,10,10,10,10,10,10,10,10,449790233920321,False,14
4RHPYKEV8,すみ,43HRXMXWA,無言OKクラブ,0,4142,449666080213375,6,5,8,8,4,7,8,5,4,313830929027410,True,19
JRPYTNK27,あきおらいざー,HXVYGL96H,対抗戦,0,4143,449143762691444,7,8,8,6,7,6,7,7,6,449143762691444,False,5
NDA9M2JGD,LOVESICK,WHWT61ELR,【無言】ハスノソ,3,4144,448978702804958,6,7,8,4,5,8,9,6,6,448978702804958,False,13
DG86A7QOY,小原兎歩,J800VVPTN,Aqours,8,4145,448490313476240,8,10,10,10,8,9,7,7,8,448490313476240,False,24
P69DJ2TAW,MIKEMIKE,TFGKYEY98,LLP JR,2,4146,448485918877458,4,7,10,6,3,4,3,5,3,289668395874050,True,13
YPBUEGLFW,sapphire,23PGPJ3NV,蓮ビギナーの集い,9,4147,448297203187228,10,10,10,6,8,3,10,7,9,229905422489388,True,11
VXWG3VTY9,Fanfan,JA2C658FW,さや綴理の村人,2,4148,447743000265598,6,9,10,10,6,8,10,10,8,447743000265598,False,17
V2LHVVUHN,ペリドット,4FXPC55PY,PPIHクラブ,0,4149,447663775280423,7,8,9,8,6,8,8,7,6,447663775280423,False,15
MXTHX8VEA,遺跡,28MBJ3GNY,じゃがじゃがいも,5,4150,447470514372645,10,9,10,10,7,9,9,9,7,340252913482066,True,0
YVRVWZL1C,深緋保護区,BUKPFCJCY,TTMC蓮ノ空班,0,4151,447054933078545,5,5,10,4,4,8,8,6,4,420009343159237,True,1
4RL397PL4,BLUE DIA,TDHKGHFPA,無言参加○！,2,4152,446837608016469,5,6,10,7,4,8,7,5,6,446837608016469,False,11
P3FJDJ8OZ,m@sh,58FD7UF8J,としとしサークル,11,4153,446369233850933,9,10,10,10,6,9,10,8,6,446369233850933,False,18
P9P8RWLV7,hychow,N8L41JAA7,無言 ノルマなし,7,4154,446263679163013,6,7,9,6,7,7,8,7,7,446263679163013,False,19
PFFF64XFB,イワシ,1D7T2UXC2,無言でのんびり,11,4155,445929811440539,10,9,10,10,10,10,9,10,9,445929811440539,False,12
QTAGHFHXJ,mori,H1LTYMK0B,花帆が可愛いの会,13,4156,445489935843208,10,10,10,10,10,10,10,10,10,445489935843208,False,3
VF7TBZKCD,イジ娘,AND13836G,乙宗梢親衛隊,8,4157,444825064406821,8,7,10,10,7,8,9,9,8,444825064406821,False,18
8LE4JJI1J,せいちゃん,7U20138DB,LGP,14,4158,444699630726969,8,7,10,10,7,9,8,9,10,317683543041606,True,19
66MXFK453,萎えトル,05KN1RR3U,さやかほ花卉園,0,4159,444489802130009,7,10,8,7,7,7,7,10,10,345533142398667,True,11
LTTUX9L0J,Saryu,8588YN91J,虹咲学院,2,4160,444456133971345,2,7,9,8,1,5,4,9,1,339231419085079,True,4
YNBBYI8SO,きききりん,JY79RPB1D,リンクラゆる部,7,4161,444410305455016,7,7,8,8,7,7,7,7,6,355302089142562,True,15
2RV3KN78E,遊城ちき,GVY1F8C9D,花咲くラブライ部,3,4162,444353029792435,8,7,8,8,5,7,7,8,9,364567791781483,True,21
HLXKV7EXX,はなみや,GN9EEL045,きらくに,0,4163,444157532750855,7,10,6,6,1,10,5,4,6,361185563905965,True,12
VJCNDJH23,けいせん,UCF93JAPM,スワンプマン,2,4164,444070018715763,10,10,10,10,9,10,10,9,10,444070018715763,False,5
ENBTFJFT3,コースケ,11KVGWXAK,藤島幼稚園蓮組,0,4165,443887552898330,5,7,4,6,6,5,4,4,4,331982987257537,True,19
HHPBEJEQ0,伝説の目撃者,88DJ300PJ,めぐ党,1,4166,443536420930362,9,9,10,10,8,8,10,10,8,320478628057357,True,16
8O1HMMGJ3,shimauo,95TAREFPT,ご自由にどうぞ,8,4167,443377367512367,9,10,10,10,10,10,10,9,8,443377367512367,False,21
4BLLLICX6,風鳴,ABALH0AL3,楽園計画,2,4168,443151984853258,6,9,8,8,7,7,5,7,7,357461787859509,True,15
IPX0CL1TA,菅原トメ子@親指,DL35058T0,eggplant,2,4169,442544899485634,6,6,4,7,5,4,8,7,3,442544899485634,False,1
69J4W6TUC,ぶろみ,PH0YEPJD8,蓮ノ空北國金沢校,2,4170,442292188005545,7,6,10,6,6,6,6,9,6,337364807255375,True,17
LAFDKA9DU,べえ,XTMGPY62U,スクステ初心者,0,4171,441842680493707,8,9,10,10,6,9,9,10,7,441842680493707,False,9
7TFGLDYA6,だいだい,FG5VFFNRK,蓮ノ空おじさん,3,4172,441314497402466,6,6,9,9,6,6,8,7,8,441314497402466,False,14
5YH8T5UNG,オッくん,RHU8M5VUL,幼馴染同好会,1,4173,441197988528869,8,6,9,6,7,5,10,9,7,441197988528869,False,20
3ETKWPKTC,Kaho,H1G4CDT6C,無言自由,10,4174,441153455884675,6,6,5,10,4,4,10,1,10,353275571653044,True,13
EA3CQLHAU,しましま,XPRA8TRVE,蓮ノ空ロボット部,2,4175,440869459472337,9,7,10,10,9,9,10,9,8,321032326869540,True,9
DGYYEEB8G,どんべ,1618JMRED,リンクラ自習室,0,4176,440866437188346,7,8,9,7,6,6,7,7,5,440866437188346,False,15
DPX74MYW3,KPP先輩,6WJW7R1TD,さやこずノ休日,0,4177,440269903698208,7,8,9,9,7,6,8,9,8,377172276549532,True,5
CUU3XUXP2,やよい,9YM3DBTB7,泥民館,0,4178,440115700298929,10,9,10,10,10,9,9,10,8,440115700298929,False,20
N08NFRZHG,スピカ,A208R9K5F,蓮ノ空の空気,2,4179,440061710037839,7,8,8,7,6,8,8,7,7,440061710037839,False,2
3FH0AF5BB,綾園,J0N1E3Y09,月火水木金土日,1,4180,440039220198835,9,8,9,9,4,7,8,7,4,341131085127654,True,11
ENETMXTHS,ナオヤ,YAD615PCK,蓮を咲かせる泥達,2,4181,439957921529824,5,7,7,9,5,7,7,6,6,439957921529824,False,14
Q5Y1MFWJG,HKいかめし,3LUL3WR8Y,零組,4,4182,439844480072227,6,7,10,9,7,9,9,9,6,439844480072227,False,10
UPYMGTVDG,つきよの,4YJYLLDHH,めぐ党同好会,9,4183,439816114298648,10,10,10,10,10,10,10,10,10,439816114298648,False,16
JBOCD3MG8,りす,L1VGJTD5P,蓮ノ空お茶会部,6,4184,439240505051519,9,10,10,9,7,9,10,7,8,330480998205578,True,22
3SUPO7DJK,天王寺渚,6BFC4G5YG,蓮ノ空足湯同好会,0,4185,439124091303666,6,6,10,7,4,7,7,7,4,439124091303666,False,15
