公会名,未出刀人数,Unnamed: 2,rank,point
蓮紺の会,6.0,,349,4611112619473321.0
蓮ノ空コーラス部,5.0,,350,4602759044828246.0
蓮ノ空好き好き,13.0,,351,4521473653738039.0
とりあえず,26.0,,352,4517481746086391.0
蓮ノ空倶楽部,15.0,,353,4503736673249055.0
無敵級ビリーバー,17.0,,354,4489682543663314.0
るりめぐ研究所,7.0,,355,4472996651896938.0
FES用,13.0,,356,4411140434079642.0
レンコンおいしい,11.0,,357,4390310788084341.0
零組,10.0,,358,4382766470459609.0
ポチッ！,8.0,,359,4323405560909838.0
せーはすの雑用係,6.0,,360,4269656426567602.0
安全バーは君の腕,14.0,,361,4231972844439408.0
らんるん部。,1.0,,362,4203729313494027.0
蓮っ子動物園,8.0,,363,4191771512860569.0
スワンプマン,5.0,,364,4159966448362303.0
つづさや好き過ぎ,13.0,,365,4157150813192786.0
のんちゅけ同好会,14.0,,366,4068331719067627.0
フンゲ開放戦線,1.0,,367,4036711186641259.0
Catlike,0.0,,368,4008190785677598.0
れんこん,11.0,,369,4005225662734546.0
蓮ノ空リボ課金部,8.0,,370,3988296893656284.0
梢ちゃん同好会,14.0,,371,3939040899031724.0
なっす父兄,11.0,,372,3918368111724969.0
なんもわからん,23.0,,373,3860270771838414.0
UR取り隊,16.0,,374,3857844828801126.0
素鴨のピクセル,2.0,,375,3848413027727606.0
黄昏の旅団,5.0,,376,3795537467676853.0
蓮ノ灯,14.0,,377,3774786606706439.0
エロマンガ同好会,15.0,,378,3774164600350322.0
HaCordVN,12.0,,379,3710869230709676.0
LG lotus,9.0,,380,3687650182800472.0
チーム本屋,3.0,,381,3680471333459046.0
異次元フェスP,13.0,,382,3676450638163693.0
さやこずノ休日,5.0,,383,3666669608514305.0
深夜の芋煮処,11.0,,384,3665598573933176.0
対抗戦用,12.0,,385,3650341790343210.0
蓮ノ空百合部,17.0,,386,3598813234417173.0
優しさや土までも,1.0,,387,3560166487696282.0
金箔ソフト,2.0,,388,3541242593562258.0
かよちんは宇宙,12.0,,389,3539932018318336.0
ハスラー,2.0,,390,3482397213474032.0
おやさいさん,10.0,,391,3474665287171056.0
泥の中の養分,16.0,,392,3467234291642504.0
『位置について』,8.0,,393,3424265103941946.0
TUAS,2.0,,394,3415442687650763.0
蓮之空小賣部,16.0,,395,3413572333041114.0
のんびり堂,12.0,,396,3382261456197221.0
蓮ノ空ラーメン部,13.0,,397,3365750189930808.0
中国の蓮之空圈子,10.0,,398,3359894626947007.0
個人用,4.0,,399,3329137315386931.0
新川地区ノ空,4.0,,400,3321867342178607.0
としとしサークル,18.0,,401,3321432505857723.0
スリブ好き好き,4.0,,402,3306462499827597.0
蓮根,0.0,,403,3306138994522725.0
参加賞狙い,11.0,,404,3283033763766819.0
アサルトガーデン,2.0,,405,3276035279845073.0
ポチっ！とクラブ,15.0,,406,3255931884690823.0
ユニット愛で隊,8.0,,407,3252258335512936.0
浄龍桐生会,1.0,,408,3251713300505872.0
LotusSky,15.0,,409,3220161231326339.0
インド蓮ノ空支部,0.0,,410,3211396995255271.0
蓮ノ空足湯同好会,15.0,,411,3197163987779370.0
孤独の村人,9.0,,412,3156126051954008.0
無言無課金ok,20.0,,413,3141711697034530.0
ハスノコ,2.0,,414,3121668309930244.0
サークルひとり,12.0,,415,3111306723390021.0
蓮の咲く池,5.0,,416,3078686421761317.0
蓮ノ空初心者部,14.0,,417,3029915153810834.0
箱推し社畜の部屋,6.0,,418,3021069183789314.0
のんびりプレイ,1.0,,419,3017710373103859.0
Rosa,2.0,,420,3014622146437859.0
いとまき団,1.0,,421,2995313271219426.0
福井大学ラ研,6.0,,422,2952227464962890.0
SIFcord,11.0,,423,2940119170174215.0
桜桃花束愛聴会,11.0,,424,2935090839890084.0
ハントンTKG,7.0,,425,2926808599004972.0
かほてぃあん,16.0,,426,2921848823193687.0
アフター見よう！,7.0,,427,2912798526869997.0
蓮ノ空休日クラブ,15.0,,428,2890983015636081.0
すりぃずぶぅ家,16.0,,429,2888354272143577.0
サークル無言,14.0,,430,2887915777288663.0
藤島メグミルク㈱,1.0,,431,2879501858159669.0
ソロ専の集い,16.0,,432,2867690881750635.0
Mulbungs,10.0,,433,2853065058709209.0
フォルテシモ,1.0,,434,2852256769095312.0
まったリンクラ,15.0,,435,2832083952435793.0
大ㄇㄚˊ露營區,14.0,,436,2822633962394777.0
光の海,15.0,,437,2795274435259775.0
京大百合文研,2.0,,438,2782364558232045.0
道立一限遅刻学院,3.0,,439,2773384027472842.0
Edelweiß,3.0,,440,2768918756503359.0
変なサークル,1.0,,441,2749616680374727.0
イベント用,19.0,,442,2742898003902412.0
蓮ノ空飲酒愛好会,2.0,,443,2732063951894486.0
くるくるくるー,2.0,,444,2701818097178228.0
いい顔でこんぶ,1.0,,445,2642334030218655.0
イベント用です,1.0,,446,2632856998163958.0
さやかほ緩々会,3.0,,447,2621438262671076.0
蓮ノ空新聞部,7.0,,448,2619691149871888.0
光を目指す者たち,3.0,,449,2617236499155469.0
コミュ障用誰でも,12.0,,450,2615041437145554.0
リシアンサス,10.0,,451,2594584242568025.0
Lotus329,4.0,,452,2584296696234854.0
ゆのくに天門,6.0,,453,2572987540087063.0
Wei,1.0,,454,2562377837509483.0
ボクがんばる。,3.0,,455,2561733083222872.0
蓮六園,14.0,,456,2560391301258273.0
ハントン✿ライス,14.0,,457,2533077467400015.0
ログイン勢,14.0,,458,2531797994926176.0
蓮箱推し（仮）,15.0,,459,2525824227650456.0
ねるねるねるね,4.0,,460,2517282485784501.0
蓮みっこ,1.0,,461,2483210159816215.0
無所属の会,0.0,,462,2479931525696103.0
蓮すきすき同好会,14.0,,463,2468164097012160.0
ぺんぎんあいす,1.0,,464,2465864666657666.0
蓮っコの集い,20.0,,465,2458686985352150.0
無言。ぼっち。,5.0,,466,2441292797133574.0
高根町,1.0,,467,2439243300963610.0
ご飯特盛肉蟹付き,4.0,,468,2436205824823048.0
蓮根無言会,17.0,,469,2434593263331737.0
ぼくらの太陽,0.0,,470,2414112675223860.0
のんびり,18.0,,471,2388469235765443.0
蓮のブーケ,2.0,,472,2380489447893063.0
初心者の集い,7.0,,473,2361506073817955.0
KA,9.0,,474,2327934761093975.0
蓮ノ空分室,4.0,,475,2324377315594462.0
青い監獄,5.0,,476,2321193114493982.0
蓮之空河豚养殖場,9.0,,477,2292631137168279.0
まったりプレイ,9.0,,478,2291584201334120.0
MRY,1.0,,479,2290048897211470.0
のんすけの滑り台,0.0,,480,2283461820545472.0
ドカ食い気絶部,5.0,,481,2270027193443934.0
KER,3.0,,482,2262011385320262.0
蓮ノ空社辞部,1.0,,483,2250690371001043.0
楽しいが一番,9.0,,484,2241299959337958.0
乙宗筋肉サークル,7.0,,485,2238169380467424.0
蓮ノ初心者,4.0,,486,2227165461661717.0
蓮ノ空 全力応援,5.0,,487,2227145970449125.0
蓮,2.0,,488,2217160309901717.0
卯月軍団,2.0,,489,2186289706070970.0
つーりすと@蓮部,3.0,,490,2161582139428258.0
リンクラゆる部,15.0,,491,2158465797953727.0
無言でいいよ。,9.0,,492,2149676274686905.0
毎日がホリデイ,3.0,,493,2117305402807672.0
しゃふどーぶ,2.0,,494,2107935691653429.0
次世代蓮の空部,0.0,,495,2100848472915225.0
リンクラ自習室,15.0,,496,2098433488453558.0
蓮好きPの集い,3.0,,497,2083115773752175.0
ライバーズハイ,2.0,,498,2081755533866463.0
異次元からキマシ,14.0,,499,2060230473757952.0
猫神教meow派,1.0,,500,2050630276201477.0
気分上ノ空男学院,2.0,,501,2042602458873960.0
あすて☆りずむ♪,2.0,,502,2042030911777761.0
チーム用務員,4.0,,503,2027804560314519.0
梢と綴る刻,3.0,,504,2025755938843284.0
ありがと！にひっ,12.0,,505,2019488808605263.0
nitkc,2.0,,506,2017604293737193.0
すずはら家非公式,5.0,,507,2013299963190685.0
あまやどり,2.0,,508,2010222576188549.0
香港の初心者♪,6.0,,509,1997617462914292.0
蓮ノ空痛車部,4.0,,510,1975176310747819.0
無言サークル,4.0,,511,1918015005547173.0
沼津倶楽部,3.0,,512,1912619861532445.0
聖心党,18.0,,513,1910517081450261.0
無言よわよわの会,11.0,,514,1909877787280131.0
無言ぼっち同好会,14.0,,515,1909435589408682.0
日野下後輩,7.0,,516,1892361253470533.0
1人用ダンボール,1.0,,517,1887732523642538.0
にこたまぱーく,2.0,,518,1868256503704299.0
蓮ノ空麻雀部,1.0,,519,1849898230457536.0
叶え！私達の◯◯,19.0,,520,1812305076898166.0
花帆が可愛いの会,3.0,,521,1802882861660874.0
因島釣り道,1.0,,522,1797158957835541.0
トマティー,1.0,,523,1795991360416916.0
限界夜行,6.0,,524,1795617394933586.0
A,1.0,,525,1795163015759950.0
ロータスランド,8.0,,526,1790553100890634.0
初心者寄り合い所,19.0,,527,1777453749381793.0
ぼくなんなの,3.0,,528,1758407103320605.0
国産牛のにげあし,6.0,,529,1752095014175362.0
東方星蓮船,19.0,,530,1751442798711626.0
