player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,姬芽,缀理,瑠璃乃,梢,慈,小铃,花帆,さやか,季度等级
DM6C1TL84,Lotus,UVM6NP6V7,リシアンサス,0,2719,325777945813050,4,5,7,6,6,7,4,7,6,52
RJJT8JA6N,しらたま,7MPNTWKTN,Dreamers,2,2720,325097871010443,8,7,10,6,9,10,5,8,10,73
JGDJBL79N,ろこ,998H940YN,お嬢様筋トレ部,4,2721,324583335964463,6,4,9,6,8,9,4,9,7,62
13E9H27AA,ぐらはむ,4KRBU0KFF,ノーチャン会,2,2722,324375815115478,7,7,9,7,8,9,6,8,8,69
MGF090R00,りんご。,11XTEEEJT,リンクラ料理部,0,2723,324170009088925,7,9,7,10,6,10,7,10,9,75
BNV0K5GM2,ミ,M8LEKM6U4,ルリめぐ,8,2724,324113203111186,8,9,10,7,10,10,7,9,9,79
QT144ZQM2,結城,0EL43A30P,こころのいろは,3,2725,324109640259905,10,9,10,10,10,10,9,8,10,86
BL1THY7CK,れふと,M8LEKM6U4,ルリめぐ,0,2726,324073894538866,5,7,8,8,7,9,4,9,7,64
NJIKFN9TC,彩丸,T2XRMGEAE,蓮根無言会,2,2727,323927360843394,9,10,10,9,10,10,9,10,9,86
76XHC8PDW,レモネ,Y2HV0YEF7,蓮ノ空を応援し隊,6,2728,323710781394341,4,6,8,5,8,9,4,7,8,59
00P6ZFILR,でにっしゅ,RFYKY8DCD,LA.LA.LA,12,2729,323372420783666,9,8,9,8,7,10,8,10,10,79
YB1CE9PC0,ちゅ〜でん,C9DAJ6YFV,のんびり,0,2730,323198384380982,6,6,10,7,10,8,5,5,6,63
DFEMGJK38,くまちゃん,J7N4W6Y1K,こずミックラブ♡,0,2731,323125530106520,5,6,3,4,3,2,5,7,5,40
TJE9998C0,ポン兄,RBH0YM8P2,蓮ノ空ラーメン部,1,2732,322554907725762,6,8,9,9,7,9,4,7,7,66
BX8BLEFPT,みずいろ,D1YHB0B1A,BWO,7,2733,322511976229969,8,8,10,9,10,9,8,9,10,81
7H3BAMLW2,カムバー,2HEFYHN82,異次元フェスから,5,2734,322472350996505,7,6,10,5,9,10,7,8,7,69
YM74EV7TW,かっちゃん,N0EXH1CM1,ぱちぱち徒町,2,2735,322455044048593,5,6,10,3,9,10,9,4,10,66
A61RP1SSI,カイトチトメ,H6CCL64P9,NATTO,2,2736,322424312671283,5,8,10,7,7,9,6,10,10,72
4WBT2NLH7,zeaks,V6VCA0C4N,ドル家の『D』,3,2737,322175437980654,8,9,9,7,9,10,8,10,10,80
GIVMVARPP,しゅうがく,J8HXTJ8TB,流し素麺同好会,12,2738,322124276083443,6,5,8,7,7,8,5,8,6,60
VH3M9HCB8,佐倉百合子,JBWTMUYAW,梢好き好きクラブ,6,2739,322113230430534,4,6,7,7,7,8,4,7,7,57
5UT8BTUMY,10/10∧18,H1LTYMK0B,花帆が可愛いの会,6,2740,321965532023686,10,10,10,6,10,9,6,10,5,76
DCFJDK8L7,ぺんぺん,1BME38BCD,さすさやクラブ,0,2741,321792988114889,8,9,8,6,9,8,9,8,7,72
2VR7UEKP9,れあそん,95TAREFPT,ご自由にどうぞ,0,2742,321653624354634,6,6,10,7,7,10,5,9,8,68
BUHV09E6T,邪眼の魔法陣,U25M5KVHA,睡眠障害ーズ,4,2743,321398226826361,8,9,7,7,5,10,7,9,8,70
W8F2P5HJK,みどり,K8C99H42D,ルリと喜ド！愛楽,1,2744,321351429624591,1,4,10,5,9,6,5,5,9,54
ELG03NGA0,かな,48BTAPMBG,蓮ノ空魔術部,2,2745,321121208443827,6,5,8,6,7,10,4,8,6,60
GDIJ8GEAN,あーつ,FMKP92LRL,目が霞む人達,5,2746,321103997910472,6,6,7,4,6,8,4,8,7,56
OVXPMW4PT,ごんた,N1DJVPGP8,いつでも咲けるよ,12,2747,321091930971531,4,4,10,4,9,9,4,9,8,61
