player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,缀理,吟子,さやか,瑠璃乃,慈,姬芽,花帆,梢,小铃,季度等级
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,103,842098137806087,10,10,10,10,10,10,10,10,10,90
KWSACZISO,すずき,CTW8DKV5P,まったり,15,104,836243518018160,10,10,10,10,10,10,10,10,10,90
22F9H0NK0,かじみん,JTX1G19BP,さやかほ癒し会,15,105,835480357949213,10,10,10,10,10,10,10,10,10,90
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,106,833511954652037,10,10,10,10,10,10,10,10,10,90
KXMPLAX04,ろーぱす,BKLW6CR5L,Mix鮭の空!!,12,107,831414827189603,10,10,10,10,10,10,10,10,10,90
DPQ6HPBXJ,黒い秋,49AMYCXCD,ルドベキア,4,108,830128080437924,10,10,10,10,10,10,10,10,10,90
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,6,109,829557400550824,10,10,10,10,10,10,10,10,10,90
ZWGHFBK3S,DSsuzu,BKLW6CR5L,Mix鮭の空!!,15,110,827977963352735,10,10,10,10,10,10,10,10,10,90
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,11,111,827958711721715,10,10,10,10,10,10,10,10,10,90
J4NN3D06A,斯波,FVJFA973A,蓮ノ空愛好会,15,112,826980091122400,10,10,10,10,10,10,10,10,10,90
MD4V14J7X,レイジングハート,H6JWBBGCG,蓮天・乙宗一心流,0,113,824922427536356,10,10,10,10,10,10,10,10,10,90
S1JO65QZU,すと。,BKLW6CR5L,Mix鮭の空!!,9,114,822614064212973,10,10,10,10,10,10,10,10,10,90
KYXUCDX5P,米豆梨（みどり）,9YM3DBTB7,泥民館,2,115,821608597668010,10,10,10,10,10,10,10,10,10,90
I3Z8DKKMK,naru,YCTM6RYDP,金沢おでん同好会,15,116,821568634105396,10,10,10,10,10,10,10,10,10,90
LKY79HKFR,シラス柳田リリエ,FVJFA973A,蓮ノ空愛好会,7,117,821563309553152,10,9,10,10,10,10,8,10,9,86
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,15,118,820537076463530,10,10,10,10,10,10,10,10,10,90
RGE7T0KWP,なーるる,49AMYCXCD,ルドベキア,6,119,820243817413082,10,10,10,10,10,10,10,10,10,90
IN27C39RY,スス,9YM3DBTB7,泥民館,14,120,819882559769720,10,10,10,10,10,10,10,10,10,90
U587LWLVX,asagi,RWARTHA1M,乙宗梢大好き部,4,121,817176966094225,10,10,10,10,10,10,10,10,10,90
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,13,122,815886165884634,10,10,10,10,10,10,10,10,10,90
F8BJC61BY,全力幼_女,3HDDYR4FU,旅人,10,123,813963541289941,10,10,10,10,10,10,10,10,10,90
W4E0R6NA9,そらをとぶ,BKLW6CR5L,Mix鮭の空!!,15,124,812171406553351,10,10,10,10,10,10,10,10,10,90
MNV5KYXG7,六天,GXR6C85BT,花帆ちゃん親衛隊,9,125,808373572828101,10,8,10,10,10,10,10,9,8,85
MGGGX0GH1,石もふ,VW65MCVF8,スリスリーズ,15,126,807730627081816,10,10,10,10,10,10,10,10,10,90
3V4MPBM53,oheechan,X7C21B7H7,泥,8,127,806086873583699,10,9,10,10,10,10,10,10,10,89
LDLTRQ88V,しらたま,YCTM6RYDP,金沢おでん同好会,15,128,803643914734502,10,10,10,10,10,10,10,10,10,90
4YTEQDE04,まんまる,EYN9H9N16,蓮すきすきクラブ,12,129,797994848964801,10,10,10,10,10,10,10,10,10,90
OWS2KA4SW,ごみょ,FVJFA973A,蓮ノ空愛好会,14,130,796542997649140,10,10,10,10,10,10,10,10,10,90
8E70ID58F,あるとす,WN5B7VKPU,きんぴられんこん,15,131,796190194831300,10,10,10,10,10,10,10,10,10,90
HUREN9CYS,サキ,PBRDPWEY1,村村会,2,132,796025355246404,10,10,9,9,10,10,10,9,9,86
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,13,133,795686283912271,10,10,10,10,10,10,10,10,10,90
1VM9SAJVY,ユデジロウ,FVJFA973A,蓮ノ空愛好会,11,134,795343589077885,10,9,10,10,10,10,10,10,9,88
RFP277XPM,スガ,11FB0EDDT,スクステ同好会,15,135,794615022587432,10,10,10,10,10,10,10,10,10,90
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,14,136,791889766260780,10,9,9,10,10,10,10,10,9,87
15LURYMC1,ベルトーニ,FVJFA973A,蓮ノ空愛好会,15,137,790958281011044,10,10,10,10,10,10,10,10,10,90
NT480V79A,ゆざくら,PBRDPWEY1,村村会,12,138,789722910386337,10,10,10,10,10,10,10,10,10,90
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,139,789632742408177,10,10,10,10,10,10,10,10,10,90
EFW2PMAHB,くら,YCTM6RYDP,金沢おでん同好会,15,140,789512896127075,10,10,10,10,10,10,10,10,10,90
YIGSDJFDL,あっきー,YCTM6RYDP,金沢おでん同好会,6,141,784313574043837,10,9,10,9,10,10,10,10,10,88
76L1SWWX0,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,14,142,782147426246850,10,10,10,10,10,10,10,10,10,90
XEDYAEF7D,waito,PBRDPWEY1,村村会,2,143,781473734179085,10,10,10,10,10,10,10,10,10,90
FDXBWBH2B,あおっち,11FB0EDDT,スクステ同好会,0,144,780762198168484,10,10,10,10,10,10,10,10,10,90
1FO8RWDNB,璢璢璢璢璢璢璢璢,YE7CX8RNP,蓮ノ大三十角,12,145,780463610275902,10,9,10,10,10,10,10,10,9,88
838S79KWG,春日影,BKLW6CR5L,Mix鮭の空!!,10,146,780113722364208,10,10,10,10,10,10,10,10,10,90
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,147,779245749881436,10,10,10,10,10,10,10,10,10,90
LEEU9JZFJ,きりんちゃん,49AMYCXCD,ルドベキア,13,148,776768156285070,10,10,10,10,10,10,10,10,10,90
C9325WMEN,20011003,PBRDPWEY1,村村会,7,149,776553489392816,10,10,10,10,10,10,10,10,10,90
3U8FCLD8W,すけ,HBM31HMUY,YUKIZURI,13,150,776036543328264,10,10,10,10,10,10,10,10,10,90
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,151,773857213734178,10,10,10,10,10,10,10,10,10,90
CPU567Q5P,あいざっく,8M6UDX260,ぽけもん好き,2,152,772674887147875,10,10,10,10,10,10,10,10,10,90
BGZ7SP3WX,はろいと,VW65MCVF8,スリスリーズ,14,153,771831305442436,10,10,10,10,10,10,10,10,10,90
N6KDBV2A2,ハンバーグ,7R8NKPAB1,花帆推し倶楽部,15,154,771601728346273,10,10,10,10,10,10,10,10,10,90
U8OROTM2Y,なってしまった！,YCTM6RYDP,金沢おでん同好会,11,155,770373207194556,10,10,10,10,10,10,10,10,10,90
C7IMXOP79,ナーガ,FVJFA973A,蓮ノ空愛好会,0,156,770322565768124,10,10,10,10,10,10,10,10,10,90
FSJBKEC6U,かじもとん,YE7CX8RNP,蓮ノ大三十角,7,157,769985692207654,10,10,10,10,10,10,10,10,10,90
67GP30NUW,yuba,11FB0EDDT,スクステ同好会,11,158,769674627588069,10,10,10,10,10,10,10,10,10,90
PJYEBRURT,しょーじ,CTW8DKV5P,まったり,11,159,769426916206768,10,10,10,10,10,10,10,10,10,90
DPNPWAUOQ,たにー,WN5B7VKPU,きんぴられんこん,15,160,766389022669451,10,10,10,9,10,10,10,10,10,89
BFERXX3NE,SE,YFADYJVW4,FPS好きクラブ,7,161,766055644256856,10,10,10,10,10,10,10,10,10,90
8XP3JM3HY,コイキング,YE7CX8RNP,蓮ノ大三十角,13,162,765893974486273,10,10,10,10,10,10,10,10,10,90
80YJPN7V1,シガナ,25PMPEMG7,星見プロ,11,163,764779147921708,10,10,10,10,10,10,10,10,10,90
152BPF239,たると,YE7CX8RNP,蓮ノ大三十角,6,164,764061396505788,10,10,10,10,10,10,10,10,10,90
6B9EETA7A,かっぴ,11FB0EDDT,スクステ同好会,4,165,763314829250565,9,9,9,10,10,10,10,9,9,85
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,166,763268693354073,10,10,10,10,10,10,10,10,10,90
G9KY68ADP,よっしー,JE7V5MM31,蓮ノ沼に沈んだ泥,0,167,762138606681039,10,10,10,10,10,10,10,10,10,90
19KYGA4WX,ココ,25PMPEMG7,星見プロ,15,168,762050544799572,10,10,10,10,10,10,10,10,10,90
9FCM2N4CA,臨倉奴太郎,FVJFA973A,蓮ノ空愛好会,12,169,761196775488644,10,10,10,10,10,10,10,10,10,90
0USG3I0AK,ピーちゃん,VW65MCVF8,スリスリーズ,15,170,761150696276548,10,10,10,10,10,10,10,10,10,90
6PNANEUV0,なの,WN5B7VKPU,きんぴられんこん,10,171,760621383837448,10,10,10,10,10,10,10,10,10,90
L5FWMMCWN,マナト,FK5MUK0ET,くる♡すきクラブ,9,172,758424090125454,10,10,10,10,10,10,10,10,10,90
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,11,173,757342359517966,10,10,10,10,10,10,10,10,10,90
P8RB3BEJ1,Parare,6XX7GBM0K,ぷちぐる同好会,0,174,754735089729967,10,10,10,10,10,10,10,10,10,90
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,6,175,752358832535463,10,10,10,10,10,10,10,10,10,90
GUUN5GB0W,むうげ,BKUHCT7WF,蓮女お嬢様部,8,176,750831865824603,10,10,10,10,10,10,10,10,10,90
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,177,749970871996633,10,10,10,10,10,10,10,10,10,90
RND3BA6Q4,あゆ,49AMYCXCD,ルドベキア,15,178,749873997909086,9,10,10,10,10,10,10,10,10,89
XKLJ2EBER,シェフカワサキ,Y2R7E79U3,カワウソ同好会,12,179,749174775797976,10,10,10,10,10,10,10,10,10,90
MNUBWRC8C,でした。,R1RM3X0WV,後方腕組みオタク,12,180,749137144590880,10,10,10,10,10,10,10,10,10,90
