player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,小铃,姬芽,花帆,梢,吟子,瑠璃乃,慈,さやか,缀理,数量
K137HR419,68,1168194692584768,しょうご,VW65MCVF8,スリスリーズ,10,10,10,10,10,10,10,10,10,10,1
FSHR5FP4W,69,1166964353306633,Kian,0B4LPDY69,巣〜極楽〜,9,10,10,10,10,10,10,10,10,10,1
VFEKJ4R8Q,70,1164990757323755,はやみん,VW65MCVF8,スリスリーズ,6,10,10,10,10,10,10,10,10,10,1
BGZ7SP3WX,71,1163819184494014,はろいと,VW65MCVF8,スリスリーズ,5,10,10,10,10,10,10,10,10,10,1
1Y0XFNNDJ,72,1162485351876176,かなたなか,EYN9H9N16,蓮すきすきクラブ,9,10,10,10,10,10,10,10,10,10,1
M3ANWTEQ1,73,1157673424263530,"甘野老oNM,",73CBYJYB0,"oNM,",7,10,10,10,10,10,10,10,10,10,1
4W6BIX284,74,1152447182469805,リリィ♡,FK5MUK0ET,くる♡すきクラブ,13,10,10,10,10,10,10,10,10,10,1
69B4P3TW1,75,1147672001942085,ルアルディ,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10,1
W51RD80OU,76,1147189691661135,赤飯のごま塩,49AMYCXCD,ルドベキア,7,10,10,10,10,10,10,10,10,10,1
42J4J5OSG,77,1146889575995402,ハラシヨ,W26TRPM1R,めぐ党藤島派,14,10,10,10,10,10,10,10,10,10,1
9ENVXR95K,78,1146843429238539,マオ,MAJT0THVB,眩耀夜行,2,10,10,10,10,10,10,10,10,10,1
JRXUOPXXN,79,1145869192628663,ぐんま,49AMYCXCD,ルドベキア,8,10,10,10,10,10,10,10,10,10,1
P73RHEK4C,80,1144526986415693,ゆあちゃ,KW0RM1LEP,はすっこくらぶ,6,10,10,10,10,10,10,10,10,10,1
MHUB8095B,81,1143220504889886,どらろー,25PMPEMG7,星見プロ,10,10,10,10,10,10,10,10,10,10,1
PG3THEV4C,82,1140550343256728,あお,EYN9H9N16,蓮すきすきクラブ,1,10,10,10,10,10,10,10,10,10,1
6VAVCA9BY,83,1134576770582644,兵部京介,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10,1
OZHGPXIGS,84,1131475468153835,まるごとみなみ,WN5B7VKPU,きんぴられんこん,7,10,10,10,10,10,10,10,10,10,1
VX6FL3EOS,85,1129544994647008,ミミル,MAJT0THVB,眩耀夜行,7,10,10,10,10,10,10,10,10,10,1
8OJ4K93MD,86,1127157495539712,コロ,HBUK6F7CC,乙宗梢なりきり部,9,10,10,10,10,10,10,10,10,10,1
8JKPKHDHC,87,1126576266643461,2252,EYN9H9N16,蓮すきすきクラブ,13,10,10,10,10,10,10,10,10,10,1
W4E0R6NA9,88,1122054531183331,そらをとぶ,BKLW6CR5L,Mix鮭の空!!,12,10,10,10,10,10,10,10,10,10,1
C9ZMT7RH7,89,1119331372253789,キミタケ,B5V2LNN43,WMW,10,10,10,10,10,10,10,10,10,10,1
5LL48ARPU,90,1116077874183241,シュウ,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10,1
67GP30NUW,91,1115712590266782,yuba,11FB0EDDT,スクステ同好会,3,10,10,10,10,10,10,10,10,10,1
935BA0WHY,92,1114830833247521,にむ,11FB0EDDT,スクステ同好会,3,10,10,10,10,10,10,10,10,10,1
XB2VHAJYV,93,1114368173784727,まさお,GMEF2K8DL,花咲く泥も好き²,3,10,10,10,10,10,10,10,10,10,1
8KGF3M6WJ,94,1113296178301534,ことりの,EYN9H9N16,蓮すきすきクラブ,10,10,10,10,10,10,10,10,10,10,1
RKVK0YI1L,95,1112572625925994,おらぴさん,1BME38BCD,さすさやクラブ,13,10,10,10,10,10,10,10,10,10,1
P4LVRKG9L,96,1111298640589697,月見海月,RFYKY8DCD,LA.LA.LA,8,10,10,10,10,10,10,10,10,10,1
ISRNX35D4,97,1111264109950981,KYB,RWARTHA1M,乙宗梢大好き部,7,10,10,10,10,10,10,10,10,10,1
ZYAP6N76H,98,1110236323160303,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10,1
7YZUF27YY,99,1109939750588678,ユウキ,11FB0EDDT,スクステ同好会,3,10,10,10,10,10,10,10,10,10,1
RND3BA6Q4,100,1107451942622056,あゆ,49AMYCXCD,ルドベキア,7,10,10,10,10,10,10,10,10,10,1
J9E2BXTUR,101,1105179991396404,そーや,YE7CX8RNP,能京カバディ部,1,10,10,10,10,10,10,10,10,10,1
8DSWY1SNL,102,1103658551157744,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,10,10,10,10,10,10,10,10,10,10,1
7VE9T0CUP,103,1103094931810049,村・フン民,PBRDPWEY1,村村会,4,10,10,10,10,10,10,10,10,10,1
M8KSSVGQS,104,1096020685908511,おばすこ,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10,1
S1JO65QZU,105,1092140825214959,すと。,BKLW6CR5L,Mix鮭の空!!,5,10,10,10,10,10,10,10,10,10,1
IMAK5NFHF,106,1091541555829050,よもぎ,YE7CX8RNP,能京カバディ部,11,10,10,10,10,10,10,10,10,10,1
