行标签,求和项:point
518,664638698493335.0
519,664485983724950.0
520,664033272665897.0
521,663298209261656.0
522,663225878060728.0
523,663171647261215.0
524,662383738941267.0
525,660951716861351.0
526,660069197169923.0
527,659143542629285.0
528,657251654016171.0
529,657031304365992.0
530,655885211741780.0
531,655165483940430.0
532,653003707281869.0
533,652448447633505.0
534,651769112820091.0
535,651106052221161.0
536,651057954826245.0
537,650302664076497.0
538,649610313624766.0
539,649223561056044.0
540,649102144375406.0
541,648930355147046.0
542,647854738190953.0
543,647628426120522.0
544,646801100515977.0
545,646337443195288.0
546,645758487934597.0
547,645598744804527.0
548,644105385519100.0
549,642450630076565.0
550,642049242719411.0
551,641090543496319.0
552,639880270958994.0
553,639264094575445.0
554,639095673104966.0
555,638799190375365.0
556,638389665749017.0
557,636278287217331.0
558,635755473904893.0
559,633816638436993.0
560,633025942134976.0
561,632985978545519.0
562,632812991797702.0
563,631855770340999.0
564,629776781274957.0
565,629747155202046.0
566,629455286880125.0
567,628128507132157.0
568,627749586447058.0
569,627557911162903.0
570,626192070292383.0
571,624701889028958.0
572,623482623070484.0
573,623428900914453.0
574,623269355597369.0
575,622818638791523.0
576,622612868375709.0
577,621344788691174.0
578,620822811717271.0
579,620034612590698.0
580,619872154930315.0
581,619755862673862.0
582,619093647944430.0
583,618990800117800.0
584,618387793223768.0
585,618333259708746.0
586,616127599732881.0
587,615459089383003.0
588,615350837844618.0
589,613047228873102.0
590,612783163714107.0
591,611924592404436.0
592,611807817367636.0
593,611022170661213.0
594,610662275760123.0
595,609856228233188.0
596,609213765574866.0
597,608107588417014.0
598,606824896514685.0
599,606017167150978.0
600,605727431245946.0
601,605128803037636.0
602,604554368998404.0
603,604027505501485.0
604,603523962725060.0
605,602816923531376.0
606,602691058226807.0
607,601751037855345.0
608,601514973146888.0
609,601492872764729.0
610,600004236120364.0
611,599580611785624.0
612,599214148532413.0
613,598274986287109.0
614,597320143480427.0
615,595748580865511.0
616,595158205086102.0
617,594501683992166.0
618,594459253123830.0
619,594340734872503.0
620,594249194481897.0
621,593951852702804.0
622,593704442875102.0
623,592686798908931.0
624,590865500004141.0
625,590495907817411.0
626,590097882352160.0
627,589698912163429.0
628,589357335641555.0
629,588754359595358.0
630,588558371525382.0
631,588254374596746.0
632,586685496290692.0
633,586446882751859.0
634,585897838846422.0
635,585637235646028.0
636,585575911132322.0
637,584614902831607.0
638,584022469629494.0
639,583963252406394.0
640,583176454912169.0
641,583049079055700.0
642,581965653292410.0
643,581928717087840.0
644,581466189633374.0
645,581141324153091.0
646,580605053740965.0
647,580331347884949.0
648,580120121641318.0
649,579023861738367.0
650,578900480836294.0
651,578210188926431.0
652,578145893352289.0
653,577481283816455.0
654,577114485568278.0
655,576509497386385.0
656,576189766466365.0
657,575978761522754.0
658,575944551039834.0
659,574852272979538.0
660,574766210283310.0
661,574359502527960.0
662,573889363757391.0
663,573318352465016.0
664,573317504573564.0
665,572671025153307.0
666,571970127764383.0
667,571958625806423.0
668,571748489871467.0
669,571272421326098.0
670,570889718071078.0
671,570131900305405.0
672,569925870832461.0
673,568740464990140.0
674,567887355698138.0
675,567673000033446.0
676,567225521288518.0
677,567182135421659.0
678,567145086368589.0
679,566685702788245.0
680,566098566595549.0
681,565746228060079.0
682,565608999284991.0
683,565443511978528.0
684,565168476433377.0
685,564068283882755.0
686,563899898512874.0
687,563575636177917.0
688,562283835333088.0
689,562139603363522.0
690,561418230230293.0
691,560284858401847.0
692,560266872254117.0
693,559986485627134.0
694,559682474667310.0
695,559420499321814.0
696,558544202268317.0
697,558194672324492.0
698,557964582445528.0
699,557896338247566.0
700,557212715301735.0
701,556624772030596.0
702,556313471183840.0
703,556250382168020.0
704,555568803311756.0
705,555057219672293.0
706,554911517568386.0
707,554727789793666.0
708,554681913196315.0
709,554257246829079.0
710,553991115643646.0
711,553814177623922.0
712,553799544124731.0
713,553186077758055.0
714,551344980793749.0
715,551339764551081.0
716,551269336377345.0
717,551131408802937.0
718,550747591109064.0
719,549783702038819.0
720,549625367859837.0
721,549312902060353.0
722,549170242679135.0
723,548955823191036.0
724,548790481374399.0
725,548623589830916.0
726,547829451039406.0
727,547731038384209.0
728,546975621531184.0
729,546595317554780.0
730,546437081544839.0
731,545786171401317.0
732,544964509301260.0
733,544849242798549.0
734,544507251496168.0
735,544167559679402.0
736,544007284426404.0
737,542715570806177.0
738,542269271881980.0
739,541656630178693.0
740,541602267156772.0
741,541356471007639.0
742,541231116449417.0
743,541229055482698.0
744,539879356017022.0
745,538211946534927.0
746,537735099498658.0
747,537571280713535.0
748,537169572073199.0
749,535877730680779.0
750,535683014766478.0
751,535566054779476.0
752,535476620671826.0
753,535422753508537.0
754,535356758547181.0
755,535312976257776.0
756,535304280374888.0
757,535300263472619.0
758,535197166420266.0
759,534759283814283.0
760,534617407889067.0
761,534413431154615.0
762,534319612510666.0
763,533983718731905.0
764,533950615155677.0
765,533760738440945.0
766,533528863104460.0
767,533316143381001.0
768,532923341191922.0
769,532780659760136.0
770,532150104949501.0
771,531672161386698.0
772,531134339631233.0
773,530400359125008.0
774,530252522235141.0
775,530222239199304.0
776,530109455930932.0
777,529391081328216.0
778,529153013689281.0
779,528531128411700.0
780,528128218599889.0
781,527768224825884.0
782,527377849337044.0
783,527166070895422.0
784,526896385455173.0
785,526752349072366.0
786,526087489783632.0
787,525468105260692.0
788,525098131527843.0
789,524775777146210.0
790,524313791949270.0
791,524051946366002.0
792,524032666074090.0
793,523855272883779.0
794,523494529413953.0
795,522560019026477.0
796,522154043732995.0
797,520896450847225.0
