行标签,求和项:数量,求和项:point,人均,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,公会名,前500人数,总分,人均.1
かほ子のイオン,1,106579654616580,,,,,,,,,,,,,,,,,,,
蓮女お嬢様部,1,97934844067193,,,,,,,,,,,,,,,,,,,
とろぺりです,1,94682431493956,,,,,,,,,,,,,,,,,,,
蓮女マネージャー,1,124639549055858,,,,,,,,,,,,,,,,,,,
なす料理研究会,1,94395296344604,,,,,,,,,,,,,,,,,,,
蓮之愛同予者何人,1,93235909143265,,,,,,,,,,,,,,,,,,,
なのだけれど,1,129382565636651,,,,,,,,,,,,,,,,,,,
良いチケで観よう,1,93275077754666,,,,,,,,,,,,,,,,,,,
はすのひよこ,1,121239058198507,,,,,,,,,,,,,,,,,,,
BBF 金沢支社,1,124605622299108,,,,,,,,,,,,,,,,,,,
はんぺん同好会,1,112903368989332,,,,,,,,,,,,,,,,,,,
瑠璃乃推し隊,1,103407617750075,,,,,,,,,,,,,,,,,,,
異次元ビリーバー,1,94925112099222,,,,,,,,,,,,,,,,,,,
旅人,1,107684880059238,,,,,,,,,,,,,,,,,,,
綴理と無言で昼寝,1,107413848329132,,,,,,,,,,,,,,,,,,,
毎日がエブリデイ,1,101252881298943,,,,,,,,,,,,,,,,,,,
おんゆあさーくる,1,99815117190860,,,,,,,,,,,,,,,,,,,
巣〜極楽〜,1,165141215410432,,,,,,,,,,,,,,,,,,,
总计,518,70448338133377000,,,,,,,,,,,,,,,,,,,
