player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,梢,花帆,さやか,缀理,吟子,姬芽,瑠璃乃,慈,小铃,季度等级
CL0CDYUYY,114,3304392184043319,握撃ジリアン,PBRDPWEY1,村村会,12,9,10,10,10,10,9,9,9,9,85
C1Y7XAVVD,115,3293341617575154,ユニ乃瑠璃コーン,0TKFF5EG3,サークル名募集中,13,9,10,10,10,9,9,10,9,9,85
BE9A0VUV4,116,3288228174708697,さんげ,FVJFA973A,蓮ノ空愛好会,0,10,10,10,10,10,10,10,10,10,90
C7IMXOP79,117,3280663841036566,ナーガ,FVJFA973A,蓮ノ空愛好会,0,10,10,10,10,10,10,10,10,10,90
Z4TLWEM1D,118,3277190857596064,ちびこま,YE7CX8RNP,蓮ノ大三十角,6,10,10,10,10,10,10,10,10,10,90
JLADG5GPX,119,3262412172635610,うぇすとれ,PBRDPWEY1,村村会,15,8,9,10,10,8,7,8,8,7,75
B1480XVVT,120,3258684564173145,ハミィ,0UT59MJ8U,かほすこ同好会,2,10,10,10,10,10,10,10,10,10,90
LKY79HKFR,121,3258476169066187,シラス柳田リリエ,FVJFA973A,蓮ノ空愛好会,7,7,8,10,10,8,7,8,7,7,72
19KYGA4WX,122,3254983061640146,ココ,25PMPEMG7,星見プロ,15,10,10,10,10,10,9,10,9,9,87
0USG3I0AK,123,3246808914522784,DARKNESS,VW65MCVF8,スリスリーズ,15,8,9,10,10,7,9,9,9,7,78
MNUBWRC8C,124,3244609747804947,でした。,R1RM3X0WV,後方腕組みオタク,12,10,10,10,10,9,10,10,10,10,89
U587LWLVX,125,3243852002480356,asagi,RWARTHA1M,乙宗梢大好き部,4,8,8,10,10,9,8,8,9,8,78
ISRNX35D4,126,3225656616451837,KYB,RWARTHA1M,乙宗梢大好き部,15,7,8,10,10,7,7,7,7,7,70
V578L0R6J,127,3221861342531628,mion,AXG81GPMP,蓮ノ空マタギ部,12,9,10,10,10,9,9,10,8,9,84
L71LEGR49,128,3220438428299069,かんなぎ,3BDTCERX6,打ち返した流れ星,13,7,7,10,10,8,7,7,8,7,71
5W83UKK4H,129,3208235151481651,望月,1BME38BCD,さすさやクラブ,15,10,9,10,10,8,8,10,10,8,83
FRTXRTHK1,130,3205953249063249,コルド,49AMYCXCD,ルドベキア,13,8,9,10,10,8,8,9,8,8,78
T95Y9M2F4,131,3203014105181952,いくりら,FK5MUK0ET,くる♡すきクラブ,13,10,10,10,10,10,10,10,9,10,89
XKLJ2EBER,132,3202608423674834,シェフカワサキ,Y2R7E79U3,カワウソ同好会,12,10,10,10,10,9,9,10,10,8,86
4KFUM6ADN,133,3198980115716402,ねくすと,M5LHG6R4T,乙宗動物園,15,7,9,10,9,7,7,8,9,7,73
BFERXX3NE,134,3197754481838636,SE,YFADYJVW4,FPS好きクラブ,7,7,8,10,10,8,8,9,8,9,77
7604CH5KV,135,3180067073694377,hiro,FK5MUK0ET,くる♡すきクラブ,15,6,7,10,10,6,7,7,6,7,66
5K59F4UVE,136,3178352016393871,ガチャ至上主義,11FB0EDDT,スクステ同好会,12,7,7,9,9,6,6,7,7,6,64
RRW2O1DH8,137,3178092890128303,ふかひれ,49AMYCXCD,ルドベキア,14,10,10,10,10,7,7,10,8,8,80
JAG81QH05,138,3174174786669105,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,8,8,10,9,7,6,7,8,7,70
ODE064I6J,139,3173900461225282,ちあき,M5LHG6R4T,乙宗動物園,12,7,8,10,10,8,8,8,8,8,75
FSHR5FP4W,140,3167234012208291,Kian,0B4LPDY69,巣〜極楽〜,15,8,8,8,10,7,7,8,10,7,73
YHD181KD3,141,3160689688137160,へぶんAN,FVJFA973A,蓮ノ空愛好会,9,10,10,10,10,8,8,10,7,8,81
HUREN9CYS,142,3152995695714792,サキ,KND3T7056,ぽかぽかモガの村,2,7,8,8,6,7,6,6,7,6,61
LDLTRQ88V,143,3142154380090203,しらたま,YCTM6RYDP,金沢おでん同好会,15,10,9,10,10,10,8,9,9,8,83
LQEN0GFVZ,144,3138589207896838,ごろーざ,FVJFA973A,蓮ノ空愛好会,15,8,8,10,10,8,8,9,8,9,78
V6X4BPJ37,145,3137399057284274,SHIRO,G59NGM0XA,シュリーレン,14,9,9,10,10,7,7,8,9,8,77
BMM78P2WR,146,3135340146910451,(・8・),M5LHG6R4T,乙宗動物園,15,9,9,10,10,8,9,10,9,9,83
8OJ4K93MD,147,3133329091385642,コロ,HBUK6F7CC,乙宗梢なりきり部,11,9,8,9,10,7,7,7,6,7,70
AKMY82517,148,3127462250434443,いずのあいさん,VW65MCVF8,スリスリーズ,15,9,10,10,10,9,9,10,10,9,86
G25EXFDYH,149,3125032480206504,いかずちさんだー,25PMPEMG7,星見プロ,6,8,8,9,10,7,6,7,7,6,68
P73RHEK4C,150,3120363904302692,ゆあちゃ,EYN9H9N16,蓮すきすきクラブ,10,7,8,10,10,8,8,8,8,8,75
