player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,吟子,缀理,瑠璃乃,慈,小铃,花帆,さやか,梢,季度等级
P73RHEK4C,144,581220791153516,ゆあちゃ,EYN9H9N16,蓮すきすきクラブ,10,8,8,8,8,8,8,8,7,7,70
LKY79HKFR,145,580284027177589,シラス柳田リリエ,FVJFA973A,蓮ノ空愛好会,7,7,7,7,8,7,7,8,8,7,66
C7IMXOP79,146,578667653920263,ナーガ,FVJFA973A,蓮ノ空愛好会,0,10,9,9,10,10,9,9,9,10,85
K8XN5UVA3,147,576656365883583,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,8,8,9,10,9,8,9,9,8,78
NY9X4SWNC,148,575142187462377,くりマロン,BKLW6CR5L,Mix鮭の空!!,15,6,7,7,8,8,6,7,8,8,65
ZYAP6N76H,149,575103657256914,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,15,4,5,7,6,10,5,6,6,8,57
74NVPKIGI,150,573693484209296,"なめろうoNM,",73CBYJYB0,"oNM,",15,7,6,7,7,7,6,8,8,8,64
J4NN3D06A,151,573311026558092,斯波,FVJFA973A,蓮ノ空愛好会,15,7,7,10,7,6,7,7,10,8,69
FRTXRTHK1,152,573287695401360,コルド,49AMYCXCD,ルドベキア,13,8,7,7,9,7,7,9,9,8,71
KWSACZISO,153,572799625444590,すずき,CTW8DKV5P,まったり,15,8,8,8,10,9,8,9,9,9,78
DPQ6HPBXJ,154,569860648292391,黒い秋,49AMYCXCD,ルドベキア,4,8,8,8,8,8,8,8,10,9,75
V578L0R6J,155,568237329330757,mion,AXG81GPMP,蓮ノ空マタギ部,12,7,9,8,9,8,8,10,10,8,77
ZNS2C16VP,156,564901848757702,トニー,WX1DYC9Y1,ラナンキュラス,9,6,7,6,7,7,7,7,6,7,60
NK48LNWT8,157,564687488485905,Eri_Maki,1BME38BCD,さすさやクラブ,12,8,8,8,7,8,8,8,8,8,71
TRLEB6AD0,158,561366924759846,ねんねこ,FC8NBAJBT,ラー麺二郎金沢店,15,8,6,8,8,8,6,7,7,8,66
ZHVYQOXPW,159,559060719954607,たかやん,VW65MCVF8,スリスリーズ,15,7,7,8,8,8,7,8,7,7,67
MNUBWRC8C,160,558970666690422,でした。,R1RM3X0WV,後方腕組みオタク,12,9,9,10,10,10,9,10,7,10,84
HU55NKXPK,161,557425935258892,たっち,EYN9H9N16,蓮すきすきクラブ,15,7,7,9,10,8,6,10,10,10,77
Z55OCBCZ1,162,555080953888577,すこや,RFYKY8DCD,LA.LA.LA,15,7,7,6,7,7,7,7,7,7,62
DP15KUDDM,163,554237892243052,やゆ,49AMYCXCD,ルドベキア,9,10,10,10,10,10,10,10,10,10,90
5W83UKK4H,164,554228465145554,望月,1BME38BCD,さすさやクラブ,15,8,8,9,10,10,8,9,6,10,78
RRW2O1DH8,165,554211545538684,ふかひれ,49AMYCXCD,ルドベキア,13,6,7,8,9,8,7,9,9,10,73
INAGE6AD9,166,553961402915170,halxiel,X34LWGL6R,サークル2,12,7,8,7,7,8,7,8,8,7,67
4F1HIHA3J,167,553384055562790,きびだんごうどん,11FB0EDDT,スクステ同好会,10,8,8,8,9,8,8,8,9,8,74
LQEN0GFVZ,168,552216467858623,ごろーざ,FVJFA973A,蓮ノ空愛好会,15,8,8,8,8,8,8,8,9,8,73
62NPMRQF6,169,550305567380735,ふく,EYN9H9N16,蓮すきすきクラブ,8,6,6,8,8,7,8,10,9,9,71
QUQRGUWJL,170,549533331214173,にしおり,49AMYCXCD,ルドベキア,15,8,8,7,8,7,7,8,7,8,68
FSJBKEC6U,171,549071177602219,かじもとん,YE7CX8RNP,蓮ノ大三十角,7,7,8,8,7,10,7,9,9,8,73
3V4MPBM53,172,547947200818114,oheechan,X7C21B7H7,泥,8,7,7,6,6,6,7,6,6,6,57
80YJPN7V1,173,547919273530126,シガナ,25PMPEMG7,星見プロ,11,7,8,9,9,8,8,9,10,9,77
AK6AYMM19,174,546578192760298,ごろよん,PBRDPWEY1,村村会,15,10,9,8,10,9,10,9,9,10,84
8YL7FPM4D,175,545126914052786,制服,FK5MUK0ET,くる♡すきクラブ,15,8,8,8,9,9,8,9,9,9,77
W0WYHMBR4,176,543194692451175,リョータ,3BDTCERX6,打ち返した流れ星,13,7,6,7,7,7,6,7,7,7,61
FYCBDQWGV,177,542465320495018,コトブキ,AXG81GPMP,蓮ノ空マタギ部,5,7,7,6,7,6,7,8,8,6,62
CW1IJ4VQU,178,541717829909474,ALOMA,YE7CX8RNP,蓮ノ大三十角,3,10,10,10,10,10,10,10,10,10,90
N6KDBV2A2,179,538637406309067,ハンバーグ,7R8NKPAB1,花帆推し倶楽部,15,7,8,7,8,8,7,10,8,8,71
B1480XVVT,180,538575917057097,ハミィ,0UT59MJ8U,かほすこ同好会,2,10,10,10,10,10,10,10,10,10,90
SKN67I1NN,181,536881866154325,在床上睡覺,FH7G62PKW,月火水木金土日,12,5,5,6,6,6,5,6,6,6,51
JAG81QH05,182,535182124724719,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,6,7,7,7,8,7,8,7,8,65
OWS2KA4SW,183,535033823747375,ごみょ,FVJFA973A,蓮ノ空愛好会,14,8,8,7,9,7,7,9,9,9,73
542A8BY8D,184,533129103567489,よしこぽけ,11FB0EDDT,スクステ同好会,4,8,8,10,10,10,7,10,9,10,82
LEEU9JZFJ,185,530229840175563,こずかほ結婚式♡,49AMYCXCD,ルドベキア,13,8,5,6,7,5,10,8,7,10,66
TQX0EQZK8,186,530160344778643,そらた,W26TRPM1R,めぐ党藤島派,11,5,7,10,8,6,6,8,7,9,66
FSHR5FP4W,187,529413098291603,Kian,0B4LPDY69,巣〜極楽〜,15,7,7,6,8,10,7,8,7,7,67
FYK24K9Y1,188,529019605960722,卓球,HBUK6F7CC,乙宗梢なりきり部,15,7,7,9,10,10,7,7,10,8,75
KN3FIHXL7,189,528917178244485,トミィ,RFYKY8DCD,LA.LA.LA,7,7,8,7,8,7,9,9,9,9,73
7Q17H65NQ,190,527906566971478,mitsu,YE7CX8RNP,蓮ノ大三十角,15,9,9,8,9,9,9,8,8,9,78
71Z6P5FC1,191,527236854946812,すつ,YCTM6RYDP,金沢おでん同好会,7,6,6,7,8,7,6,9,9,7,65
EFW2PMAHB,192,527235165244883,くら,YCTM6RYDP,金沢おでん同好会,15,7,7,7,7,7,7,9,7,7,65
