player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,姬芽,瑠璃乃,さやか,慈,梢,花帆,吟子,小铃,缀理
PLI8CM0TD,海豚♪@米ﾁｭﾝ,Y0YV7Y3KT,白いご飯,1,12898,39544480215,5,7,5,5,7,7,7,5,5
JV67C5NR2,えな。,DKNHY5HH6,なす料理研究会,1,12899,39496210737,4,4,1,7,8,1,4,2,7
PGC4AT1G0,ホシトリ,NL1MPRG05,とりあえず,2,12900,39485934634,1,1,1,1,1,1,3,1,1
6A2MTK1KO,宇井ユキト,3LUL3WR8Y,零組,2,12901,39475391716,1,5,4,7,4,1,2,5,5
465B7V60E,破壊世界奇々怪々,7MPNTWKTN,Dreamers,0,12902,39463984983,2,2,3,2,4,1,1,10,6
4Z713GEBS,ウメワタ,VD7N7A4WH,氷青色,2,12903,39417122335,1,4,10,4,4,5,4,4,4
C2H65MNWP,タヌキ田ズラ丸,,,0,12904,39416566700,1,1,1,1,1,2,1,3,1
DRAR18V6Y,あなまず,,,1,12905,39308391557,4,5,4,5,8,8,5,6,7
UORSSSYXA,リッキー,YDLF300BV,GREEN,0,12906,39247587082,5,9,1,4,5,7,10,9,7
VULNEADLE,タロー,U24NA1YL7,結晶世界,2,12907,39206135673,4,5,5,5,5,5,5,4,5
BR9BUTED9,cross,ENRGE3M82,蓮ノ灯,0,12908,39196399819,2,10,6,2,5,2,3,4,2
4AJNYPYJN,まみ,2AUM7L9BW,蓮初心者クラブ,0,12909,39153222545,4,7,6,7,8,8,5,3,10
M298SPIY5,なつき,9U8KNU6U9,対抗戦用,0,12910,39062469801,4,5,5,5,5,6,6,6,5
BB2R1UWJ7,めび,PYFV3GWNV,異次元P,2,12911,39062190129,1,4,5,5,1,1,6,8,4
T0760NRNE,もみじ,NCX28D4VB,Lyric,0,12912,39059075527,4,4,1,6,5,4,4,5,4
GIQRA5HFC,taki,KA652DGYV,ゆるリンクラ,0,12913,39034661094,1,9,2,4,4,5,2,10,1
A54W3421L,はなかゆｯ,1F5EPPMLD,UR貰えればいい,2,12914,39006594563,1,4,1,5,1,7,10,7,1
SSRC08SHV,ラムキュー,4YJYLLDHH,めぐ党同好会,0,12915,38967110544,1,1,1,1,3,1,3,3,4
FU8RFTFT1,かめぺろ,UB7145PDD,手がすき,2,12916,38910022946,4,7,6,8,8,7,7,6,6
5L5K6NYJH,ただのジョージ,NB0HX9KP8,かほてぃあん,2,12917,38908567138,4,4,4,1,8,5,6,4,1
J1W38K38L,/μ/Jason,546E85JGG,月猫ぱーく！！！,2,12918,38846947422,4,5,5,5,5,6,6,6,5
W7594TDX4,エーコ,KHAKJKC0A,のんびりまったり,3,12919,38839125256,1,4,5,5,4,4,2,4,5
AYB846TUR,大村,77R0B759H,オオユウ,2,12920,38826322612,4,4,5,7,7,8,5,7,7
CNZEDC8BA,ながない,CW0FRHFXB,いながな,2,12921,38753103596,4,5,7,4,5,5,5,6,5
5SR3GDMQ6,レイネ,,,4,12922,38748107353,5,8,1,4,1,5,1,5,4
6XLM89XDB,ぽーやん,GN9EEL045,きらくに,0,12923,38719913531,4,6,5,6,7,7,6,6,6
GB9ZET285,蓮ノ向かい,PMKB2XTJD,ごはん派！！！,0,12924,38695413603,1,1,1,2,2,2,2,3,1
93EDGTYRF,みよま,4RY75CKM4,LLすこ部　メ募,0,12925,38694044085,4,5,1,4,4,1,2,4,1
UG37B8B5B,らんだ,U4TNE7AC7,AirLotus,0,12926,38665174188,4,5,5,5,6,5,5,5,5
8THSZBSBK,トモ,CT8XW752X,蓮ノ空写真部,6,12927,38662300727,4,5,5,8,7,5,7,8,5
1TJF1I70Y,たくと,MTBP3B4GM,ふらわーすきすき,1,12928,38655244786,2,1,2,2,5,8,3,5,1
2MWJA8R4F,ヌーティー,VXDPPJJL1,蓮ノ空リボ課金部,0,12929,38645231931,1,4,4,4,4,4,3,1,4
J6WH7LHRR,虎次郎,1618JMRED,リンクラ自習室,0,12930,38624230926,4,2,4,9,9,6,6,5,5
ZNMF7N95O,はる,9XNH0HDBN,蓮ノ空∞園芸部,2,12931,38509758343,1,2,1,1,1,1,3,3,1
WW9U5X47F,まきくん,00T3NXXA9,初心者,0,12932,38490358049,4,3,4,1,4,2,2,4,4
RV4HR8EMU,ロペス,68MTL2RGE,スクステ沼津支部,0,12933,38450874741,7,4,1,1,10,5,6,1,10
AWJFX5TDT,カラ松,6BFC4G5YG,蓮ノ空足湯同好会,7,12934,38433569512,1,6,5,8,4,5,8,7,4
G9V4XR1CG,ゆーた,,,0,12935,38419961647,2,2,1,1,3,2,2,2,2
ARNFGF56Q,タンバリン木村,0R8BXPRC1,ポチっ！とクラブ,8,12936,38323717582,4,4,4,7,7,4,6,6,6
R6C237UDU,トモコ,V8XX999F6,卍蓮村幼稚園卍,0,12937,38314145946,4,1,5,4,4,1,2,4,4
92NHAF3N2,ハチミツ,H6JWBBGCG,蓮天・乙宗一心流,2,12938,38284365251,1,1,1,1,5,1,2,1,1
HIA00I80X,ねずみちゃん,N34LHVJKN,のんびり堂,0,12939,38283830323,2,1,1,1,2,1,3,1,1
HT4HLTEA0,空深彼方,NGMU0511T,無言のお茶会,1,12940,38276940727,1,7,1,1,7,1,2,7,1
BEGAV028T,norizi,CHYNT48H6,蓮ノ空新聞部,0,12941,38245021185,1,2,1,1,1,1,2,1,1
YNEF5U1RU,ヨハネの使徒,DHKUGEWBJ,めぐ党虹ヶ咲支部,0,12942,38239433374,7,8,6,10,6,8,7,8,8
W110IU4FT,あきと,TJCDFNMCX,無言サークル,0,12943,38205204212,1,2,2,2,4,5,5,1,2
CJX585BPR,とも,,,0,12944,38180527569,4,3,4,6,8,7,6,4,7
737DY2FZT,Mixed,M851LEV3N,なっす父兄,5,12945,38120261279,4,7,1,8,1,2,7,5,1
YTXFZZ0AG,ハッスル北村,TR057C1UW,蓮ノ空ぼっち部,0,12946,38089074442,4,4,1,5,7,5,7,7,6
MN33Z30BI,Ina,FMKP92LRL,目が霞む人達,4,12947,38044984920,1,4,5,1,4,4,6,1,4
8FGWEK87N,おいどんでごわす,E0JM59N1E,花咲梢,0,12948,38035899823,5,7,4,8,10,10,6,6,5
GXDLHU663,ぽんこつラーメン,,,0,12949,38033505004,1,1,2,2,1,2,3,3,1
JWP3A8CNN,こなチーズ憲伸,ELTW62751,安全バーは君の腕,2,12950,38028674464,1,5,4,10,4,4,2,1,4
L1NMV537M,かず,FNMV166UY,蓮ノ空喫茶部,4,12951,37922892308,1,4,4,9,7,4,2,5,5
VPV0YY67U,ゆき,PJTTTD2GL,蓮の空同好会,0,12952,37894542439,1,4,1,5,5,4,4,4,4
S9O6G9TE4,夏の花,KXU941RFJ,梢先輩おめでとう,7,12953,37892750766,1,5,4,5,5,8,4,2,4
CVMT2BG2B,レン,NFMEGRJ45,社畜無言サークル,0,12954,37889436039,4,5,5,7,6,6,6,6,5
4MNEWG4SF,ヴェス,VGG1HM53K,のんのん日和,1,12955,37848287148,1,4,1,1,10,8,8,4,1
XPPAMVGVN,黛雅硬度十,EXF8N70D8,蓮之空中国分院,3,12956,37842179349,1,1,2,9,1,1,1,4,9
B3YX1KLE4,魚角,,,0,12957,37832519917,4,2,1,4,4,6,2,3,3
F4WHW5NX9,Ritto,BPFAT416J,さやかわいい,2,12958,37813448215,1,1,5,9,5,6,6,1,4
31FWAB9W5,H.M.,PN4VA24XF,みーかるぱーく！,0,12959,37775772755,1,1,1,1,1,1,3,1,1
0EE0MKMNY,ダアツ,FV38N1J23,イベント用,2,12960,37676712361,4,8,5,7,5,1,4,6,7
U31PF35LD,ゆづき,VKW1GNAPL,伝統を守ろう,1,12961,37671146242,1,4,4,4,1,1,10,7,1
NP9KDFBJI,ひのとり,LUH7URBF3,初心者サークル,0,12962,37643921875,4,5,7,7,5,5,6,6,4
543P6KNT5,黒澤ピギィ,2AUM7L9BW,蓮初心者クラブ,0,12963,37624288734,1,2,1,1,2,4,2,1,1
LMPFHXUX3,あいす,2VJG66JTH,まったり,0,12964,37555228018,1,1,2,1,1,1,2,1,1
