player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,瑠璃乃,姬芽,吟子,小铃,缀理,花帆,さやか,梢
M6T52JPTM,とがみ,LYPVAETHY,金沢の泥,0,4279,41520085932040,8,4,4,2,5,5,1,4,5
7EXOPG4TJ,さくらうちすと,0B8RTHY4D,のんびり屋さん,0,4280,41495171819156,5,7,7,5,8,5,6,4,6
40VTB5KG0,わたげ,5NPVVUGH7,蓮すきすきクラブ,3,4281,41479674770751,7,5,4,4,4,4,4,4,4
PC19HCLCH,こじろう,BT3GEWM5L,ささやか村の集い,7,4282,41442146034406,7,7,7,7,10,9,6,10,6
BGB0VEFP1,笹鎌愁久,LY0XPW7NL,元カノ概念強火派,5,4283,41423959609746,4,5,4,6,4,4,5,5,1
DFB1M4MYD,たぬき,TRFPX8EX0,鬼塚商店,4,4284,41401905444234,6,7,6,6,8,7,6,7,8
88DNEW6GJ,高咲ひろむ,J8HXTJ8TB,流し素麺同好会,5,4285,41351662331206,1,1,1,4,4,4,3,4,3
VXV8E51NX,ゆう,976BY5JWK,ハルカカナタ,7,4286,41329447552660,7,7,6,6,4,6,4,6,9
L5DTVDFV4,しろ,95031TR10,ひめぎん文化会館,0,4287,41276293001968,6,6,3,4,4,5,4,5,4
K1LDNMT14,Κενιη,MVMP6NNXD,空き時間らくがき,1,4288,41223832620309,9,7,5,5,4,4,4,4,4
QBDXV7KX6,たぬ,A8Y33CALF,ソロ,0,4289,41214891639612,8,7,5,6,7,9,6,6,8
F4T8JUMZI,のびえもん,BH244Y5H0,休暇建設協会,4,4290,41140028247813,5,7,5,5,5,5,5,5,5
FAN4DK8HU,XiEYH,PMKB2XTJD,ごはん派！！！,4,4291,41063529805491,10,1,5,4,1,9,4,1,2
R1R07VYAY,さわ,A3X92L6YU,お試し用サークル,0,4292,41028500302909,7,6,2,10,1,1,7,1,6
ILS80MLXY,友貴（トモキ）,M851LEV3N,なっす父兄,7,4293,41006595186399,7,4,4,6,4,5,4,4,7
4GMJ32Y0R,Melonpan,J80MEYHBC,Nymphaea,0,4294,40928542772983,4,4,4,5,4,1,3,1,3
KWUIT8VGS,祀才,7AATUNUPE,無言サークル,12,4295,40921100686197,5,7,5,5,5,5,5,5,5
078P6C5Y2,クラム,G6EH0KHT7,なんもわからん,2,4296,40893811788054,1,2,1,8,1,1,4,7,10
TWMHXEK1W,にゃんこな,BX7W9FA88,にゃんこな,12,4297,40866680901591,7,10,6,8,9,4,6,7,7
L76U7V8YB,あかとき,95031TR10,ひめぎん文化会館,0,4298,40865350065174,5,1,1,3,5,2,2,1,1
2G8NVPJAT,ぶっちー,VN1LXEHLR,綴理、愛,2,4299,40805722659797,7,6,4,6,8,5,6,5,7
UNX64AUDG,閉扉,48N7HVJH8,KER,4,4300,40803663201496,9,2,1,10,4,4,9,7,8
D57GXH55B,ねそう,N8L41JAA7,無言 ノルマなし,6,4301,40799792850686,10,6,6,5,7,9,5,8,4
67M7IXJIY,諏訪花雨,NC2YT2V28,蓮之愛同予者何人,2,4302,40694456953963,2,5,1,6,4,4,3,2,9
21K7YPCJR,イトヨウ寺,E8EGT47GT,くるくるくるー,1,4303,40689834453412,10,1,1,4,5,5,2,2,1
SGG4PK2OU,りあ,CXG25026E,泥のみんなS,0,4304,40683009955039,7,6,6,6,7,7,5,7,5
L3HN1X8WQ,シャル村,PPAHU1TNY,蓮ノ空のんびり部,12,4305,40591776044472,7,5,6,6,7,9,2,4,8
NP16UTF12,カイチン,YAY2UK2CT,蓮の空研究部,0,4306,40548785521560,8,2,1,2,8,10,4,1,5
C45S83ZHQ,すやP,0MF6U6UPK,あなたなら大丈部,9,4307,40475800771833,7,7,7,7,8,7,8,7,7
HFVBGL01R,ソウ,BPHHYC793,ソロ専の集い,4,4308,40421499759536,5,7,4,6,9,6,2,3,7
IWSLLAQCP,vividsky,LHXNEF3D5,まるまるサークル,7,4309,40406971674420,7,7,7,7,8,9,7,8,8
2057KHZ4F,ミカ,8R49BTWW6,蓮女お嬢様クラブ,12,4310,40376976471257,4,4,1,7,7,7,4,5,4
TT9HTHLU2,時崎しおこ,X33HHA9F8,アルストロメリア,4,4311,40347065617492,9,1,8,5,1,6,1,1,1
OZMCCVY3N,キク,GMEF2K8DL,花咲く泥も好き²,3,4312,40340887269446,1,7,5,6,7,9,1,9,1
0A2140U4U,海棠,CY3GGDH7H,㍿キモ・オタク,6,4313,40340619685000,4,1,1,4,1,5,1,1,4
W0ZUM69TJ,蝴蝶迷茫,U57VPUTEE,ゆったりクラブ,2,4314,40326028205081,7,4,1,8,3,6,7,1,4
1X77BAHER,サニゴロネ,J4KPR8GX0,関西ラ研,3,4315,40263470973474,7,6,4,4,6,6,4,7,5
N08NFRZHG,スピカ,A208R9K5F,蓮ノ空の空気,3,4316,40238503945690,7,6,4,5,7,7,5,7,5
CDABNPXXG,Naguma,YADX9DY49,ﾊｽﾉｿﾗｰ,2,4317,40232909951339,6,4,1,4,3,1,4,8,4
B5DAV76E6,マウエ,5L9GNT78V,叶え！私達の◯◯,0,4318,40228325551365,7,8,5,6,4,4,7,4,8
