player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,瑠璃乃,慈,梢,花帆,缀理,さやか,姬芽,小铃
332EYNC25,ほしいも,BPFAT416J,さやかわいい,1,15486,692926862,2,4,4,1,1,10,1,1,2
8IAZQ4XTT,わか,38NW3BE99,solitude,0,15487,691013407,1,2,1,1,1,1,1,1,1
N0NAKE9V5,tp,D5YC75NF3,畜群,0,15488,690785260,1,1,1,1,1,1,1,1,1
VHTNXKHGK,オタイ,X976NB85T,ゆったり同好会,0,15489,688443101,1,1,3,2,9,1,4,1,4
5J9JN8K5K,にっしぃー,,,0,15490,685842455,2,1,2,2,1,2,2,1,1
VQ8RCSC3V,Msou,5CG1W6CP5,初心者さん,0,15491,685440924,2,1,1,1,1,1,1,2,3
WWQSSY3QG,伊織,RGR1NVGWH,無言推奨・自由村,0,15492,684057623,3,4,8,4,1,5,1,1,9
VH0GC508L,calypso,1618JMRED,リンクラ自習室,0,15493,683615574,3,2,6,6,1,6,2,1,1
N6HV7UUTP,ここあ,,,0,15494,681972241,1,3,1,1,1,1,1,1,1
EKTFDJKBJ,ルビー,8RA5Y15D5,蓮っ派,0,15495,680246744,1,1,1,1,1,1,1,1,2
4H4EE7K56,Aile,LFB48H6MU,超初心者の会,0,15496,678527859,2,1,1,1,1,1,1,1,2
0UCJ2FB4P,ひなまる,9C2FC74H2,overseas,0,15497,674280237,2,1,1,1,1,1,1,1,1
JR7WPVE1Y,KMR,,,0,15498,672826125,1,1,1,1,1,1,1,1,1
BUI2NBFSF,Reibon,D2V19CM18,さや推し☆,2,15499,672265073,1,1,1,1,1,4,4,1,1
C3FJ3UYJL,うさま,,,0,15500,669757660,2,2,1,1,1,2,1,1,1
689QHHXO4,あんな,,,0,15501,669687935,1,2,4,1,1,1,4,1,1
J57G40U9E,宴瞳,1ET4JA893,虹蓮中国同好会,0,15502,669043733,3,1,1,1,1,1,1,1,1
KL6D8WW8J,イルちゃん,59AK7LJ7A,とりあえず,1,15503,669010534,4,1,1,4,9,1,1,1,1
1L256RK2J,はるかっか,,,0,15504,664296382,2,9,6,4,9,10,2,9,3
KQWNQYA1K,月見ラーメン,XJHATLDVB,さやかほ観測所,2,15505,664296007,2,1,1,1,1,1,8,1,1
5T69PEXY0,Ciaosann,,,0,15506,663583043,1,1,1,1,1,1,1,1,1
VVCBM0K5L,いるり,,,0,15507,663076783,1,2,1,2,2,1,1,1,1
WT83PBE2F,キノコ,27R54NTJ6,♥野中に夢中♥,0,15508,661836218,5,1,5,2,1,5,1,1,5
09ET80CAJ,キクコリス,,,0,15509,661326007,1,1,1,1,1,1,1,1,1
A16BPUGUG,Kigo,1AK9VTG3W,ドルケスキスキ部,0,15510,660110789,4,1,2,2,1,4,2,3,7
T99TU39XY,たかちゃん,NDGW77R2V,こず花帆尊い,0,15511,659911286,2,1,1,1,1,1,1,1,1
9HGXC3MMG,猫林,2B86GLUK0,新党カクメイ,0,15512,658772552,4,4,4,6,5,4,5,4,2
C4A338W2Q,まし,4BU2PJLC1,Sky,0,15513,658750855,1,1,1,1,1,1,1,1,1
5KFAHG4BY,くまぞう,DAGCPU3EA,OO,0,15514,658706135,1,1,1,1,1,1,1,1,3
VGBFJJTHK,タカオミ,,,0,15515,657739344,1,4,1,1,1,1,8,1,1
CWWU38HI7,ゆっきー,4RATY4E84,DC大好きクラブ,1,15516,657414627,2,2,3,1,1,2,1,1,2
CLZI4CXG9,えき,W0JAK2W58,夕方五重奏団,3,15517,654972526,1,1,1,1,1,3,1,1,3
MBZDXER74,ＦＩＮ,,,0,15518,654964015,1,1,1,1,3,1,1,1,1
ADK943HR8,masa,74HPWML1R,VALORANT,0,15519,654545518,2,1,9,1,1,1,1,1,2
TV0LT3XT4,蝦蝦,5P0W7KUEN,嘿蝦為奸,0,15520,654530345,1,2,2,2,3,3,4,1,2
5BGRIH1S6,リイン,,,0,15521,652934546,4,1,1,1,1,1,1,4,1
1YAPH5U0Y,スミノフ,0VEMMV8E2,スリブとまったり,0,15522,652654323,6,1,1,2,1,1,1,1,1
P890KLKL9,Koumi,1XX6FWJRB,オートスキップ団,0,15523,651959209,2,1,1,2,9,1,1,1,1
2WMNYNRU9,ゆゆもふ,51L89PJCB,もふもふ,0,15524,651908919,1,2,1,1,1,1,9,1,1
Z32P4H7U7,Sucuchu,AD9A9J96E,LLEspaña,0,15525,651112553,2,1,8,1,5,1,5,1,2
FN212UD4B,おみの,,,0,15526,650965874,4,5,4,2,1,1,1,1,4
7DMLGDNTT,エロマンティウス,,,0,15527,650568303,1,2,3,2,4,2,2,1,1
E5MPFAE8F,taro,D8CPWLGHJ,あまいのサークル,0,15528,650506587,1,1,1,1,2,1,2,1,1
XFU9CRBB1,afterpau,MCFN901TJ,蓮沼のドロゴン,0,15529,650040793,1,4,1,1,3,1,1,1,2
2TR8JCKPG,あ,W2FPR5BVF,あ,0,15530,649509522,1,2,1,1,1,1,5,1,1
