player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,缀理,姬芽,瑠璃乃,小铃,吟子,慈,梢,さやか,花帆
2UWYWJ9MP,シゲ,,,0,15223,2538656568,1,1,1,4,1,1,1,1,3
JTDGN1RNM,はなまる,,,0,15224,2538578430,4,4,4,7,4,5,10,3,3
FLVHTG685,inko,HA6MUTC30,自由なのだけれど,1,15225,2531969999,1,1,1,7,4,10,1,1,1
FVGIW0W9J,PON,HMBW9DXY2,蓮好き皆あつまれ,1,15226,2529907323,5,4,5,7,6,4,5,4,6
FXSJELYX6,キコ,1618JMRED,リンクラ自習室,4,15227,2528900664,1,8,1,1,2,1,8,8,1
2Y3CXXCP3,七華,PMME7169X,蓮っ子動物園,0,15228,2527628163,1,4,4,1,2,1,1,4,1
KXDX4BVXL,ちった,GN9EEL045,きらくに,0,15229,2524560977,2,1,4,4,2,5,4,5,4
AWGHX43TL,みんてい,,,0,15230,2523146151,1,1,1,1,1,1,2,2,1
BJN55V8AV,ヒナタ,,,0,15231,2521677428,1,4,4,4,1,4,1,1,1
H7XCP9N02,るるクマ,BPHHYC793,ソロ専の集い,1,15232,2521594796,2,1,1,2,4,1,3,3,4
CHLW1OXF1,あなたちゃん,YB3VJBCCH,愛トモの会,0,15233,2521257045,2,1,4,4,1,1,6,1,1
TMV3NM4U6,アイオライト,,,0,15234,2516586994,3,2,1,2,1,1,5,1,4
GSRXL3ID7,なすお,MKABETXAV,月月火水木金金,0,15235,2509019454,5,1,4,2,1,7,5,1,1
20YPXVPA7,星影アイ,,,0,15236,2508247129,2,2,1,1,1,1,1,1,1
OXVED5VJQ,鴉匡,JCRNT9GKB,ハントンTKG,2,15237,2508187874,1,1,1,1,2,1,1,1,1
94XD1KIGX,コウシ,,,0,15238,2506649606,1,1,1,1,1,1,1,1,1
EUDW9WWYC,まーぶる,BTVC9G95X,FES用,2,15239,2505468966,5,4,4,4,2,8,4,4,5
L97C85B82,C4−621,J8YK0M7XA,AC LLL,0,15240,2503764111,2,1,1,1,1,1,2,2,2
DHK1L1LD8,てり〜,H6CCL64P9,NATTO,0,15241,2503643188,1,1,1,1,3,1,1,1,3
3F1W74Y58,こっとんうーる,YCY3A9106,つづ党募集中！,0,15242,2501202191,7,5,7,5,7,7,8,5,7
