player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,瑠璃乃,花帆,慈,梢,缀理,さやか,小铃,姬芽,吟子
CJM21NWHY,jsjs,K95YH6P1C,蓮ノ空泥の会,0,15855,3668756934,1,2,1,2,1,1,2,1,2
PBD4J0D2B,しおり,,,0,15856,3668753913,3,1,2,1,3,1,1,1,1
189UC00KJ,野獣先輩,LR4FT12JM,COAT,0,15857,3667241045,1,1,5,2,6,7,7,7,5
JVGT9BJNB,T.Silver,2YBBLUY1Y,ふんわりクラブ,0,15858,3666618535,1,1,1,1,2,1,4,1,1
CV1P9ZTH3,Mikloft,,,0,15859,3665503781,4,4,1,1,4,1,5,1,4
CNGA0JUPN,届かない、眩しい,,,0,15860,3663943338,3,6,2,5,4,2,5,1,4
52L611H2N,きむひこ,0AYJF4RJ6,無言,0,15861,3658245239,5,1,5,4,4,4,4,1,2
47PMMH4W4,せい,,,0,15862,3657293080,5,4,4,5,4,4,4,4,5
0XJ77CWKE,アリババ,,,0,15863,3654981576,2,1,1,4,1,1,1,1,1
VTMNJBVVX,Racuto,,,1,15864,3654946160,2,1,1,1,5,1,1,1,1
E5BC8H9P4,ダシ,281AVFPPX,蓮ノ空過食クラブ,3,15865,3651210044,5,5,5,5,4,4,2,1,4
OTH5A699Y,百合,N34LHVJKN,のんびり堂,2,15866,3649154351,1,1,1,1,1,1,1,1,2
ZIYLRJ23G,MaRASa,JY79RPB1D,リンクラゆる部,4,15867,3646545545,5,4,8,5,5,4,7,4,4
4L81VRH9H,マホピカ,HHMRTM0P7,つづさや党,2,15868,3644563366,1,2,1,1,1,1,1,1,2
EJ5EY6UBT,はむな,7MXXR7UBG,放課後リンクラ部,0,15869,3642903035,1,5,5,1,1,1,1,5,1
KL7YBADD7,楓華,FD24TD6C5,泥人,0,15870,3642365488,1,1,1,1,1,1,1,1,2
E3UC3B548,はらはら,,,0,15871,3640185329,2,7,3,1,2,4,1,1,1
1YAPH5U0Y,スミノフ,0VEMMV8E2,スリブとまったり,0,15872,3636070615,1,1,1,9,1,1,1,1,6
7594GL7V4,のっぴ,E12PR824F,ゆるっと蓮ノ空,0,15873,3635629203,4,5,4,4,4,6,5,1,5
0MRFE0VJ4,メープル,HPTHY23VR,蓮ノ空文芸部,0,15874,3632573538,1,3,1,3,1,1,1,1,3
4TEPBVM6C,むこ,LLDLG20UU,UR取り隊,0,15875,3632204803,8,4,5,5,5,4,5,4,7
SLH3S1GRE,igacyon,1D7T2UXC2,無言でのんびり,0,15876,3629132801,1,1,1,2,4,1,3,1,4
