player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,さやか,小铃,姬芽,吟子,瑠璃乃,泉,塞拉斯,季度等级,104季度等级
9QO93VCZF,蓮ノ沼の泥,HBM31HMUY,YUKIZURI,7,494,13439000,10,7,7,7,7,6,7,10,61,44
0TLDUDJ0J,すとーん,25PMPEMG7,星見プロ,12,495,13433900,8,6,6,7,8,6,5,8,54,41
2BYYVT3XU,sou918,X7C21B7H7,泥,13,496,13424000,7,7,7,8,7,8,6,10,60,44
NG3YLD3WC,たそーら,73CBYJYB0,"oNM,",13,496,13424000,6,6,7,7,6,6,9,10,57,38
BL0BGN2JZ,せて,6XX7GBM0K,ぷちぐる同好会,9,498,13417000,9,6,7,8,8,6,6,9,59,44
EQCWYNLEG,サグ☆ナッツ,7R8NKPAB1,花帆推し倶楽部,6,498,13417000,10,6,6,6,6,6,4,7,51,40
1383YAX38,ぴゅーぱ,7XH3K4GBT,LLP,0,500,13415500,8,7,6,6,6,7,6,9,55,40
ZYVGB70CC,かすが,JDAG79TG7,百合ノ空観察部,15,501,13413500,9,8,7,7,7,7,7,9,61,45
LNTJFQNJ4,雪人,V6DV6KETG,梢好き好きクラブ,4,502,13408500,6,5,5,4,4,5,6,9,44,29
7L6LDY5MT,handaeun,YE7CX8RNP,蓮ノ大三十角ex,15,503,13406950,8,8,8,7,7,8,7,10,63,46
FY3NQU6M7,やきプリンのプロ,0UT59MJ8U,かほすこ同好会,12,504,13405000,6,6,7,6,6,6,5,10,52,37
1908GAXUT,source,CV62FGL1U,花咲かせ隊,15,505,13404500,10,7,6,7,7,7,7,8,59,44
