player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,grade pt,塞拉斯,泉,花帆,姬芽,小铃,瑠璃乃,さやか,吟子,季度等级,104季度等级
C7IMXOP79,ナーガ,FVJFA973A,月猫愛好会,0,71,46153000,3941,10,9,10,8,8,7,9,8,69,50
02DY8MLAP,蓮き,YFADYJVW4,FPS好きクラブ,15,72,46142500,3940,10,9,10,9,9,9,9,8,73,54
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,73,46104500,3940,8,6,10,8,7,6,7,6,58,44
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,12,74,46091000, ,7,6,10,8,9,8,8,9,65,52
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,15,75,46070000,3938,10,9,10,8,8,6,9,9,69,50
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,11,76,46041500,3937,10,8,10,9,9,8,10,8,72,54
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,15,77,45958500,3936,8,5,9,7,7,7,7,7,57,44
JC33CNHML,かすかす,PBRDPWEY1,村村会,15,78,45957000,3936,8,6,10,7,8,7,8,9,63,49
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十角ex,4,79,45948500,3935,10,9,10,7,6,6,6,8,62,43
76L1SWWX0,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,15,80,45944000,3934,9,8,10,8,8,9,8,8,68,51
JAG81QH05,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,81,45942500,3934,8,7,10,8,8,7,8,9,65,50
5W83UKK4H,望月,1BME38BCD,さすさやクラブ,15,82,45914500,3933,10,7,10,8,7,7,8,8,65,48
4F1HIHA3J,きびだんごうどん,11FB0EDDT,スクステ同好会,15,83,45856500,3932,9,8,9,7,7,7,7,7,61,44
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,15,84,45760500,3931,8,7,10,7,7,7,8,7,61,46
VGWT7LCX7,ZUC,2VB9FPCTL,音ゲー待機室,12,85,45747500,3931,5,4,10,8,7,8,8,8,58,49
DES39P1DL,ェダ,B5V2LNN43,WMW,14,86,45626500,3930,5,5,10,7,7,6,7,6,53,43
8GYTX89XA,桂木しづみ,PBRDPWEY1,村村会,15,86,45626500,3930,10,8,10,7,7,7,7,7,63,45
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,88,45569500,3928,7,6,10,8,8,8,8,8,63,50
L5FWMMCWN,クルス人,PBRDPWEY1,村村会,9,89,45542525,3928,10,7,7,7,6,6,10,6,59,42
FM1GCQSEE,Goona,M5LHG6R4T,乙宗動物園,13,90,45451225,3927,8,7,10,7,7,7,6,7,59,44
CZKJL4VOV,リリエンフェル党,M5LHG6R4T,乙宗動物園,15,91,45446000,3926,10,6,9,7,7,8,7,7,61,45
B6XUHLVUZ,ればにら,RFYKY8DCD,LA.LA.LA,15,92,45431000,3926,10,9,9,9,9,9,10,9,74,55
6X3LMM5NH,ズライカ,X7C21B7H7,泥,15,93,45395500,3925,10,7,8,8,8,8,8,8,65,48
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,15,94,45394500,3924,10,10,8,8,8,8,8,7,67,47
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,15,95,45387500,3923,10,6,8,7,7,7,7,7,59,43
M8KSSVGQS,おばすこ,2VB9FPCTL,音ゲー待機室,15,96,45383500,3923,10,7,10,7,7,8,8,8,65,48
4NF07ZA7K,ゆーさく,VW65MCVF8,スリスリーズ,15,97,45338000,3922,10,10,10,8,8,8,9,9,72,52
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,98,45335500,3921,5,5,10,6,6,6,6,6,50,40
PG3THEV4C,あお,EYN9H9N16,蓮すきすきクラブ,10,99,45188500,3921,8,6,9,6,6,6,6,8,55,41
MEGKKH1W5,75,HE0GK3EPE,瑞蓮プロカ倶楽部,15,100,45160850,3920,10,8,9,8,7,8,7,8,65,47
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角ex,15,101,45103000,3919,9,6,9,6,6,8,7,7,58,43
M13CTUF6N,ニール,49AMYCXCD,ルドベキア,15,102,45054000,3918,10,8,10,8,7,8,9,8,68,50
JVDRVFFBP,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,103,45041000,3918,10,4,7,6,6,6,6,6,51,37
L71LEGR49,かんなぎ,3BDTCERX6,打ち返した流れ星,15,104,44934500,3917,10,7,9,7,8,7,8,8,64,47
KWNXKNY6X,応愛こず,49AMYCXCD,ルドベキア,15,105,44861000,3916,8,2,9,8,8,7,8,8,58,48
N6KDBV2A2,ハンバーグ,7R8NKPAB1,花帆推し倶楽部,15,106,44855000,3916,10,8,10,9,10,9,9,9,74,56
