player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,塞拉斯,花帆,姬芽,瑠璃乃,吟子,小铃,泉,さやか,季度等级
L71LEGR49,かんなぎ,3BDTCERX6,打ち返した流れ星,15,109,7519500,7,7,7,7,8,8,7,7,58
67GP30NUW,yuba,11FB0EDDT,スクステ同好会,13,110,7503500,7,7,6,7,9,8,6,9,59
M8KSSVGQS,おばすこ,2VB9FPCTL,音ゲー待機室,15,111,7497000,7,8,7,8,8,7,7,8,60
N6KDBV2A2,ハンバーグ,7R8NKPAB1,花帆推し倶楽部,15,112,7487000,8,10,7,8,8,8,8,8,65
S1JO65QZU,すと。,PBRDPWEY1,村村会,9,112,7487000,5,5,5,5,9,5,5,9,48
W51RD80OU,赤飯のごま塩,49AMYCXCD,ルドベキア,15,114,7483000,6,7,7,7,7,7,7,7,55
J4NN3D06A,斯波,,,15,115,7482500,7,7,7,8,7,7,7,10,60
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,116,7462500,6,7,8,6,6,7,6,7,53
P4LVRKG9L,ツキミ,RFYKY8DCD,LA.LA.LA,15,117,7462000,6,6,6,6,10,6,6,7,53
CZKJL4VOV,リリエンフェル党,M5LHG6R4T,乙宗動物園,15,118,7453500,7,9,6,7,7,6,6,7,55
QUQRGUWJL,にしおり,49AMYCXCD,ルドベキア,15,119,7453000,6,7,7,6,7,7,6,7,53
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,15,120,7451500,8,8,7,6,8,7,8,9,61
JIKYKGGNX,ぬー,HBUK6F7CC,乙宗梢なりきり部,15,121,7445000,8,7,7,7,7,7,8,7,58
FYK24K9Y1,卓球,HBUK6F7CC,乙宗梢なりきり部,15,122,7418000,9,7,7,7,7,7,7,7,58
OOC27PRN6,リリィ,,,2,123,7407000,6,6,8,6,8,7,6,7,54
JAG81QH05,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,124,7403000,6,8,8,7,9,8,7,8,61
7604CH5KV,hiro,FK5MUK0ET,くる♡すきクラブ,15,125,7398000,5,6,6,6,6,6,6,6,47
RRW2O1DH8,ふかひれ,49AMYCXCD,ルドベキア,15,126,7392000,8,6,8,7,7,7,7,7,57
72CKW0EAA,にっぴー,PBRDPWEY1,村村会,12,127,7381500,6,8,8,8,7,8,6,8,59
0DKJN8WXG,ごまッチョ,GXR6C85BT,花帆ちゃん親衛隊,14,128,7377000,9,10,8,7,8,8,8,7,65
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,6,129,7375000,8,5,5,5,7,5,9,6,50
9I1VJ6KP7,MYAS,0TKFF5EG3,サークル名募集中,15,130,7367500,10,6,6,7,6,6,5,7,53
7PLTVA4SD,どんきちうどん,M5LHG6R4T,乙宗動物園,4,131,7360000,10,7,7,7,6,9,2,6,54
DP15KUDDM,やゆ,49AMYCXCD,ルドベキア,9,132,7351500,6,10,7,8,7,7,6,8,59
PFLJMTJPB,カリウム,RXXUPMWB9,待機室跡地観測所,9,133,7345500,10,10,10,10,10,10,10,10,80
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,15,134,7339500,5,7,7,7,7,8,5,7,53
L6A36K16J,なりり(本物),FK5MUK0ET,くる♡すきクラブ,12,134,7339500,6,5,10,5,6,6,6,6,50
GUUN5GB0W,むうげ,BKUHCT7WF,蓮女お嬢様部,12,136,7336500,8,8,8,8,8,8,8,8,64
V4BF6FLLT,あめたま,2K5AM4RV0,とろぺりです,10,137,7335500,6,8,8,8,8,8,5,8,59
HY934N56T,祝・自カプ婚姻,,,10,138,7334500,6,7,7,7,7,7,6,7,54
L13896J13,XLD,NC2YT2V28,蓮之愛同予者何人,15,139,7333500,8,6,9,6,7,9,6,7,58
45NY6HUBX,かいこ,25PMPEMG7,星見プロ,14,140,7330500,4,8,7,7,7,8,4,7,52
JVDRVFFBP,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,141,7329000,10,6,5,5,5,5,3,5,44
