player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,A分数,A rank,B分数,B rank,C分数,C rank,姬芽,泉,さやか,花帆,瑠璃乃,小铃,吟子,塞拉斯
3AVCRYLGL,豆腐さん,,,0,15835,3095920,,,,,,,1,4,4,4,4,1,1,4
6HVBK1KC9,神葉,FV38N1J23,イベント用,0,15836,3095525,134168866.0,11916.0,140977809.0,12971.0,,,1,1,1,1,1,1,1,1
K5K8T4F2H,ちとら,,,0,15837,3095400,,,,,,,3,5,6,4,5,2,2,3
G22TPKYPD,とみ,XGJ594NN8,リンクラ初心者,0,15838,3095295,94159378.0,12520.0,,,142146284.0,12398.0,1,1,4,3,2,1,2,1
4CUBTDYCT,Eckhart,,,0,15839,3095250,102349595.0,12370.0,208174521.0,12570.0,,,2,1,1,1,1,1,1,3
MB1WHJTU3,御徒町チャレンジ,VY26V3P0K,AltF4され隊,3,15840,3095170,,,,,,,2,4,1,1,2,1,1,7
W131PFT14,法円坂　潤太,,,0,15841,3095075,46503915.0,13467.0,448155163.0,11507.0,,,1,4,1,1,1,1,1,7
6AUB2H8E7,シア,,,0,15842,3094740,,,,,,,1,1,2,1,1,1,1,1
I9ENVKQRD,シミコン,,,0,15843,3094700,,,,,,,1,1,1,2,1,2,2,1
WGEDFT7UC,Mimii,,,0,15844,3094635,,,,,,,1,1,1,1,1,1,1,1
ASACG07UP,しゅん,CHRR1ARHR,さやを応援し隊,3,15845,3094600,89215861.0,12619.0,231135659.0,12451.0,,,1,4,1,4,4,1,1,7
JEJCXJ0P7,yuu,,,0,15846,3094535,56383858.0,13271.0,376013892.0,11811.0,,,1,1,1,1,1,1,1,1
YRNL6NYJ6,真pile姬,N4LXXW90M,KGL!,4,15847,3094210,94368211.0,12516.0,196793789.0,12632.0,,,1,1,4,2,4,1,1,4
89JWM2EGJ,あぼゼ,,,0,15848,3094185,,,,,,,1,1,1,1,1,1,1,1
9BUREHLMJ,初奈様大好き,WVCV14LYU,初奈大人的狗窩,0,15849,3093715,111310336.0,12230.0,133667219.0,13017.0,,,1,1,2,1,1,1,2,1
