player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,小铃,さやか,瑠璃乃,姬芽,吟子,泉,塞拉斯,季度等级,104季度等级
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,15,93,37873500,8,8,8,8,8,7,10,10,67,47
CZKJL4VOV,リリエンフェル党,M5LHG6R4T,乙宗動物園,15,93,37873500,9,7,7,8,7,7,6,10,61,45
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,95,37792500,10,6,6,6,6,6,5,5,50,40
DES39P1DL,ェダ,B5V2LNN43,WMW,14,96,37772000,10,7,7,6,7,6,5,5,53,43
MEGKKH1W5,Ｋ,HE0GK3EPE,瑞蓮プロカ倶楽部,15,97,37760800,9,7,7,8,8,8,8,10,65,47
PG3THEV4C,あお,EYN9H9N16,蓮すきすきクラブ,10,98,37708500,9,6,6,6,6,8,6,8,55,41
M13CTUF6N,ニール,49AMYCXCD,ルドベキア,15,99,37686500,10,7,9,8,8,8,8,10,68,50
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,15,100,37680000,7,7,7,7,7,7,6,10,58,42
FM1GCQSEE,Goona,M5LHG6R4T,乙宗動物園,13,101,37670225,10,7,6,7,7,7,7,8,59,44
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角ex,15,102,37637000,9,6,7,8,6,7,6,9,58,43
4NF07ZA7K,ゆーさく,VW65MCVF8,スリスリーズ,15,103,37563500,10,8,9,8,8,9,10,10,72,52
L71LEGR49,かんなぎ,3BDTCERX6,打ち返した流れ星,15,104,37511000,9,8,7,7,7,8,7,10,63,46
Y2LLTQ4MF,Lautrum,M5LHG6R4T,乙宗動物園,15,105,37504500,8,7,9,8,7,9,8,10,66,48
N6KDBV2A2,ハンバーグ,7R8NKPAB1,花帆推し倶楽部,15,106,37431500,10,10,9,9,9,9,8,10,74,56
KWNXKNY6X,応愛こず,49AMYCXCD,ルドベキア,15,107,37426500,9,8,8,7,8,8,2,8,58,48
JVDRVFFBP,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,108,37406500,7,6,6,6,6,6,4,10,51,37
30CWC728L,naonao,2K5AM4RV0,とろぺりです,4,109,37383000,10,9,8,8,9,8,8,8,68,52
8Q0P3A5Y5,よしお,CM5THHYHB,「」ノ空だけれど,15,110,37373500,10,8,8,7,8,8,6,7,62,49
0DKJN8WXG,ごまッチョ,GXR6C85BT,花帆ちゃん親衛隊,14,111,37332350,10,9,9,10,9,9,8,10,74,56
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,15,112,37308000,10,7,8,7,7,8,6,6,59,47
EMFP5HG3T,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,113,37237500,8,7,7,8,8,8,7,10,63,46
ON66GC85Z,ミツボシ,JTX1G19BP,さやかほ癒し会,15,113,37237500,7,6,7,7,6,6,8,10,57,39
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,15,115,37237000,10,8,8,7,7,7,5,6,58,47
W4E0R6NA9,そらをとぶ,0TKFF5EG3,サークル名募集中,15,116,37184000,8,7,7,8,7,7,8,10,62,44
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,117,37164500,9,7,7,6,7,6,6,8,56,42
W51RD80OU,赤飯のごま塩,49AMYCXCD,ルドベキア,15,118,37156500,10,7,7,7,7,7,7,8,60,45
QUQRGUWJL,にしおり,49AMYCXCD,ルドベキア,15,119,37093000,10,7,7,6,7,7,6,8,58,44
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,9,120,37076500,8,9,8,8,9,8,7,10,67,50
RRW2O1DH8,ふかひれ,49AMYCXCD,ルドベキア,15,121,37070500,9,7,7,7,8,7,7,10,62,45
G25EXFDYH,いかずちさんだー,25PMPEMG7,星見プロ,7,122,37053500,9,7,6,6,9,7,5,8,57,44
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,6,123,37041500,6,6,6,6,6,7,9,10,56,37
V6X4BPJ37,SHIRO,G59NGM0XA,シュリーレン,15,124,37015000,10,8,10,8,10,10,5,10,71,56
67GP30NUW,yuba,11FB0EDDT,スクステ同好会,13,125,36979500,10,8,9,7,6,9,6,9,64,49
9RV301LEB,いもむし,GXR6C85BT,花帆ちゃん親衛隊,15,126,36928500,7,7,7,7,7,7,5,10,57,42
ODE064I6J,ちあき,M5LHG6R4T,乙宗動物園,12,127,36876000,8,6,8,7,6,8,4,9,56,43
NY9X4SWNC,くりマロン,,,15,128,36871000,8,8,8,9,7,7,7,10,64,47
