player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,A分数,A rank,B分数,B rank,C分数,C rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
8XJ1GHI0Q,ロロライナ,95TAREFPT,ご自由にどうぞ,1,8711,2791850,,,,,,,4,8,7,4,8,1,7,8,47,32
2616369MH,さくらタコヤキ,60KU468X3,はっすーず,8,8712,2791250,312468264411.0,7988.0,432726973884.0,7429.0,,,9,10,9,8,9,4,7,9,65,49
LJFP8NBB8,もなか,1UBNNHVLG,蓮箱推し（仮）,0,8713,2788800,585866539909.0,7550.0,393201279429.0,7486.0,1213882414496.0,8200.0,4,6,6,1,6,1,6,6,36,24
4LMY78699,雪乃,7AATUNUPE,無言サークル,2,8714,2788237,424714452750.0,7777.0,177744277483.0,7957.0,2073969350407.0,7890.0,8,7,7,7,8,6,6,8,57,43
0BHUF5HP4,とやたい,FC8NBAJBT,ラー麺二郎金沢店,2,8715,2787939,,,,,,,7,10,9,7,9,4,6,5,57,46
JJ0PFAA1T,おこめ,5YXVKDEKV,サークル(仮),0,8716,2787531,,,,,85968524108882.0,5059.0,5,3,2,4,2,3,1,3,23,19
D8W524NVK,ねこやしき,A7WWE0463,蓮ノ空初心者部,0,8717,2787262,195642871686.0,8265.0,361582763434.0,7539.0,7351950638419.0,7155.0,8,10,8,6,9,7,7,10,65,48
3J1ULVF74,ルリルリルリノ,3194B9E93,初心者寄り合い所,0,8718,2786650,374753113691.0,7850.0,441194905047.0,7417.0,1297698272765.0,8170.0,8,4,5,3,5,4,1,1,31,29
8UM8D4M1L,サクヤ,L0FARL5TT,JazzPark,2,8719,2786531,2168316674928.0,6483.0,59213009221.0,8420.0,21128918878641.0,6496.0,10,10,8,8,10,9,10,10,75,55
F3I6GMQRU,ちゃいろ,G19FFDVKH,くろけだま,2,8720,2786337,840612816953.0,7261.0,605259444546.0,7184.0,660551008400.0,8541.0,5,9,7,5,5,4,4,7,46,35
LJ6GJ20D3,頭から出血,AHE0E3JND,ありがと！にひっ,0,8721,2785340,802154298578.0,7300.0,1609304377936.0,6516.0,4930799428825.0,7377.0,3,9,4,5,4,6,4,4,39,31
I7Y8DXQB9,ピロピロ,JA2C658FW,さや綴理の村人,0,8722,2785225,392376569885.0,7827.0,1024937680041.0,6831.0,2283029453913.0,7837.0,4,9,6,9,10,6,8,10,62,44
S19S91VG6,くろいだ,1D7T2UXC2,無言でのんびり,1,8723,2784806,,,,,,,3,2,2,9,1,1,7,10,35,18
9KNMJBYV4,学院生?,828YTYAA9,箱推し社畜の部屋,1,8724,2784362,102536110619.0,8596.0,87651424145.0,8264.0,47186077162.0,9528.0,10,10,9,8,10,6,10,10,73,53
OMH4PGMIU,ハラペーニョ,8UJNTV5BX,のんびりと部,0,8725,2784350,149260526743.0,8430.0,,,9068340127285.0,7020.0,6,8,8,4,7,6,7,8,54,39
