player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,吟子,小铃,慈,瑠璃乃,さやか,花帆,缀理,梢
L6A36K16J,117,854814561153553,なりりきっず,FK5MUK0ET,くる♡すきクラブ,10,10,9,8,9,9,10,9,8,10
JRXUOPXXN,118,852960839100290,ぐんま,49AMYCXCD,ルドベキア,12,10,10,10,10,10,10,10,10,10
45NY6HUBX,119,852296690025089,かいこ,25PMPEMG7,星見プロ,8,10,10,10,10,10,10,10,10,10
KN3FIHXL7,120,852142805750240,トミィ,RFYKY8DCD,LA.LA.LA,6,10,10,10,10,10,10,10,10,10
1Y0XFNNDJ,121,851831860197015,総たいさん頑張れ,EYN9H9N16,蓮すきすきクラブ,11,9,10,10,10,10,10,10,10,10
S1JO65QZU,122,851748821163713,小泉花陽,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
XTY4GG18V,123,851604826447887,こーりん,1BME38BCD,さすさやクラブ,14,8,9,8,9,9,9,9,10,10
TXTPD6OZ9,124,850513149521086,stella,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
G25EXFDYH,125,850289585385266,いかずちさんだー,25PMPEMG7,星見プロ,6,8,9,9,9,10,10,10,10,10
7TAQGMS8W,126,849862054003634,ゆる,PBRDPWEY1,村村会,15,10,10,10,10,10,10,10,10,10
92BAX6L8R,127,849357317261908,なかさん,EYN9H9N16,蓮すきすきクラブ,12,10,10,10,10,10,10,10,10,10
EU76L0TJ7,128,847366436009142,とまき,EYN9H9N16,蓮すきすきクラブ,8,10,10,10,10,10,10,10,10,10
42J4J5OSG,129,845325668640673,ハラシヨ,W26TRPM1R,めぐ党藤島派,14,9,8,8,10,9,9,9,9,10
4FGPNYMSS,130,845233772705850,凪 誠士郎,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10
BRJ0XWX77,131,843833538408373,しいのき,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
R3YC2XYYZ,132,843526983797605,秋,GPKTRBCTT,騎空団蓮ノ空支部,12,10,10,10,10,10,10,10,10,10
M3ANWTEQ1,133,843319991055372,"甘野老oNM,",73CBYJYB0,"oNM,",9,8,7,7,10,10,10,9,10,10
8E70ID58F,134,842108028760655,あるとす,WN5B7VKPU,きんぴられんこん,15,10,10,10,10,10,10,10,10,10
70NE2637U,135,840765280803900,りふいっと,BKLW6CR5L,Mix鮭の空!!,2,10,10,10,10,10,10,10,10,10
AK6AYMM19,136,838723043366536,ごろよん,PBRDPWEY1,村村会,12,10,10,10,10,10,10,10,10,10
7XT268BWG,137,837933082486170,冬はこずめぐ,FVJFA973A,蓮ノ空愛好会,14,10,10,10,10,10,10,10,10,10
WP2XGUKDR,138,836597457980116,はむはむ,B5V2LNN43,WMW,6,10,10,10,10,10,10,10,10,10
L71LEGR49,139,835568169223635,かんなぎ,3BDTCERX6,打ち返した流れ星,13,10,10,10,10,9,9,10,10,10
EQOU1ZZS7,140,835385632627089,花帆♡吟子さん♡,VW65MCVF8,スリスリーズ,12,7,8,7,10,8,10,8,10,10
KY1DYH45V,141,834579583261157,ate_san,B5V2LNN43,WMW,14,10,10,10,10,10,9,10,10,9
W0WYHMBR4,142,834359503078346,リョータ,3BDTCERX6,打ち返した流れ星,13,9,10,9,10,10,10,10,10,10
NY9X4SWNC,143,834087202878318,くりマロン,BKLW6CR5L,Mix鮭の空!!,15,8,9,9,9,9,10,8,10,10
OWS2KA4SW,144,831375987241736,ごみょ,FVJFA973A,蓮ノ空愛好会,14,10,10,10,10,10,10,10,10,10
FRTXRTHK1,145,828955972601552,コルド,49AMYCXCD,ルドベキア,13,10,10,10,10,10,10,10,10,10
1FO8RWDNB,146,828551585483605,色違いスターミー,YE7CX8RNP,能京カバディ部,12,9,9,9,10,10,9,10,10,10
JC33CNHML,147,828011159503315,カスかす,PBRDPWEY1,村村会,12,10,10,10,10,10,10,10,10,10
KXMPLAX04,148,827061718835130,ろーぱす,BKLW6CR5L,Mix鮭の空!!,12,8,8,8,9,9,8,9,10,10
C9ZMT7RH7,149,826644447236018,キミタケ,B5V2LNN43,WMW,15,10,10,10,10,10,10,10,10,10
74NVPKIGI,150,826639328564898,"なめろうoNM,",73CBYJYB0,"oNM,",15,10,10,10,10,10,10,10,10,10
