player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,结算前A分数,结算前A rank,结算前B分数,结算前B rank,结算前C分数,结算前C rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
M8KSSVGQS,おばすこ,PBRDPWEY1,村村会,15,113,14760000,3.90476E+14,83,3.01369E+14,123,4.36088E+14,113,10,10,10,10,9,9,10,10,78,58
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,12,114,14757000,3.58417E+14,177,2.55888E+14,246,4.68173E+14,68,9,10,10,10,9,9,7,8,72,57
MOY90G2ES,kaz,2NY9H8BR9,乙宗紅茶館,15,115,14719000,3.66977E+14,141,3.27784E+14,85,4.31263E+14,121,10,10,10,10,10,10,10,10,80,60
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,15,116,14714000,4.04328E+14,53,2.64337E+14,218,4.56139E+14,80,9,10,9,10,10,10,8,10,76,58
7TAQGMS8W,石川大観光,PBRDPWEY1,村村会,15,117,14693000,3.31239E+14,274,2.97002E+14,136,4.57551E+14,76,9,10,9,9,10,10,10,10,77,57
D091ANCFC,ぽっぽ,998H940YN,お嬢様筋トレ部,15,118,14666000,3.57703E+14,178,3.36031E+14,70,3.99442E+14,177,9,9,8,9,8,9,8,10,70,52
71CYB5LAJ,梓弓,YE7CX8RNP,蓮ノ大三十角ex,15,119,14626000,3.66151E+14,144,2.94101E+14,145,3.80044E+14,231,10,10,10,10,10,10,10,10,80,60
QOE50Z9JA,フェス,49AMYCXCD,ルドベキア,15,120,14618000,3.59664E+14,174,3.3691E+14,68,3.36399E+14,387,10,10,10,10,10,10,10,10,80,60
J9E2BXTUR,そーや,YE7CX8RNP,蓮ノ大三十角ex,15,121,14591000,3.62195E+14,164,3.21317E+14,91,4.04516E+14,165,9,10,9,10,10,10,9,10,77,58
BMM78P2WR,(・8・),M5LHG6R4T,乙宗動物園,15,122,14584000,4.03099E+14,56,2.90091E+14,155,4.04793E+14,164,9,10,9,10,9,10,8,10,75,57
