player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A rank , 结算前B分数 , 结算前B rank , 结算前C分数 , 结算前C rank ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,21,25195000," 451,504,902,219,530 ", 46 ," 428,015,498,675,201 ", 30 ," 727,694,421,164,200 ", 2 ,10,10,10,10,10,10,10,10,80,60
TKLRD66RN,たまごやき,GXR6C85BT,花帆ちゃん親衛隊,15,22,25110000," 440,450,849,001,185 ", 61 ," 463,882,423,366,087 ", 9 ," 545,217,947,584,024 ", 40 ,10,10,10,10,10,10,10,10,80,60
LP0BEDRF6,YYPT,YE7CX8RNP,蓮ノ大三十角ex,15,23,25015000," 456,675,568,915,768 ", 42 ," 425,698,953,830,766 ", 31 ," 547,702,830,333,256 ", 38 ,10,10,10,10,10,10,10,10,80,60
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,15,24,24975000," 444,840,541,028,391 ", 58 ," 457,004,975,203,233 ", 16 ," 625,221,753,772,046 ", 12 ,10,10,10,10,10,10,10,10,80,60
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,24,24975000," 475,153,138,196,855 ", 28 ," 428,585,132,294,758 ", 29 ," 561,154,400,360,754 ", 30 ,10,10,10,10,10,10,10,10,80,60
HU55NKXPK,た・たっち,EYN9H9N16,蓮すきすきクラブ,15,26,24957000," 429,256,444,363,109 ", 83 ," 436,746,906,468,092 ", 22 ," 659,208,605,962,824 ", 7 ,10,10,10,10,10,10,10,10,80,60
IN27C39RY,スス,9YM3DBTB7,泥民館,15,27,24790000," 451,207,513,819,386 ", 47 ," 430,530,013,527,379 ", 27 ," 502,534,612,871,627 ", 79 ,10,10,10,10,10,10,10,10,80,60
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,28,24596000," 415,357,562,959,199 ", 110 ," 396,981,895,870,365 ", 50 ," 576,465,125,533,935 ", 25 ,10,10,10,10,10,10,10,10,80,60
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,15,29,24530000," 483,687,397,204,042 ", 20 ," 429,786,551,660,009 ", 28 ," 505,879,233,141,852 ", 75 ,10,10,10,10,10,10,10,10,80,60
JC33CNHML,かすかす,PBRDPWEY1,村村会,15,30,24457000," 447,573,109,296,255 ", 53 ," 453,069,431,711,079 ", 17 ," 524,524,025,464,849 ", 55 ,10,10,10,10,10,10,10,10,80,60
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,乙宗動物園,12,31,24450000," 438,839,186,406,798 ", 65 ," 431,474,860,394,247 ", 26 ," 488,167,316,119,469 ", 97 ,10,10,10,10,10,10,10,10,80,60
WCN6J32TG,しみちゃん,,,15,32,24410000," 460,838,287,442,609 ", 37 ," 378,061,765,856,867 ", 68 ," 513,679,550,330,830 ", 65 ,10,10,10,10,10,10,10,10,80,60
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,33,24389000," 409,730,108,802,738 ", 122 ," 435,542,190,005,155 ", 23 ," 491,873,396,144,096 ", 90 ,10,10,10,10,10,10,10,10,80,60
LQEN0GFVZ,ごろーざ,WN5B7VKPU,きんぴられんこん,15,34,24325000," 462,071,717,025,026 ", 35 ," 387,133,391,931,072 ", 60 ," 527,481,931,444,782 ", 51 ,10,10,10,10,10,10,10,10,80,60
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,15,35,24285000," 421,554,603,343,825 ", 98 ," 391,283,172,289,902 ", 55 ," 548,420,521,790,796 ", 36 ,10,10,10,10,10,10,10,10,80,60
W3RBWWDYM,nano,,,3,36,24180000," 436,857,204,359,961 ", 70 ," 424,686,617,151,676 ", 32 ," 519,416,236,645,842 ", 59 ,10,10,10,10,10,10,10,10,80,60
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,10,37,24177000," 422,815,421,662,879 ", 96 ," 384,336,413,547,803 ", 63 ," 629,600,097,025,923 ", 11 ,10,10,10,10,10,10,10,10,80,60
OOC27PRN6,リリィ,11FB0EDDT,スクステ同好会,4,38,24160000," 445,690,956,298,382 ", 56 ," 401,077,592,369,691 ", 45 ," 512,252,505,304,683 ", 66 ,10,10,10,10,10,10,10,10,80,60
VH1RC5NNC,借金250万,25PMPEMG7,星見プロ,15,39,24091000," 488,728,951,812,697 ", 16 ," 362,164,785,284,091 ", 91 ," 582,814,537,046,201 ", 22 ,10,10,10,10,10,10,10,10,80,60
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,40,24061000," 426,147,083,489,846 ", 89 ," 394,327,802,666,146 ", 53 ," 586,839,933,367,913 ", 20 ,10,10,10,10,10,10,10,10,80,60
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,41,23985000," 447,852,855,586,968 ", 52 ," 419,873,653,257,316 ", 34 ," 554,828,107,561,549 ", 34 ,10,10,10,10,10,10,10,10,80,60
