player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,さやか,吟子,梢,小铃,花帆,姬芽,缀理,慈,瑠璃乃
S1JO65QZU,61,2023444097601470,すと。,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
RFP277XPM,62,2022875450277565,スガ,11FB0EDDT,スクステ同好会,12,10,10,10,10,10,10,10,10,10
69B4P3TW1,63,2013535374680094,ルアルディ,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
NY9X4SWNC,64,2008363892381864,くりマロン,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
5LL48ARPU,65,2003525990705469,シュウ,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
G25EXFDYH,66,2002441062764294,いかずちさんだー,25PMPEMG7,星見プロ,6,10,10,10,10,10,10,10,10,10
1FREY7CCF,67,1999613203478373,ぱむぱむ,11XTEEEJT,リンクラ料理部,7,10,10,10,10,10,10,10,10,10
VCYWGAUP5,68,1998992088377205,君・街・空・星,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10
EQOU1ZZS7,69,1992820714235907,バグ,VW65MCVF8,スリスリーズ,12,10,10,10,10,10,10,10,10,10
VFEKJ4R8Q,70,1988006396284777,はやみん,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10
8JKPKHDHC,71,1987247743590274,あるふぁん,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
6VAVCA9BY,72,1982229577456986,運命の一撃,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10
9L52YPRA1,73,1976936568812342,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10
3T48QL4MY,74,1974104669620624,ｱﾋﾙﾊﾞｧﾄﾞ,11XTEEEJT,リンクラ料理部,12,10,10,10,10,10,10,10,10,10
JC33CNHML,75,1973699442423158,かすかす,PBRDPWEY1,村村会,12,10,10,10,10,10,10,10,10,10
FSJBKEC6U,76,1968735622313640,かじもとん,YE7CX8RNP,蓮ノ大三十角,7,10,10,10,10,10,10,10,10,10
CO2UVBYHH,77,1967529322718868,ずんぼ,VW65MCVF8,スリスリーズ,1,10,8,8,10,10,8,10,10,9
AT03UHE11,78,1966250727463224,えむ,25PMPEMG7,星見プロ,14,10,10,10,10,10,10,10,10,10
JFND2KZVS,79,1960834859025943,ルビジウム,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,10,10,10,10
L8VJOGDKM,80,1960749530647229,まる,VW65MCVF8,スリスリーズ,11,10,10,10,10,10,10,10,10,10
70NE2637U,81,1960626252459100,酉向,BKLW6CR5L,Mix鮭の空!!,3,10,10,10,10,10,10,10,10,10
NJ5M5IZWU,82,1959765462940939,まき,R1RM3X0WV,後方腕組みオタク,5,10,10,10,10,10,10,10,10,10
PG3THEV4C,83,1958996066060816,あお,EYN9H9N16,蓮すきすきクラブ,7,10,10,10,10,10,10,10,10,10
8DSWY1SNL,84,1950373331050232,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,10,10,10,10,10,10,10,10,10
LVRF4GDVF,85,1949908724530375,るびたぬ,VW65MCVF8,スリスリーズ,12,10,10,10,10,10,10,10,10,10
K7QAEXJLJ,86,1949739189449961,のりすけ,49AMYCXCD,ルドベキア,15,10,10,10,10,10,10,10,10,10
HU55NKXPK,87,1948088983381638,たっち,EYN9H9N16,蓮すきすきクラブ,14,10,10,10,10,10,10,10,10,10
